%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value,field.torques1.timeStamp,field.torques1.joint_uri,field.torques1.unit,field.torques1.value,field.torques2.timeStamp,field.torques2.joint_uri,field.torques2.unit,field.torques2.value
1578500810999260477,,,0.0,0,arm_joint_2,N m,0.800442055751,0,arm_joint_3,N m,0.590369210322,0,arm_joint_4,N m,-0.281245815043
1578500811000235087,,,0.0,0,arm_joint_2,N m,0.800442055751,0,arm_joint_3,N m,0.590369210322,0,arm_joint_4,N m,-0.281245815043
1578500811001256345,,,0.0,0,arm_joint_2,N m,0.810303318284,0,arm_joint_3,N m,0.588112833957,0,arm_joint_4,N m,-0.2811171545
1578500811002266161,,,0.0,0,arm_joint_2,N m,0.810303318284,0,arm_joint_3,N m,0.588112833957,0,arm_joint_4,N m,-0.2811171545
1578500811003269657,,,0.0,0,arm_joint_2,N m,0.80713963576,0,arm_joint_3,N m,0.585689930024,0,arm_joint_4,N m,-0.281170841438
1578500811004229484,,,0.0,0,arm_joint_2,N m,0.80713963576,0,arm_joint_3,N m,0.585689930024,0,arm_joint_4,N m,-0.281170841438
1578500811005234503,,,0.0,0,arm_joint_2,N m,0.81853457133,0,arm_joint_3,N m,0.584476240483,0,arm_joint_4,N m,-0.28359997548
1578500811006225408,,,0.0,0,arm_joint_2,N m,0.816268133079,0,arm_joint_3,N m,0.582622957994,0,arm_joint_4,N m,-0.28378650187
1578500811007247388,,,0.0,0,arm_joint_2,N m,0.801687261286,0,arm_joint_3,N m,0.58143184021,0,arm_joint_4,N m,-0.281406396525
1578500811008220992,,,0.0,0,arm_joint_2,N m,0.80024528497,0,arm_joint_3,N m,0.570057892472,0,arm_joint_4,N m,-0.283791583405
1578500811009236935,,,0.0,0,arm_joint_2,N m,0.785639687372,0,arm_joint_3,N m,0.589406592425,0,arm_joint_4,N m,-0.283813635303
1578500811010212665,,,0.0,0,arm_joint_2,N m,0.79693349983,0,arm_joint_3,N m,0.577951982491,0,arm_joint_4,N m,-0.283693883051
1578500811011250961,,,0.0,0,arm_joint_2,N m,0.808404929456,0,arm_joint_3,N m,0.576774765069,0,arm_joint_4,N m,-0.278913829198
1578500811012230766,,,0.0,0,arm_joint_2,N m,0.793711044229,0,arm_joint_3,N m,0.585774823675,0,arm_joint_4,N m,-0.283762237796
1578500811013236998,,,0.0,0,arm_joint_2,N m,0.792065645657,0,arm_joint_3,N m,0.584500179871,0,arm_joint_4,N m,-0.281398968116
1578500811014227049,,,0.0,0,arm_joint_2,N m,0.790437534992,0,arm_joint_3,N m,0.572978502222,0,arm_joint_4,N m,-0.281434705067
1578500811015229268,,,0.0,0,arm_joint_2,N m,0.788043866006,0,arm_joint_3,N m,0.591529062364,0,arm_joint_4,N m,-0.284073977398
1578500811016225637,,,0.0,0,arm_joint_2,N m,0.788043866006,0,arm_joint_3,N m,0.591529062364,0,arm_joint_4,N m,-0.284073977398
1578500811017238874,,,0.0,0,arm_joint_2,N m,0.772036267793,0,arm_joint_3,N m,0.568627773626,0,arm_joint_4,N m,-0.284033193457
1578500811018240148,,,0.0,0,arm_joint_2,N m,0.772036267793,0,arm_joint_3,N m,0.568627773626,0,arm_joint_4,N m,-0.284033193457
1578500811019226963,,,0.0,0,arm_joint_2,N m,0.768712951578,0,arm_joint_3,N m,0.576472881305,0,arm_joint_4,N m,-0.283935955156
1578500811020227032,,,0.0,0,arm_joint_2,N m,0.768712951578,0,arm_joint_3,N m,0.576472881305,0,arm_joint_4,N m,-0.283935955156
1578500811021225426,,,0.0,0,arm_joint_2,N m,0.78015143573,0,arm_joint_3,N m,0.575224471101,0,arm_joint_4,N m,-0.283974891771
1578500811022216661,,,0.0,0,arm_joint_2,N m,0.765428118635,0,arm_joint_3,N m,0.584196238079,0,arm_joint_4,N m,-0.28641807444
