%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.velocities0.timeStamp,field.velocities0.joint_uri,field.velocities0.unit,field.velocities0.value
1576487418010647171,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418069513404,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418132195927,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418196942857,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418259960247,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418323813163,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418384864772,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418447194904,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418509203606,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418570098566,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418631837675,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418698439513,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
1576487418763198113,,,0.0,1576487418000000000,arm_joint_5,s^-1 rad,1.0
