Var1,M_th_med_1,M_th_med_2,M_th_notch_1,M_th_notch_2
000,0.512213188462445,0.515378386815767,0.114133825712606,0.041983452173684
008,0.557059713694398,0.570202219308209,0.0609467856433992,0.143842728285841
029,0.401347803112066,0.343400987584497,0.0457101067069268,0.049606138220888
041,0.569465509272387,0.305890849569777,0.0849217155411145,0.0470708500965022
050,0.288683195264263,0.44156840017973,0.0228369999078627,0.039718779123399
113,0.489356063906295,0.381748470008958,0.128257743850646,0.0952983897278731
160,0.613825661755175,0.525720239594287,0.148840609836956,0.0802813429021923
194,0.672425266374425,0.544948070937917,0.0693617178536606,0.132752038051804
208,0.461256065907928,0.547012622068169,0.052906246816972,0.0964191634118212
211,0.618100100176572,0.329499941657174,0.212807106943063,0.0328444049300051
278,0.494884946230236,0.458388937160279,0.0506403889144784,0.0926700224171887
311,0.492392476989863,0.276672020684037,0.0570947020358637,0.0187199255257704
353,0.320316583769102,0.495463464183139,0.0366751568389633,0.186382355968661
364,0.316808947462951,0.578449819828578,0.0318726303251357,0.136637330188284
378,0.406357544480582,0.599301978434477,0.0441294551689757,0.105430363977386
388,0.384874947323378,0.382619315592175,0.0338440420139364,0.029084504296161
418,0.455719210302676,0.47905586076722,0.0710757227352129,0.0674176267605904
456,0.366039234430276,0.691035730924211,0.0273012262514427,0.158871955473543
495,0.431590899228014,0.417335554992484,0.0365704455142224,0.0453836348395162
546,0.479919303636808,0.419147431370224,0.0432997119808776,0.0857696964188139
548,0.471539617001823,0.322855076621019,0.0724924567722417,0.0328029932416562
555,0.333732941703045,0.437365110815039,0.0222027550456646,0.0485392085879809
573,0.572565154730082,0.332431390218279,0.109395180040491,0.0182893007928437
640,1.00621239146494,0.48089085840118,0.286319319384373,0.090274411973008
661,0.701789551705907,0.404962152247427,0.131530242173556,0.0354919657630509
666,0.489333903654795,0.55027868615515,0.0412749306532417,0.0747610284975558
710,0.423139795659606,0.599379087436079,0.108162972846068,0.0896458461156983
740,0.462184437682511,0.359243364868898,0.0416774908455496,0.0284093913347933
841,0.315916964737985,0.455002897414599,0.0371440635920917,0.078767416538225
851,0.419739419942202,0.856683475262435,0.0586177409979035,0.164024307853593
922,0.545891799647864,0.405659138577687,0.059891993441626,0.0388399123127299
