Var1,K_th_med_1,K_th_med_2,K_th_notch_1,K_th_notch_2
000,110.962780005297,51.6364000109664,144.978879965772,26.6747190969043
008,44.1426774304128,76.9279537382547,73.4479683904279,123.785776432699
029,67.5987445076129,186.498248769578,57.1307031672488,69.0904867663168
041,121.74398746973,127.687864632009,231.944177594509,103.699471852444
050,112.176535861413,46.6015749011851,55.9626787714056,68.89190639595
113,115.479533493909,271.359164128271,131.535827293329,179.64590954773
160,331.84785294346,133.97157441937,244.00784297628,154.862697698956
194,145.302000519937,265.028733054582,125.164658637224,247.956899625246
208,128.377228326332,173.949579744413,54.1425587661558,104.830285148775
211,85.090351832282,66.8074970542138,125.22369618949,43.3116043914407
278,49.1295302364008,89.827660210209,91.3284691763373,192.050761763665
311,76.0434144412244,104.061328903019,55.7735513590143,66.9236118526886
353,88.2455647237483,115.566458455644,81.6532947923527,142.281319967266
364,74.4271583483172,139.707370136704,53.5512390541317,198.956124521698
378,57.2764170310476,99.7018067237078,72.783329936754,80.0032121050985
388,151.354037140165,99.4434248692272,97.6545888724468,57.6611611663152
418,134.368757596968,67.3043341958253,64.4270019191478,104.100149980834
456,139.857835287614,276.076452675514,52.0995490030636,170.074457319836
495,88.5426139888346,77.3724180655529,78.8203460599599,39.7142074886588
546,84.5349275790799,163.567335752484,42.2826713470196,127.273338714677
548,58.2504024282145,67.4273336378208,49.841642086611,74.5297273173582
555,79.0169380543514,93.5686475687287,34.6146190832024,41.0815152748633
573,308.968374762265,175.001476404767,184.958366776389,37.5426060210121
640,505.581208160371,117.926360269426,325.9416487602,158.872379303584
661,144.920501418011,71.8917302407866,139.099210645109,72.0643355909165
666,58.2985904316866,121.260416064431,51.859113028206,131.493230270451
710,102.31528968634,170.127061472694,96.5229337624034,189.134920933053
740,72.1828775687125,86.1159846237353,49.1536364817722,42.257003822691
841,123.17024755485,84.9482784735754,76.3094161672689,106.808082712042
851,96.0976560615525,330.61219595688,59.0576621725691,203.986694824302
922,77.0575165475904,58.5272850217236,111.029728096764,23.5258456047937
