Var1,B_th_med_1,B_th_med_2,B_th_notch_1,B_th_notch_2
000,1.72055626819964,4.55681576992241,4.81501675333173,3.39312838398038
008,7.13800432357852,1.30923880639473,2.90248205313025,3.17182350980394
029,3.31795004829114,13.1389810982061,3.51110731785222,3.03058827356049
041,7.1886375205565,9.24189193478945,5.12529834150242,2.30820912744184
050,13.1525594352875,-0.327177201517992,1.72338695590346,2.23036387033062
113,1.02499274695574,6.05773359873043,4.74843830248864,3.75117180025755
160,-0.315919461912833,11.7813005239692,4.66022103347521,4.08961679921548
194,2.7464943874324,10.1841642993155,2.87985108303465,4.94357272981181
208,6.47883832670549,7.9353665161577,3.0178610513352,3.55169962841094
211,2.03676968085307,7.135764709289,5.03791934281309,2.50667907454398
278,4.53967735798225,2.92934145721181,3.21679078016081,4.62008781822272
311,8.21280724768712,11.5183506560424,4.08784978317258,1.83123860769536
353,12.810661667752,6.98981075837621,2.7028483486081,4.18413422870585
364,6.64758166755993,1.52239812545281,2.8001830622509,6.02894126940919
378,3.83917988130891,12.1717944785626,2.8130779430539,4.62271282115566
388,7.0695989330777,8.29960312594582,2.71307568559795,2.09571400283469
418,7.84145086096249,5.84850217000146,3.37980782641162,4.06431814705494
456,15.6882084779529,9.88115640194716,1.62268755598873,3.5044783490707
495,5.48883753003894,9.20279137554581,2.69173008817601,1.82145295981181
546,12.1097868353083,9.83830876576915,2.85857844450715,6.63914437811092
548,8.51816463111796,4.17217401636958,2.59614702316309,2.78104350061184
555,8.53864385259891,9.80590646469777,1.94732669094186,2.55836889778192
573,2.9756147416279,16.1790676501201,4.74314050273919,2.65802991871511
640,-0.98127204425752,8.51535380419943,10.0292112792543,3.39316124976368
661,8.43259980805218,3.89133793524415,6.2560524124809,3.92315282061047
666,6.32269721700895,3.76215922193823,3.61485005288083,5.5400288707771
710,7.88282868581245,2.63968224398167,5.18085882185943,3.14897652269514
740,10.3035275862936,11.7493584247359,2.60169734288056,2.41228648817455
841,8.41756808229684,6.8290468220038,2.6404804064526,3.63206411991047
851,5.92772840743521,-1.44112835590933,2.9405183659332,7.95818794168776
922,8.47470649572864,11.6038867697464,3.89057584603902,2.65992460484239
