Var1,R2_th_med_1,R2_th_med_2,R2_th_notch_1,R2_th_notch_2
000,0.842225965843977,0.847448788802822,0.658887275867212,0.160551753258332
008,0.752738835247524,0.543911831513145,0.461920739346018,0.445528949555692
029,0.689191754880217,0.923858343579569,0.496177070183444,0.131640038302898
041,0.755464272263865,0.882906599681673,0.278554375695217,0.1849731038568
050,0.975789731054669,0.278737210391343,0.0174721208671163,1.10448869150771
113,0.284943684643262,0.728283549422253,0.93479989943887,0.497503602558552
160,0.647568480278013,0.879040169756983,0.976355036458341,0.093312098830602
194,0.858830484433219,0.759713278215276,0.18659718486655,0.274059282129661
208,0.90836835846699,0.89193297485334,0.195200918147208,0.173647081837936
211,0.63501126418021,0.857471672416524,0.179661439156385,0.212166487678947
278,0.783808500288237,0.726144326129107,0.226548307731833,0.312437295040231
311,0.782675593734606,0.946886901929495,0.290196582618833,0.0283916275411336
353,0.937551408454131,0.865420997578847,0.0422560582712241,0.398979885879385
364,0.854719515119219,0.587432687982647,0.0947227035030271,0.454547427485401
378,0.705712199973625,0.88789316833553,0.49917320407879,0.110858727318784
388,0.92617238128334,0.944618582353601,0.128028577106044,0.0608121854951212
418,0.862332957082712,0.675716653141135,0.184481667836347,0.499354663667617
456,0.979689219120761,0.814505390664474,0.0085060678924323,0.141607188109565
495,0.84450195259504,0.9098694183584,0.123612410322506,0.0990113877377185
546,0.942038129516091,0.736025615891847,0.0421643700148254,0.955647761694097
548,0.855756252186685,0.774033588363573,0.433327421841081,0.499953985444443
555,0.938750020067924,0.862927358179746,0.0408960849541555,0.114495163611309
573,0.726494952070313,0.976799150884694,0.626198899532357,0.0145930373679913
640,0.667192003105267,0.903624763186749,0.298346177956271,0.142755790532099
661,0.497248633328391,0.792294254387308,0.800247248367569,1.22857063001204
666,0.875367500378882,0.496443934657358,0.156172413200968,0.59250287048181
710,0.882754746701082,0.796648639961726,0.364719794880315,0.383521061251761
740,0.924783439390132,0.959584412052788,0.0627026696950674,0.0288689470933393
841,0.939860616430134,0.840105513217176,0.109918846035109,0.168591103856312
851,0.891491272085525,0.280496867996023,0.101036738177027,0.854371392328413
922,0.929794070940927,0.935282273003068,0.116733736047406,0.0609249846157551
