Var1,R2_ph_med_1,R2_ph_med_2,R2_ph_med_3,R2_ph_notch_1,R2_ph_notch_2,R2_ph_notch_3
000,0.960794683414827,0.982436180525626,0.991112454558549,0.0251509540585782,0.0118468781764161,0.12140603457267
008,0.922759058733172,0.95143932095934,0.983279597468621,0.148982524619683,0.0773933701382533,0.0737202569123773
029,0.923513781466919,0.970035230966823,0.96513969472837,0.371952506382308,0.0305210397729031,0.0998228879940035
041,0.909945088344283,0.93173953970783,0.970164508054154,0.19976812264002,0.0543801602385078,0.0406528494297135
050,0.813490558937385,0.957524733622213,0.963555228073282,0.121254917570065,0.0859661409243364,0.118356893688517
113,0.760571956956881,0.952348908380928,0.966164194175293,0.409941988340726,0.0823336363629795,0.292282188828144
160,0.890766793569238,0.970619264944805,0.974883639332193,0.128999524617962,0.0191684573719199,0.126961130974675
194,0.891724451279768,0.962140284609167,0.974801559089994,0.103562405344333,0.0302015631727871,0.153541833124685
208,0.688038555983996,0.935132056144413,0.899764686776256,0.284867778804784,0.0820497900633681,0.0387162115590864
211,0.831011069852241,0.97129872183412,0.970295384941564,0.458868198357141,0.0122997316102218,0.557392384618139
278,0.770285492923143,0.9685505257607,0.950607699971304,0.247498211391882,0.0619814021662943,0.0902239848506368
311,0.907769031830104,0.974813979855529,0.960118187599307,0.101375269250122,0.0222542290751025,0.107504705447091
353,0.932093199434129,0.96138403346211,0.977841480662405,0.0869907343330805,0.0575387634979015,0.0900087695005784
364,0.863335830235054,0.977389770596475,0.963185851942692,0.130994944347606,0.0335758251105304,0.17647542910151
378,0.912461161399009,0.949047144588683,0.962422232868377,0.144273709966504,0.049688062440568,0.206249069562218
388,0.938786152307606,0.964366614324401,0.979558399898097,0.0632224948659932,0.0420554330720367,0.11694682356117
418,0.956053869678234,0.965419953511113,0.987521934181978,0.0495061167191186,0.0214914759764371,0.0807473968472917
456,0.911843754928205,0.945719946513157,0.968995458775975,0.328708258935243,0.0449746255843663,0.186729423400666
495,0.929912158737578,0.910161184072992,0.977263011743805,0.0417410242712366,0.0976318720872795,0.0965135228557498
546,0.825161681579281,0.975509449206361,0.925273626013056,0.203147367555786,0.0452136047982205,0.114172275965216
548,0.824589460929775,0.933866601838684,0.958862730821692,0.316873326545166,0.182766648019688,0.228691278275758
555,0.951119551280206,0.97716216376486,0.977930607769515,0.0434207930676218,0.0178189718153247,0.0419485253951213
573,0.845901482532567,0.973070977677454,0.935352072241525,0.119703363130575,0.0198551165015369,0.0399282850599213
640,0.882594434602018,0.972310453922575,0.964550211454671,0.152646085106027,0.0186631506773524,0.38385459953284
661,0.927230248840204,0.942196499531586,0.980299935168255,0.146571749883694,0.0518075383310201,0.185498917731824
666,0.821547868132971,0.935997051993921,0.903957440421753,0.252929358929609,0.0431338982122455,0.399536868721328
710,0.622112556728445,0.922887003398358,0.899989023049955,0.4732980774897,0.0492199231734283,0.0942690519965168
740,0.89306334035824,0.950341910979756,0.972243566731297,0.167756064244479,0.056530226409155,0.0782282291874542
841,0.885821475974117,0.968351642085388,0.968559026494098,0.109094981754326,0.0184556406324021,0.0396449584807427
851,0.877093337677203,0.961251804184905,0.96339472148295,0.0891413913411096,0.0283401432256753,0.209507491594898
922,0.883208199733615,0.967814190735357,0.972661273289175,0.287923870415641,0.0232389602757807,0.162164793859234
