Var1,B_ph_med_1,B_ph_med_2,B_ph_med_3,B_ph_notch_1,B_ph_notch_2,B_ph_notch_3
000,14.1965294922196,12.2191988383134,19.3354038311424,3.09350519028541,2.76901431275717,4.02436991097321
008,9.13395045082238,11.0341591530432,14.8099860245145,3.87541359308339,2.83363614922029,3.25894721274229
029,10.8495911870207,10.0198134293471,15.2122085207795,3.28542787560126,2.00634982648493,4.9512346550051
041,8.07433940050417,11.2542320827826,13.6666348030026,3.21432744413259,3.35267035505423,2.04074370194987
050,9.68978987492373,10.3582126313271,15.5189026846877,3.4266275147541,3.74777593215014,2.42377470751783
113,8.03125313780899,11.6241381464503,14.2895985893926,5.14219471047698,2.66873252981495,4.8058108552987
160,8.39991726923898,10.2926675780219,13.5878123653289,3.77633845692537,1.79385605121381,2.62309949061602
194,8.38563765767301,8.41763132248617,11.7083353457767,2.24863635010584,2.52053200478051,3.43251076038328
208,6.28460145050591,7.88613164303784,10.5488385734177,3.49683078088197,3.12082553019626,3.4200613400498
211,6.91484761966862,13.4775592184256,12.6732136684899,3.78740770687674,2.7392489941582,3.90510493608383
278,9.54074998011144,6.81190119207506,17.8838532640433,4.82243342481437,3.21654230985623,2.93493010053223
311,9.15860031425806,11.2701910653532,15.3155592865073,3.21624246642984,2.52026604805814,5.78922242132176
353,6.99130265527612,9.48718180613846,8.83718993423035,2.17641658307575,2.48506547920217,2.95297495962181
364,5.08916379971264,13.6905204567613,12.4318683204042,3.08471148380733,3.1198766447619,5.07769495690854
378,7.35849507432102,13.6121261695157,14.9474506201967,3.61846857256641,2.07743275783108,7.1210585826602
388,10.7048305573487,10.4820972341478,15.0301546769477,2.69835321063993,2.54559761345242,4.09413193476429
418,9.20487648919437,11.8530295388169,17.3348183600573,3.60026727209724,2.2391948584209,3.20517338610434
456,8.81963613692474,9.42381559148627,17.6773803879097,4.58563218556109,2.47488272360519,3.47937093406118
495,7.1270284024552,6.83416050959991,10.4518375115859,1.61800630443745,1.50331761264374,3.89219421946877
546,5.69354457907817,12.4558826750466,11.8208686054948,4.54025965377124,3.6020446112608,4.78677777270481
548,5.7432000628216,9.02535759900565,8.90506804730647,2.87247127471565,3.4689878213696,4.72500429972167
555,9.05959198060069,10.8673248128777,13.906924983685,2.16367140660012,2.60291976342724,1.97538698437862
573,4.80022731103686,10.7325529519359,10.8713971510912,3.25075158603654,2.60009239514877,2.89464827705903
640,8.73045023159296,9.43673715332824,12.9804160476868,2.16472617295639,2.34883178876813,5.03345842501
661,8.3533590326537,7.12442286463078,11.4343344042691,2.61742476602662,1.7344635457719,2.44007799382247
666,5.93777702110545,10.7037175733541,12.2578856810814,4.66458536310737,3.4027832228032,3.29076015792348
710,1.83612619363767,11.7577898603051,7.60641487407443,4.8439585393624,3.99086942288058,4.29718656522594
740,5.16505212704849,10.6474725092499,13.0548115381244,4.757673406384,2.9801634194946,3.6270009378405
841,10.0009388616102,14.8484759826839,14.4486651453259,3.01079796060047,1.86475864018779,3.86512000431318
851,8.44774079773756,10.0757404866778,13.3118776820278,2.67837547106613,2.11515484655234,5.39683663465774
922,11.4887796606184,10.8619747902028,16.7268318189927,4.25216697604827,1.76902159464567,3.87245100267147
