Var1,M_ph_med_1,M_ph_med_2,M_ph_med_3,M_ph_notch_1,M_ph_notch_2,M_ph_notch_3
000,0.418620649246222,0.369583555595016,0.570645345991836,0.0598010323422413,0.03997473152625,0.0996573683533043
008,0.53797604105888,0.390142346025956,0.77690676948444,0.105526623324893,0.0430406020521711,0.0999156475371584
029,0.466576364321883,0.413313575055937,0.834126972718051,0.138586332514687,0.0446988884980823,0.115534644245533
041,0.486019368064779,0.526118577514081,0.653855773054769,0.0904552391353382,0.0816176059872415,0.0730293992248577
050,0.449577977234624,0.414388783477038,0.596573990342927,0.0770879961911168,0.0597441201393713,0.089757553766703
113,0.558839763531853,0.39222109337639,0.836448969441233,0.12983773091176,0.0511465645337909,0.0958157964072432
160,0.408207341690879,0.326919894922403,0.637409940510136,0.081106855910344,0.0492409691787405,0.0653456907321642
194,0.42342484270513,0.305558348287852,0.583728585467062,0.081488350744959,0.0693457374069359,0.153132760032392
208,0.558748246838249,0.336193130161954,0.956581844918536,0.141176880034996,0.0295841836731147,0.0307505443547533
211,0.48368478250781,0.355587261108447,0.588127754271232,0.0708347856216317,0.0543756841682855,0.0944095124942377
278,0.543856526892165,0.353565547976144,0.722572307495279,0.0965480955175389,0.0555991622705154,0.0561184710364884
311,0.49467451748009,0.406198429494727,0.797366099628479,0.103509178877925,0.0276969458988817,0.0769293125412751
353,0.354336892881774,0.313761156710347,0.648739293849018,0.104182855070035,0.121188466047663,0.104135545221263
364,0.457670071145655,0.378253415578673,0.628104501270541,0.076011323026234,0.0528290145022259,0.0693616942285524
378,0.4609837591204,0.43459088428905,0.729297000784778,0.106367142769953,0.0544242024749223,0.169716640321389
388,0.441634633214393,0.3242490136601,0.622122464430231,0.0994184912521453,0.0475795758212738,0.0733573042238335
418,0.401135965823048,0.31502096486112,0.521225379332892,0.0517311397866621,0.0265219705812964,0.0837044064420085
456,0.590562906374692,0.379788773104707,0.866597766882397,0.122152371400586,0.0801653671653866,0.0714990416294085
495,0.298086524062224,0.350706729936493,0.411936926764735,0.0445911494746217,0.0399239065579241,0.0632247046071314
546,0.5015570185906,0.363345040354109,0.774154508172003,0.113168637912835,0.0456717559374861,0.13853617246145
548,0.471329794844215,0.434047470304466,0.594996241802693,0.0535446957790599,0.0543154278156423,0.130107634412069
555,0.339354947566264,0.380943722326738,0.468170990863532,0.0624077757385528,0.0761603976453569,0.0695795530447905
573,0.488517050768648,0.331404675306332,0.747015667180373,0.104677721455292,0.0230884701185548,0.0860892419316441
640,0.349105608143464,0.257081697823414,0.482927692400378,0.0527459879304936,0.0557058864945201,0.107203062377289
661,0.302457711313183,0.276760910864307,0.350224427469282,0.0241290877131221,0.0188171549141725,0.0694435364116999
666,0.554773138541665,0.365903062084698,0.854382457853639,0.122114609091221,0.0673637004639236,0.155146931697644
710,0.70127219959336,0.644881772145462,1.05375050294511,0.154024898352167,0.0714876792356893,0.115070808454654
740,0.584966295396794,0.444877167624929,1.00979256833843,0.192712843925015,0.0848122238172498,0.0642440879596336
841,0.548869189437182,0.404617437664399,0.752667906271101,0.0905038072199942,0.0172652915657894,0.0802766189258531
851,0.539665033984993,0.382806659485342,0.676206498968177,0.0889889602939676,0.0818950926111418,0.144057364410845
922,0.435867742881913,0.319955201307935,0.621641284166087,0.0776032346467558,0.0437778637698955,0.0701154337413909
