%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.velocities0.timeStamp,field.velocities0.joint_uri,field.velocities0.unit,field.velocities0.value,field.velocities1.timeStamp,field.velocities1.joint_uri,field.velocities1.unit,field.velocities1.value,field.velocities2.timeStamp,field.velocities2.joint_uri,field.velocities2.unit,field.velocities2.value
1576160804451849777,,,0.0,0,arm_joint_2,s^-1 rad,0.00201210426167,0,arm_joint_3,s^-1 rad,-0.00705307954922,0,arm_joint_4,s^-1 rad,-0.00129574968014
1576160804458496302,,,0.0,0,arm_joint_2,s^-1 rad,0.00105217262171,0,arm_joint_3,s^-1 rad,-0.00368811981753,0,arm_joint_4,s^-1 rad,-0.000677562318742
1576160804465171791,,,0.0,0,arm_joint_2,s^-1 rad,0.00106764037628,0,arm_joint_3,s^-1 rad,-0.00374233815819,0,arm_joint_4,s^-1 rad,-0.000687523046508
1576160804471810031,,,0.0,0,arm_joint_2,s^-1 rad,0.00201200949959,0,arm_joint_3,s^-1 rad,-0.00705257989466,0,arm_joint_4,s^-1 rad,-0.0012956635328
1576160804478497750,,,0.0,0,arm_joint_2,s^-1 rad,0.00107105122879,0,arm_joint_3,s^-1 rad,-0.00375429377891,0,arm_joint_4,s^-1 rad,-0.000689719454385
1576160804485210011,,,0.0,0,arm_joint_2,s^-1 rad,0.00105225143488,0,arm_joint_3,s^-1 rad,-0.00368839595467,0,arm_joint_4,s^-1 rad,-0.000677613075823
1576160804491843520,,,0.0,0,arm_joint_2,s^-1 rad,0.00201200949959,0,arm_joint_3,s^-1 rad,-0.00705257989466,0,arm_joint_4,s^-1 rad,-0.0012956635328
1576160804498499319,,,0.0,0,arm_joint_2,s^-1 rad,0.00105235050432,0,arm_joint_3,s^-1 rad,-0.00368865323253,0,arm_joint_4,s^-1 rad,-0.000677663425449
1576160804505162577,,,0.0,0,arm_joint_2,s^-1 rad,0.00105235050432,0,arm_joint_3,s^-1 rad,-0.00368865323253,0,arm_joint_4,s^-1 rad,-0.000677663425449
1576160804512009930,,,0.0,0,arm_joint_2,s^-1 rad,0.00201191171072,0,arm_joint_3,s^-1 rad,-0.00705206487328,0,arm_joint_4,s^-1 rad,-0.00129557494074
1576160804518503134,,,0.0,0,arm_joint_2,s^-1 rad,0.00106771697756,0,arm_joint_3,s^-1 rad,-0.00374251487665,0,arm_joint_4,s^-1 rad,-0.000687558669597
1576160804525145217,,,0.0,0,arm_joint_2,s^-1 rad,0.00105235050432,0,arm_joint_3,s^-1 rad,-0.00368865323253,0,arm_joint_4,s^-1 rad,-0.000677663425449
1576160804531830263,,,0.0,0,arm_joint_2,s^-1 rad,0.00201181415468,0,arm_joint_3,s^-1 rad,-0.00705154985189,0,arm_joint_4,s^-1 rad,-0.00129548623227
1576160804538496775,,,0.0,0,arm_joint_2,s^-1 rad,0.00105244969018,0,arm_joint_3,s^-1 rad,-0.0036889098119,0,arm_joint_4,s^-1 rad,-0.000677713658661
1576160804545137501,,,0.0,0,arm_joint_2,s^-1 rad,0.00105244969018,0,arm_joint_3,s^-1 rad,-0.0036889098119,0,arm_joint_4,s^-1 rad,-0.000677713658661
1576160804552025229,,,0.0,0,arm_joint_2,s^-1 rad,0.00201181415468,0,arm_joint_3,s^-1 rad,-0.00705154985189,0,arm_joint_4,s^-1 rad,-0.00129548623227
1576160804558620256,,,0.0,0,arm_joint_2,s^-1 rad,0.00105244969018,0,arm_joint_3,s^-1 rad,-0.0036889098119,0,arm_joint_4,s^-1 rad,-0.000677713658661
1576160804565166711,,,0.0,0,arm_joint_2,s^-1 rad,0.00105244969018,0,arm_joint_3,s^-1 rad,-0.0036889098119,0,arm_joint_4,s^-1 rad,-0.000677713658661
1576160804571976470,,,0.0,0,arm_joint_2,s^-1 rad,0.00201173149981,0,arm_joint_3,s^-1 rad,-0.00705135986209,0,arm_joint_4,s^-1 rad,-0.00129545351956
1576160804578506289,,,0.0,0,arm_joint_2,s^-1 rad,0.00106779730413,0,arm_joint_3,s^-1 rad,-0.00374275748618,0,arm_joint_4,s^-1 rad,-0.000687607564032
1576160804585163156,,,0.0,0,arm_joint_2,s^-1 rad,0.0010524620302,0,arm_joint_3,s^-1 rad,-0.00368900550529,0,arm_joint_4,s^-1 rad,-0.000677732401527
1576160804591834596,,,0.0,0,arm_joint_2,s^-1 rad,0.00201163324527,0,arm_joint_3,s^-1 rad,-0.00705084344372,0,arm_joint_4,s^-1 rad,-0.00129536457825
1576160804598487130,,,0.0,0,arm_joint_2,s^-1 rad,0.00105284503661,0,arm_joint_3,s^-1 rad,-0.00369025813416,0,arm_joint_4,s^-1 rad,-0.000677965639625
1576160804605209812,,,0.0,0,arm_joint_2,s^-1 rad,0.00105256086681,0,arm_joint_3,s^-1 rad,-0.00368926185183,0,arm_joint_4,s^-1 rad,-0.000677782634739
1576160804611931808,,,0.0,0,arm_joint_2,s^-1 rad,0.00201153522357,0,arm_joint_3,s^-1 rad,-0.00705032795668,0,arm_joint_4,s^-1 rad,-0.00129527575336
1576160804618502631,,,0.0,0,arm_joint_2,s^-1 rad,0.00105577846989,0,arm_joint_3,s^-1 rad,-0.00370044913143,0,arm_joint_4,s^-1 rad,-0.000679841032252
1576160804625163520,,,0.0,0,arm_joint_2,s^-1 rad,0.00208985246718,0,arm_joint_3,s^-1 rad,-0.00732482597232,0,arm_joint_4,s^-1 rad,-0.00134570617229
1576160804631887004,,,0.0,0,arm_joint_2,s^-1 rad,0.00201144581661,0,arm_joint_3,s^-1 rad,-0.00704984087497,0,arm_joint_4,s^-1 rad,-0.00129519216716
1576160804638521762,,,0.0,0,arm_joint_2,s^-1 rad,0.0010352373356,0,arm_joint_3,s^-1 rad,-0.00362836429849,0,arm_joint_4,s^-1 rad,-0.000666600710247
1576160804645161099,,,0.0,0,arm_joint_2,s^-1 rad,0.00208997912705,0,arm_joint_3,s^-1 rad,-0.00732508953661,0,arm_joint_4,s^-1 rad,-0.00134576065466
1576160804651831320,,,0.0,0,arm_joint_2,s^-1 rad,0.00201135524549,0,arm_joint_3,s^-1 rad,-0.00704961875454,0,arm_joint_4,s^-1 rad,-0.00129515363369
1576160804658514036,,,0.0,0,arm_joint_2,s^-1 rad,0.00210086512379,0,arm_joint_3,s^-1 rad,-0.0073633431457,0,arm_joint_4,s^-1 rad,-0.00135279097594
1576160804665149660,,,0.0,0,arm_joint_2,s^-1 rad,0.00105287996121,0,arm_joint_3,s^-1 rad,-0.00369015987962,0,arm_joint_4,s^-1 rad,-0.000677957956214
1576160804671840005,,,0.0,0,arm_joint_2,s^-1 rad,0.00201428378932,0,arm_joint_3,s^-1 rad,-0.00705953966826,0,arm_joint_4,s^-1 rad,-0.0012969878735
1576160804678629596,,,0.0,0,arm_joint_2,s^-1 rad,0.00206487532705,0,arm_joint_3,s^-1 rad,-0.00723684998229,0,arm_joint_4,s^-1 rad,-0.0013295635581
1576160804685178333,,,0.0,0,arm_joint_2,s^-1 rad,0.00106819265056,0,arm_joint_3,s^-1 rad,-0.00374373677187,0,arm_joint_4,s^-1 rad,-0.000687804247718
1576160804691835223,,,0.0,0,arm_joint_2,s^-1 rad,0.00202626059763,0,arm_joint_3,s^-1 rad,-0.00710134021938,0,arm_joint_4,s^-1 rad,-0.00130467349663
1576160804698648070,,,0.0,0,arm_joint_2,s^-1 rad,0.00206484855153,0,arm_joint_3,s^-1 rad,-0.00723685184494,0,arm_joint_4,s^-1 rad,-0.00132956635207
1576160804705234970,,,0.0,0,arm_joint_2,s^-1 rad,0.00105299183633,0,arm_joint_3,s^-1 rad,-0.0036905107554,0,arm_joint_4,s^-1 rad,-0.000678026699461
1576160804711815381,,,0.0,0,arm_joint_2,s^-1 rad,0.00201098830439,0,arm_joint_3,s^-1 rad,-0.00704791070893,0,arm_joint_4,s^-1 rad,-0.001294859685
1576160804718498915,,,0.0,0,arm_joint_2,s^-1 rad,0.00103225780185,0,arm_joint_3,s^-1 rad,-0.00361775397323,0,arm_joint_4,s^-1 rad,-0.000664662744384
1576160804725149117,,,0.0,0,arm_joint_2,s^-1 rad,0.00105309090577,0,arm_joint_3,s^-1 rad,-0.00369076780044,0,arm_joint_4,s^-1 rad,-0.000678077049088
1576160804731816767,,,0.0,0,arm_joint_2,s^-1 rad,0.00201102159917,0,arm_joint_3,s^-1 rad,-0.00704785529524,0,arm_joint_4,s^-1 rad,-0.00129485537764
1576160804738723939,,,0.0,0,arm_joint_2,s^-1 rad,0.00209043594077,0,arm_joint_3,s^-1 rad,-0.0073261721991,0,arm_joint_4,s^-1 rad,-0.00134598859586
1576160804745301561,,,0.0,0,arm_joint_2,s^-1 rad,0.00209043594077,0,arm_joint_3,s^-1 rad,-0.0073261721991,0,arm_joint_4,s^-1 rad,-0.00134598859586
1576160804751839782,,,0.0,0,arm_joint_2,s^-1 rad,0.00201072986238,0,arm_joint_3,s^-1 rad,-0.00704692909494,0,arm_joint_4,s^-1 rad,-0.00129468739033
1576160804758663650,,,0.0,0,arm_joint_2,s^-1 rad,0.00106843467802,0,arm_joint_3,s^-1 rad,-0.00374464783818,0,arm_joint_4,s^-1 rad,-0.000687978288624
1576160804765176255,,,0.0,0,arm_joint_2,s^-1 rad,0.00105321395677,0,arm_joint_3,s^-1 rad,-0.0036912120413,0,arm_joint_4,s^-1 rad,-0.000678163894918
1576160804771810431,,,0.0,0,arm_joint_2,s^-1 rad,0.00201072636992,0,arm_joint_3,s^-1 rad,-0.00704701757059,0,arm_joint_4,s^-1 rad,-0.00129470566753
