kp,ki,zeta
0,0,0.944368835176372
0.00306122448979592,0,0.930695642277185
0.00612244897959184,0,0.919022201518568
0.00918367346938775,0,0.908659592527499
0.0122448979591837,0,0.899181770700065
0.0153061224489796,0,0.890252405568212
0.0183673469387755,0,0.881539703045828
0.0214285714285714,0,0.872651675737444
0.0244897959183673,0,0.863074920376318
0.0275510204081633,0,0.852138651365542
0.0306122448979592,0,0.839094203876863
0.0336734693877551,0,0.823426132999584
0.036734693877551,0,0.805239838474063
0.0397959183673469,0,0.785236893660103
0.0428571428571429,0,0.764267628627751
0.0459183673469388,0,0.742990303720933
0.0489795918367347,0,0.721813860102954
0.0520408163265306,0,0.700964711358163
0.0551020408163265,0,0.680558566664854
0.0581632653061225,0,0.66064852572782
0.0612244897959184,0,0.641253142094493
0.0642857142857143,0,0.622372117968875
0.0673469387755102,0,0.603995023450587
0.0704081632653061,0,0.586106171350162
0.073469387755102,0,0.568687367241908
0.076530612244898,0,0.551719470072214
0.0795918367346939,0,0.535183276418783
0.0826530612244898,0,0.519060014378652
0.0857142857142857,0,0.503331609363422
0.0887755102040816,0,0.487980815572329
0.0918367346938776,0,0.472991268194248
0.0948979591836735,0,0.458347489128992
0.0979591836734694,0,0.444034865968613
0.101020408163265,0,0.43003961621444
0.104081632653061,0,0.416348744016902
0.107142857142857,0,0.402949993859879
0.110204081632653,0,0.389831803846789
0.113265306122449,0,0.376983260143799
0.116326530612245,0,0.364394053458186
0.119387755102041,0,0.352054437997737
0.122448979591837,0,0.339955193099107
0.125510204081633,0,0.328087587549387
0.128571428571429,0,0.316443346530041
0.131632653061224,0,0.305014621058683
0.13469387755102,0,0.293793959776633
0.137755102040816,0,0.282774282916525
0.140816326530612,0,0.271948858285887
0.143877551020408,0,0.261311279104551
0.146938775510204,0,0.25085544354317
0.15,0,0.240575535820152
0,0.0163265306122449,0.114147056158167
0.00306122448979592,0.0163265306122449,0.257640955861214
0.00612244897959184,0.0163265306122449,0.392170418389175
0.00918367346938775,0.0163265306122449,0.515689153251703
0.0122448979591837,0.0163265306122449,0.626496593268502
0.0153061224489796,0.0163265306122449,0.723980708594436
0.0183673469387755,0.0163265306122449,0.808918125874554
0.0214285714285714,0.0163265306122449,0.872544111563641
0.0244897959183673,0.0163265306122449,0.862964614939144
0.0275510204081633,0.0163265306122449,0.852051045881668
0.0306122448979592,0.0163265306122449,0.839057014781684
0.0336734693877551,0.0163265306122449,0.823456956159951
0.036734693877551,0.0163265306122449,0.80533433927848
0.0397959183673469,0.0163265306122449,0.785374059575114
0.0428571428571429,0.0163265306122449,0.764424536318999
0.0459183673469388,0.0163265306122449,0.743150148271326
0.0489795918367347,0.0163265306122449,0.721966469477655
0.0520408163265306,0.0163265306122449,0.701104624747829
0.0551020408163265,0.0163265306122449,0.680683217945475
0.0581632653061225,0.0163265306122449,0.660757025028193
0.0612244897959184,0.0163265306122449,0.64134554029549
0.0642857142857143,0.0163265306122449,0.622448977698561
0.0673469387755102,0.0163265306122449,0.604057170960438
0.0704081632653061,0.0163265306122449,0.586154553102659
0.073469387755102,0.0163265306122449,0.568722967189707
0.076530612244898,0.0163265306122449,0.55174326241648
0.0795918367346939,0.0163265306122449,0.535196199320695
0.0826530612244898,0.0163265306122449,0.519062956141942
0.0857142857142857,0.0163265306122449,0.503325402075769
0.0887755102040816,0.0163265306122449,0.487966233189029
0.0918367346938776,0.0163265306122449,0.472969027237638
0.0948979591836735,0.0163265306122449,0.458318250882801
0.0979591836734694,0.0163265306122449,0.443999239475277
0.101020408163265,0.0163265306122449,0.429998161652223
0.104081632653061,0.0163265306122449,0.416301976193338
0.107142857142857,0.0163265306122449,0.402898385666387
0.110204081632653,0.0163265306122449,0.38977578958158
0.113265306122449,0.0163265306122449,0.376923238652553
0.116326530612245,0.0163265306122449,0.364330391067892
0.119387755102041,0.0163265306122449,0.35198747123592
0.122448979591837,0.0163265306122449,0.339885231199869
0.125510204081633,0.0163265306122449,0.328014914754182
0.128571428571429,0.0163265306122449,0.316368224194331
0.131632653061224,0.0163265306122449,0.304937289577816
0.13469387755102,0.0163265306122449,0.2937146403434
0.137755102040816,0.0163265306122449,0.282693179125181
0.140816326530612,0.0163265306122449,0.271866157594502
0.143877551020408,0.0163265306122449,0.261227154168568
0.146938775510204,0.0163265306122449,0.250770053431532
0.15,0.0163265306122449,0.240489027124531
0,0.0326530612244898,0.139929555546521
0.00306122448979592,0.0326530612244898,0.249153944283502
0.00612244897959184,0.0326530612244898,0.354261656417736
0.00918367346938775,0.0326530612244898,0.453895996082101
0.0122448979591837,0.0326530612244898,0.546119726602992
0.0153061224489796,0.0326530612244898,0.628695719201066
0.0183673469387755,0.0326530612244898,0.700011127397049
0.0214285714285714,0.0326530612244898,0.760088640235389
