x_nom,f_nom,x_ki,f_ki,x_kp,f_kp
0.334209965756978,-4.16092868524555,0.353167546106136,-1.62611250393979,0.316768038331544,3.9063388448208
0.333895876866326,-4.17756166915021,0.352763036215495,-1.65183763219195,0.317062616172132,3.92091018791847
0.333584570085541,-4.03389843309447,0.352211581637616,-1.47663159240202,0.317265049910008,3.87396971294288
0.333576729430105,-3.85431550976521,0.351818966810416,-1.31984186475101,0.317479093044201,3.90904133593065
0.333106768969141,-3.77170556170204,0.351511183953049,-1.28679631829942,0.317683812451975,3.97627336585281
0.332823874695345,-3.7146584305646,0.35144608107049,-1.33933918930764,0.317904497236349,3.94903577305557
0.332521200240369,-3.69682633678913,0.351124038073196,-1.32064512963583,0.317913674319777,3.96277417140142
0.332191493249411,-3.62667762444237,0.350997497294401,-1.3054505700191,0.318128820513548,3.95240215082782
0.331883700349023,-3.4236137021432,0.350320280231459,-1.07026124343702,0.318319851615543,4.04673128993827
0.331563937636275,-3.2846101488777,0.349914931654569,-0.874762664464767,0.318538382297503,3.9964726556109
0.331252549761747,-3.23305884196439,0.349595330117948,-0.737886181082456,0.318736837075198,3.95093068846712
0.330938288176606,-3.1447273996687,0.349178645411071,-0.626538207881877,0.319062410081436,4.00359348489151
0.330651197714746,-2.96285447243843,0.348597550650343,-0.465978204538827,0.319282975991423,3.97166741072139
0.330176331050888,-2.85518580605746,0.348230555753529,-0.415179182220006,0.319512853257291,4.01032490940498
0.32986046800536,-2.79531882057593,0.347833033063169,-0.32200186385655,0.319731972859015,3.95326296890352
0.329584878924563,-2.7318353642376,0.347443199768682,-0.116179407808096,0.319959521163037,4.09733708803696
0.329281396048381,-2.77621854047093,0.347070001252625,-0.0561236665439979,0.320159328633177,4.08879661255388
0.328977832359221,-2.80128181620918,0.346678504715263,0.0721168783656057,0.320384654000426,4.11975841234061
0.328659704749905,-2.70194823807516,0.346266702299274,0.213325297706889,0.320601555778841,4.09830538179892
0.328345134249613,-2.73171959940874,0.345985567621121,0.272226912000519,0.320831657436729,4.11243970130438
0.328389171962762,-2.62437802301148,0.345903893844521,0.308611460544131,0.321136387440412,4.08550807853681
0.328392241906803,-2.65141176673553,0.345309992684244,0.408057247066066,0.321143583798309,4.07698412384761
0.327787393100494,-2.73129862635446,0.344916001348533,0.481803310506584,0.321357447313306,4.07723783988786
0.327460745166347,-2.7316303540185,0.344503001132866,0.531625644255069,0.321570726422793,4.06771647542828
0.32714874095834,-2.73746493391517,0.344131947258366,0.484028440170865,0.321811372604305,4.11329443793234
0.326733225446673,-2.69426603882096,0.343749327244078,0.432805141114765,0.32202977092892,4.11436953012981
0.326445529965984,-2.65950894866303,0.343333378652038,0.485722308997191,0.322255439642917,4.19401833611651
0.326122592902422,-2.70566718630641,0.342950159825979,0.614795802941923,0.322471804112278,4.12121858753048
0.325855218172457,-2.75009150843397,0.342575909777023,0.775392485665886,0.322685720387279,4.1117751089159
0.325535440567452,-2.70296331385014,0.342164074160088,0.906349471991789,0.322897661043736,4.12253304326551
0.32524126597503,-2.60321887245672,0.341587680265309,0.897293806057079,0.323125225838205,4.17580829858313
0.324947150085405,-2.41790962987996,0.341199867488593,0.975301917281187,0.323352904355626,4.18563602667326
0.32466441298836,-2.48066617670972,0.340799703873625,1.13534183174443,0.323675145026762,4.23948977453264
0.32436882882118,-2.39598922470843,0.340406999994764,1.13237447671852,0.32389100941305,4.19285010868674
0.324057129303636,-2.36377712466251,0.339988125267876,1.25931171280533,0.324149394703568,4.17739767099478
0.323621882937292,-2.30083247417967,0.339577231984459,1.36069399767736,0.324379563727406,4.12576504194725
0.323608651804374,-2.22187277158255,0.339216639707502,1.48010761372938,0.324611653508898,4.10792523442689
0.323088003034734,-2.14043047508489,0.339156231462447,1.49852086407819,0.324839595676888,4.11177983621266
