x_nom,v_nom,f_nom,x_ki,v_ki,f_ki,x_kp,v_kp,f_kp
0.334209965756978,-0.308338352989185,4.16092868524555,0.340995392813669,-0.387174708949014,-0.499825444957523,0.316768038331544,0.204823993231671,-3.9063388448208
0.333895876866326,-0.307543947330633,4.17756166915021,0.340609525731935,-0.387023055442594,-0.584964263550372,0.317062616172132,0.205424954019581,-3.92091018791847
0.333584570085541,-0.3068926533063,4.03389843309447,0.340199397271918,-0.386782813444669,-0.709955772851077,0.317265049910008,0.205939132310038,-3.87396971294288
0.333576729430105,-0.306400264417051,3.85431550976521,0.339814099182441,-0.386397879731586,-0.807313413227773,0.317479093044201,0.206412482278665,-3.90904133593065
0.333106768969141,-0.306041883599013,3.77170556170204,0.339399170024846,-0.385819701623485,-0.886317721105798,0.317683812451975,0.20690054190684,-3.97627336585281
0.332823874695345,-0.305764969462265,3.7146584305646,0.338973223134187,-0.38501486638306,-0.863496906171447,0.317904497236349,0.207458878680805,-3.94903577305557
0.332521200240369,-0.305515589798868,3.69682633678913,0.338390813416496,-0.383982446866727,-0.887000608576089,0.317913674319777,0.208127058246271,-3.96277417140142
0.332191493249411,-0.305247192388403,3.62667762444237,0.338012076389913,-0.382769949482275,-0.849235160514242,0.318128820513548,0.208909401165147,-3.95240215082782
0.331883700349023,-0.304918802680993,3.4236137021432,0.337607466266097,-0.381468830654578,-0.905807389479965,0.318319851615543,0.209773076059744,-4.04673128993827
0.331563937636275,-0.304495479129857,3.2846101488777,0.337210858701719,-0.380193206883097,-0.962488048305221,0.318538382297503,0.210664785487723,-3.9964726556109
0.331252549761747,-0.303948841979278,3.23305884196439,0.336936812645754,-0.37905207800328,-0.975548690573711,0.318736837075198,0.211527111478139,-3.95093068846712
0.330938288176606,-0.303256202595455,3.1447273996687,0.336854649564795,-0.378116434582537,-1.09596931446485,0.319062410081436,0.212311225379444,-4.00359348489151
0.330651197714746,-0.302401574342747,2.96285447243843,0.336186979293378,-0.377403678903912,-1.11231774122634,0.319282975991423,0.212989188565118,-3.97166741072139
0.330176331050888,-0.301385827809361,2.85518580605746,0.336135816590423,-0.376889183274025,-1.13563081438398,0.319512853257291,0.213557009745698,-4.01032490940498
0.32986046800536,-0.300242114657002,2.79531882057593,0.335744644680056,-0.376512842053638,-1.1534528124826,0.319731972859015,0.214026810482924,-3.95326296890352
0.329584878924563,-0.299036121614431,2.7318353642376,0.335343165954454,-0.376182379705002,-1.14335092164464,0.319959521163037,0.214418838992228,-4.09733708803696
0.329281396048381,-0.297848692350768,2.77621854047093,0.33480885884779,-0.375802836080981,-1.1406902337641,0.320159328633177,0.214757436515418,-4.08879661255388
0.328977832359221,-0.296762807287051,2.80128181620918,0.334421195401687,-0.375310880586246,-1.13817264531377,0.320384654000426,0.21506851746642,-4.11975841234061
0.328659704749905,-0.295864068995854,2.70194823807516,0.3340384090522,-0.37467921565458,-1.21318751199561,0.320601555778841,0.215378974577216,-4.09830538179892
0.328345134249613,-0.295238834414444,2.73171959940874,0.333668221319427,-0.373898871868702,-1.27722650178106,0.320831657436729,0.215719957273027,-4.11243970130438
0.328389171962762,-0.294943786150002,2.62437802301148,0.333333463844279,-0.372962997244626,-1.36329503522852,0.321136387440412,0.216130953308286,-4.08550807853681
0.328392241906803,-0.294953817479542,2.65141176673553,0.332911872867769,-0.371861962161388,-1.41368673581434,0.321143583798309,0.216651524044488,-4.07698412384761
0.327787393100494,-0.295154198685199,2.73129862635446,0.332553405276873,-0.370587460793287,-1.41367236523638,0.321357447313306,0.217299197191114,-4.07723783988786
0.327460745166347,-0.295403649460925,2.7316303540185,0.332141766421656,-0.369141681440528,-1.48991451848365,0.321570726422793,0.218059591676642,-4.06771647542828
0.32714874095834,-0.295595136676283,2.73746493391517,0.331600627242614,-0.36755287286425,-1.52368044130831,0.321811372604305,0.21890064825573,-4.11329443793234
0.326733225446673,-0.295666147819679,2.69426603882096,0.331235439984554,-0.365890231509222,-1.57159025662572,0.32202977092892,0.2197894297242,-4.11436953012981
0.326445529965984,-0.295589034947759,2.65950894866303,0.330858127716405,-0.364260028521168,-1.62383932269533,0.322255439642917,0.220697023758622,-4.19401833611651
0.326122592902422,-0.29536189005986,2.70566718630641,0.330531301161728,-0.362777639519963,-1.63206056348335,0.322471804112278,0.22159680750682,-4.12121858753048
0.325855218172457,-0.294996157813496,2.75009150843397,0.330524116886621,-0.361518649801205,-1.77439072551612,0.322685720387279,0.222461627007805,-4.1117751089159
0.325535440567452,-0.294507134776017,2.70296331385014,0.330384192271584,-0.360468838283055,-1.72656832968995,0.322897661043736,0.223261379651162,-4.12253304326551
