t;f1;frec1;fval1;fvalrec1;f2;frec2;fval2;fvalrec2;f3;frec3;fval3;fvalrec3;f4;frec4;fval4;fvalrec4;f5;frec5;fval5;fvalrec5;f6;frec6;fval6;fvalrec6;f7;frec7;fval7;fvalrec7;f8;frec8;fval8;fvalrec8;f9;frec9;fval9;fvalrec9;f10;frec10;fval10;fvalrec10;f11;frec11;fval11;fvalrec11
164;0.11979;0.081588;0.35751;0.24251;0.6282;0.49246;0.5379;0.26672;0.6491;0.6732;-0.58681;-0.31663;0.45077;0.25085;-0.2286;-0.23232;0.36384;0.41607;0.017568;-0.11855;-0.69023;-1.0464;-0.32856;-0.1835;0.35371;0.54674;-0.098266;-0.23411;-0.82925;-1.0679;-0.27887;-0.34668;-1.0737;-1.1471;-0.18319;0.18396;-1.0741;-1.1232;-0.52066;-0.42767;-0.65069;-0.822;-0.69079;-0.302
165;0.10153;0.06567;0.3444;0.24567;0.60359;0.46645;0.53254;0.26648;0.6129;0.62019;-0.57052;-0.31254;0.41991;0.22471;-0.21951;-0.22868;0.34644;0.4095;0.028307;-0.11242;-0.64263;-0.9798;-0.31186;-0.15909;0.32785;0.51732;-0.091563;-0.21856;-0.77377;-0.99888;-0.282;-0.35865;-1.0287;-1.0856;-0.17273;0.1811;-1.018;-1.0921;-0.49924;-0.39499;-0.61668;-0.77473;-0.66869;-0.3222
166;0.084073;0.049459;0.33078;0.2508;0.57953;0.44121;0.52723;0.26851;0.578;0.56765;-0.55299;-0.30711;0.39085;0.20189;-0.21013;-0.22403;0.32992;0.40469;0.03817;-0.11096;-0.59738;-0.91305;-0.29526;-0.13637;0.30418;0.49482;-0.084961;-0.20498;-0.72057;-0.93354;-0.28446;-0.36187;-0.98405;-1.0181;-0.16173;0.177;-0.96311;-1.0595;-0.47729;-0.36607;-0.58341;-0.72752;-0.64478;-0.34376
167;0.067472;0.032974;0.31668;0.25839;0.55579;0.41659;0.52193;0.27333;0.54452;0.51592;-0.53442;-0.30031;0.36351;0.18246;-0.20051;-0.21838;0.3143;0.40178;0.047051;-0.1133;-0.55436;-0.8464;-0.27887;-0.11571;0.28265;0.47897;-0.078526;-0.19437;-0.66955;-0.87149;-0.28602;-0.35593;-0.9397;-0.94674;-0.15022;0.17157;-0.90958;-1.0249;-0.45502;-0.34222;-0.55078;-0.68022;-0.6194;-0.36444
168;0.051798;0.016291;0.30211;0.26869;0.53214;0.3925;0.51658;0.28142;0.51259;0.46532;-0.51503;-0.29212;0.33776;0.16642;-0.19068;-0.21182;0.29958;0.40077;0.054858;-0.11826;-0.51346;-0.78016;-0.26276;-0.097377;0.26316;0.4691;-0.072308;-0.1878;-0.62063;-0.81233;-0.28651;-0.34095;-0.89552;-0.87347;-0.13828;0.16475;-0.85741;-0.98801;-0.43268;-0.32448;-0.51872;-0.6329;-0.59292;-0.38227
169;0.037132;-0.0004577;0.2871;0.28173;0.50833;0.36889;0.5111;0.29311;0.48228;0.41615;-0.49503;-0.28256;0.31344;0.15372;-0.18065;-0.20443;0.28576;0.40159;0.061531;-0.12436;-0.47456;-0.71467;-0.24699;-0.081589;0.24555;0.46463;-0.066345;-0.18604;-0.57374;-0.75574;-0.2858;-0.31759;-0.85143;-0.7998;-0.12605;0.15656;-0.8066;-0.94893;-0.41048;-0.31341;-0.48724;-0.58584;-0.56572;-0.39603
170;0.023553;-0.017091;0.27166;0.29712;0.48417;0.34577;0.5054;0.3085;0.45362;0.36864;-0.47459;-0.27168;0.29035;0.14423;-0.17046;-0.19628;0.27277;0.40409;0.067039;-0.12991;-0.43757;-0.65026;-0.23156;-0.068452;0.22961;0.4652;-0.06066;-0.1893;-0.52886;-0.70144;-0.2838;-0.28695;-0.80743;-0.72709;-0.11371;0.14709;-0.75713;-0.90778;-0.38862;-0.30892;-0.45635;-0.53942;-0.53812;-0.40545
171;0.011137;-0.033424;0.25586;0.31393;0.45949;0.3232;0.49932;0.32714;0.42661;0.32304;-0.45387;-0.25956;0.2683;0.13774;-0.16011;-0.18747;0.26049;0.40811;0.071367;-0.1332;-0.40243;-0.58722;-0.21647;-0.057983;0.21511;0.47074;-0.055244;-0.19716;-0.48598;-0.64922;-0.28048;-0.25053;-0.76357;-0.65649;-0.10146;0.13648;-0.70898;-0.86484;-0.36726;-0.31047;-0.42614;-0.49395;-0.51041;-0.41091
172;-4.8157e-05;-0.049319;0.23977;0.33082;0.43421;0.30123;0.49268;0.34792;0.40124;0.27952;-0.43294;-0.2463;0.24715;0.13396;-0.14967;-0.1781;0.24879;0.41348;0.07452;-0.13299;-0.36909;-0.52575;-0.20172;-0.050114;0.20183;0.48134;-0.050063;-0.20874;-0.4451;-0.5989;-0.27579;-0.21002;-0.71996;-0.58886;-0.089474;0.12491;-0.66214;-0.8204;-0.34655;-0.31714;-0.39673;-0.44969;-0.48285;-0.41297
173;-0.0099359;-0.064706;0.22344;0.34632;0.4083;0.27994;0.48524;0.3693;0.37739;0.23826;-0.4118;-0.23206;0.22679;0.13249;-0.13923;-0.16825;0.23754;0.42005;0.076534;-0.12875;-0.33754;-0.46599;-0.18731;-0.044665;0.18952;0.49707;-0.045073;-0.22282;-0.40622;-0.5503;-0.26975;-0.16712;-0.67671;-0.52478;-0.077947;0.11257;-0.61664;-0.77483;-0.32663;-0.32769;-0.36823;-0.40686;-0.45564;-0.41222
174;-0.018461;-0.079545;0.20693;0.35917;0.38184;0.25943;0.47675;0.38971;0.35491;0.19942;-0.39037;-0.21703;0.20717;0.13284;-0.12888;-0.15804;0.22656;0.42764;0.077483;-0.12062;-0.30779;-0.40804;-0.17323;-0.041308;0.17799;0.51754;-0.040228;-0.23785;-0.36938;-0.50323;-0.26241;-0.12352;-0.63395;-0.46448;-0.067061;0.099676;-0.57251;-0.72847;-0.30755;-0.34051;-0.34081;-0.36563;-0.42887;-0.40915
175;-0.025569;-0.09378;0.19028;0.36833;0.35497;0.23978;0.46696;0.40785;0.33356;0.16314;-0.36856;-0.20142;0.18829;0.13442;-0.11876;-0.14757;0.21569;0.43607;0.077478;-0.10914;-0.27979;-0.35203;-0.15951;-0.039585;0.16706;0.5418;-0.035498;-0.25186;-0.3346;-0.45746;-0.25385;-0.080839;-0.59187;-0.40794;-0.057008;0.086424;-0.52976;-0.6817;-0.28931;-0.35376;-0.31456;-0.32611;-0.40261;-0.40425
176;-0.031229;-0.10732;0.17355;0.37304;0.32791;0.22112;0.45563;0.42271;0.31307;0.12955;-0.34629;-0.18547;0.17017;0.13665;-0.109;-0.13699;0.2048;0.44514;0.076654;-0.095183;-0.25348;-0.29824;-0.14612;-0.038985;0.15663;0.56847;-0.030885;-0.26264;-0.30196;-0.41271;-0.24416;-0.040626;-0.55064;-0.35497;-0.047959;0.073051;-0.48838;-0.63483;-0.27183;-0.36566;-0.2896;-0.28833;-0.37683;-0.39792
177;-0.035462;-0.12003;0.15688;0.37281;0.30092;0.20359;0.44256;0.43353;0.29319;0.098743;-0.32347;-0.16943;0.15287;0.13911;-0.09971;-0.12642;0.19375;0.45461;0.075154;-0.079893;-0.22878;-0.24698;-0.13306;-0.039042;0.14661;0.59606;-0.026429;-0.26814;-0.27154;-0.36864;-0.23347;-0.0043959;-0.51045;-0.3054;-0.040021;0.059808;-0.44839;-0.58815;-0.25501;-0.37494;-0.26596;-0.25225;-0.3515;-0.39059
178;-0.038338;-0.13174;0.14042;0.36752;0.27428;0.18735;0.42759;0.43987;0.27371;0.070764;-0.30008;-0.15358;0.13645;0.14166;-0.091016;-0.11603;0.18247;0.4642;0.073118;-0.06471;-0.20558;-0.19856;-0.1203;-0.039378;0.13695;0.62304;-0.022186;-0.26713;-0.2434;-0.3248;-0.22192;0.026383;-0.47149;-0.25929;-0.033215;0.046976;-0.4098;-0.5419;-0.23875;-0.38114;-0.24363;-0.21778;-0.32654;-0.38263
179;-0.039968;-0.14225;0.12439;0.35762;0.24829;0.17254;0.41059;0.44167;0.25444;0.045584;-0.27614;-0.13825;0.12097;0.14433;-0.083002;-0.106;0.17096;0.47362;0.070677;-0.051171;-0.18384;-0.1532;-0.10786;-0.039717;0.1276;0.64788;-0.018206;-0.25953;-0.21757;-0.28065;-0.20965;0.050329;-0.43392;-0.21694;-0.027487;0.034852;-0.37269;-0.49634;-0.22292;-0.38432;-0.22258;-0.18488;-0.30188;-0.37446
180;-0.040488;-0.15142;0.10898;0.34404;0.22325;0.15929;0.39152;0.43935;0.23526;0.023128;-0.25174;-0.1238;0.10647;0.14718;-0.075711;-0.096529;0.15926;0.48257;0.067958;-0.040522;-0.16351;-0.11099;-0.095786;-0.039869;0.11853;0.66899;-0.014523;-0.24604;-0.19401;-0.23575;-0.19684;0.066252;-0.39786;-0.17871;-0.02274;0.023734;-0.33711;-0.45171;-0.20743;-0.38476;-0.20274;-0.15352;-0.27747;-0.36645
181;-0.040043;-0.15923;0.09442;0.32791;0.19946;0.14772;0.37041;0.43371;0.21609;0.0033;-0.22702;-0.11062;0.093006;0.15024;-0.069129;-0.087798;0.14746;0.49074;0.065081;-0.033383;-0.14457;-0.071964;-0.084128;-0.039727;0.10973;0.68497;-0.011178;-0.22779;-0.17266;-0.18998;-0.18363;0.073265;-0.36335;-0.1449;-0.018851;0.013898;-0.30318;-0.40825;-0.19216;-0.38276;-0.18402;-0.12376;-0.25325;-0.35899
182;-0.038791;-0.16572;0.0809;0.31033;0.17717;0.13787;0.3474;0.42564;0.1969;-0.013998;-0.20224;-0.099136;0.080613;0.15352;-0.063189;-0.079944;0.13566;0.4978;0.062136;-0.029775;-0.127;-0.036058;-0.072961;-0.039256;0.10119;0.69493;-0.0082333;-0.20608;-0.15344;-0.14381;-0.17017;0.07086;-0.33043;-0.11578;-0.015676;0.0055798;-0.27095;-0.36623;-0.17702;-0.37863;-0.16634;-0.095645;-0.22923;-0.35246
183;-0.036901;-0.17099;0.068608;0.29219;0.15657;0.12975;0.32271;0.41603;0.17775;-0.028855;-0.17769;-0.089675;0.069318;0.15698;-0.057789;-0.07301;0.12393;0.50353;0.059163;-0.02937;-0.11081;-0.003196;-0.062355;-0.03849;0.092899;0.69877;-0.0057611;-0.18243;-0.13622;-0.098083;-0.15659;0.05893;-0.29907;-0.091541;-0.013055;-0.0010215;-0.2405;-0.32592;-0.16191;-0.37267;-0.14959;-0.069261;-0.20548;-0.34724
184;-0.034562;-0.17513;0.05769;0.27417;0.13778;0.12332;0.29665;0.40569;0.15875;-0.041362;-0.15371;-0.082419;0.059127;0.16059;-0.05281;-0.066958;0.11235;0.50786;0.056147;-0.031641;-0.095966;0.026675;-0.052382;-0.03752;0.084871;0.69694;-0.0038162;-0.15858;-0.12085;-0.053689;-0.14301;0.037794;-0.26924;-0.072353;-0.010824;-0.0057505;-0.21188;-0.28759;-0.14683;-0.36515;-0.13365;-0.044611;-0.18215;-0.34367
185;-0.031965;-0.1783;0.048217;0.25682;0.12078;0.11852;0.26961;0.39529;0.14007;-0.051614;-0.13067;-0.077354;0.050031;0.1643;-0.048131;-0.061718;0.10097;0.51099;0.053048;-0.035893;-0.082459;0.05359;-0.04313;-0.036479;0.077129;0.68998;-0.0024061;-0.13621;-0.10714;-0.011428;-0.12953;0.0082294;-0.24088;-0.058234;-0.0088352;-0.0084966;-0.18516;-0.25151;-0.13182;-0.35637;-0.1184;-0.021617;-0.15946;-0.34196
186;-0.029277;-0.18062;0.040172;0.24052;0.10548;0.11519;0.24199;0.38544;0.12191;-0.059737;-0.10891;-0.074276;0.042004;0.16805;-0.043644;-0.05722;0.089853;0.51328;0.049823;-0.041268;-0.070269;0.077607;-0.034699;-0.035535;0.069687;0.67833;-0.0014834;-0.11658;-0.094856;0.02803;-0.11624;-0.028471;-0.21392;-0.048908;-0.0069775;-0.0092002;-0.16042;-0.21796;-0.11699;-0.34668;-0.10377;-0.00012963;-0.13768;-0.34214
187;-0.026613;-0.18226;0.033454;0.22552;0.09174;0.11316;0.21425;0.37654;0.10448;-0.065901;-0.088746;-0.072803;0.035006;0.17178;-0.039263;-0.053407;0.079076;0.51521;0.046441;-0.046826;-0.059361;0.098833;-0.027193;-0.034881;0.062537;0.6623;-0.0009593;-0.10028;-0.083781;0.064125;-0.10324;-0.070533;-0.18828;-0.043733;-0.0051925;-0.0078604;-0.13774;-0.18721;-0.10248;-0.33647;-0.089731;0.020035;-0.11706;-0.34399
188;-0.024018;-0.18337;0.027906;0.21201;0.079369;0.11221;0.18686;0.36881;0.08798;-0.070319;-0.070446;-0.072385;0.028962;0.17546;-0.034929;-0.050236;0.068726;0.51735;0.042886;-0.051764;-0.049676;0.11744;-0.020687;-0.034728;0.055652;0.64205;-0.00072681;-0.087372;-0.073693;0.096441;-0.090606;-0.11596;-0.1639;-0.041823;-0.0034771;-0.0045428;-0.11714;-0.15948;-0.088464;-0.32625;-0.076356;0.039092;-0.097844;-0.34715
189;-0.021497;-0.18407;0.023345;0.20004;0.068199;0.11211;0.16028;0.3623;0.072583;-0.073219;-0.054239;-0.072318;0.023761;0.17914;-0.03061;-0.047669;0.05889;0.52035;0.039151;-0.055619;-0.041129;0.13365;-0.015209;-0.03531;0.049003;0.61771;-0.00068121;-0.077758;-0.0644;0.12479;-0.078421;-0.1629;-0.14075;-0.042201;-0.0018714;0.00061092;-0.098606;-0.13501;-0.075093;-0.31653;-0.063753;0.057304;-0.080222;-0.35117
190;-0.019036;-0.18446;0.019588;0.18964;0.058075;0.11267;0.13493;0.35695;0.058472;-0.07482;-0.04028;-0.071794;0.019278;0.18297;-0.026315;-0.045657;0.049641;0.52497;0.035236;-0.058296;-0.033626;0.14773;-0.01073;-0.036901;0.042575;0.58956;-0.00073234;-0.071355;-0.055738;0.14927;-0.066768;-0.20989;-0.11886;-0.043866;-0.00043345;0.0073717;-0.082031;-0.11396;-0.062523;-0.30787;-0.052056;0.074991;-0.06434;-0.35556
191;-0.016626;-0.18462;0.016458;0.18075;0.04886;0.11369;0.11118;0.3527;0.045816;-0.07533;-0.028632;-0.07;0.015395;0.18718;-0.022097;-0.044113;0.04104;0.53188;0.031145;-0.059952;-0.027076;0.15997;-0.0071798;-0.039843;0.036376;0.55815;-0.00080978;-0.068102;-0.047574;0.17025;-0.05573;-0.2559;-0.098347;-0.045782;0.00078547;0.015412;-0.067262;-0.096438;-0.050896;-0.30081;-0.041396;0.092448;-0.050297;-0.35974
192;-0.014265;-0.1846;0.013788;0.17326;0.040431;0.11504;0.089299;0.34954;0.034756;-0.074938;-0.019262;-0.066233;0.012027;0.19207;-0.018035;-0.042924;0.033138;0.54142;0.026889;-0.060903;-0.021396;0.17061;-0.0044619;-0.044529;0.030424;0.52429;-0.00086235;-0.067951;-0.039818;0.18825;-0.045397;-0.30026;-0.07935;-0.046882;0.0017484;0.024291;-0.054136;-0.082427;-0.040352;-0.29593;-0.031881;0.10979;-0.038154;-0.36309
193;-0.011958;-0.18445;0.011431;0.16705;0.032688;0.11662;0.069508;0.34746;0.025372;-0.073808;-0.012041;-0.059982;0.0091241;0.19786;-0.014219;-0.041964;0.02598;0.55334;0.022505;-0.061598;-0.01651;0.17984;-0.0024742;-0.051321;0.024752;0.48897;-0.00085842;-0.070872;-0.032437;0.20385;-0.035864;-0.34263;-0.062039;-0.046202;0.0024235;0.033442;-0.042515;-0.071766;-0.031006;-0.29381;-0.023594;0.12685;-0.027924;-0.36507
194;-0.0097053;-0.18418;0.0092544;0.16199;0.025569;0.11842;0.051987;0.34646;0.017673;-0.072065;-0.0067664;-0.05095;0.0066627;0.20453;-0.010733;-0.041113;0.019607;0.56696;0.018075;-0.062624;-0.012348;0.18783;-0.001113;-0.060471;0.019403;0.45326;-0.00078887;-0.076904;-0.025463;0.21774;-0.027226;-0.38292;-0.046578;-0.043193;0.0027722;0.042161;-0.032298;-0.064156;-0.022921;-0.29512;-0.016598;0.14332;-0.019557;-0.36533
195;-0.0075101;-0.18378;0.0071681;0.158;0.019066;0.12045;0.036884;0.34646;0.011593;-0.069777;-0.0031801;-0.039064;0.0046244;0.21185;-0.0076515;-0.040264;0.014062;0.58144;0.013732;-0.064652;-0.0088477;0.19474;-0.00027452;-0.072086;0.014446;0.41836;-0.0006655;-0.086181;-0.018982;0.23063;-0.019587;-0.42125;-0.033121;-0.037936;0.0027594;0.049608;-0.023423;-0.059211;-0.016108;-0.30061;-0.010933;0.15885;-0.012942;-0.36386
196;-0.005399;-0.18325;0.0051543;0.15511;0.013234;0.12279;0.024299;0.34713;0.0070035;-0.066957;-0.0010024;-0.024462;0.0029855;0.21944;-0.005038;-0.039325;0.0093861;0.59606;0.0096501;-0.068285;-0.0059484;0.20074;0.00014928;-0.086113;0.0099816;0.3856;-0.0005115;-0.098891;-0.013128;0.24326;-0.013057;-0.45783;-0.02181;-0.03102;0.0023936;0.054939;-0.015864;-0.056527;-0.010535;-0.31109;-0.0065994;0.17323;-0.0079232;-0.36085
197;-0.0034488;-0.18262;0.0032853;0.15337;0.0081986;0.12554;0.014291;0.34785;0.0037407;-0.063592;6.2991e-05;-0.0075;0.001721;0.22691;-0.0029434;-0.038222;0.0056103;0.61017;0.0060276;-0.073863;-0.0036015;0.20604;0.00027282;-0.10233;0.0061443;0.35632;-0.00034987;-0.11519;-0.0080859;0.25615;-0.0077455;-0.4929;-0.012774;-0.023244;0.0017598;0.057591;-0.0096359;-0.055706;-0.0061631;-0.32744;-0.0035186;0.1863;-0.0043176;-0.35656
198;-0.0017905;-0.18196;0.0016984;0.15283;0.004152;0.12879;0.0068907;0.34784;0.00162;-0.059666;0.00034184;0.011279;0.00081154;0.2339;-0.0013994;-0.036903;0.0027587;0.62325;0.0030716;-0.081372;-0.0017963;0.21083;0.00021326;-0.12024;0.0030917;0.33148;-0.00019777;-0.13515;-0.0040683;0.26936;-0.0037526;-0.5266;-0.006109;-0.015424;0.0010155;0.057495;-0.0048106;-0.056379;-0.0029586;-0.35052;-0.0015301;0.19798;-0.0019264;-0.35128
199;-0.0005857;-0.18202;0.00055301;0.15527;0.0013327;0.13255;0.0021185;0.33991;0.00044345;-0.05391;0.0001948;0.031286;0.00024289;0.24085;-0.0004204;-0.036196;0.00086659;0.63528;0.0009914;-0.088491;-0.00057102;0.21485;8.6874e-05;-0.13988;0.00098805;0.3256;-7.1583e-05;-0.15187;-0.0012989;0.28502;-0.0011547;-0.56014;-0.0018561;-0.010694;0.00035943;0.055178;-0.0015304;-0.058673;-0.0009053;-0.37472;-0.0004254;0.20848;-0.00054902;-0.34664
200;0;-0.18543;0;0.16661;0;0.13622;0;0.30091;0;-0.042034;0;0.049938;0;0.25038;0;-0.039473;0;0.64714;0;-0.086195;0;0.21627;0;-0.16215;0;0.39193;0;-0.13732;0;0.31114;0;-0.59484;0;-0.018544;0;0.052589;0;-0.063771;0;-0.37298;0;0.21839;0;-0.3485
