t,z,f
109.501,-2.62444,4.03131
109.502,-2.59927,4.01658
109.503,-2.57392,4.00164
109.504,-2.54839,3.98648
109.505,-2.52268,3.9711
109.506,-2.49679,3.95549
109.507,-2.47071,3.93964
109.508,-2.44446,3.92355
109.509,-2.41801,3.90722
109.51,-2.39139,3.89063
109.511,-2.36458,3.87379
109.512,-2.33758,3.85669
109.513,-2.31039,3.83931
109.514,-2.28302,3.82167
109.515,-2.25546,3.80374
109.516,-2.22771,3.78553
109.517,-2.19977,3.76703
109.518,-2.17164,3.74824
109.519,-2.14332,3.72915
109.52,-2.1148,3.70974
109.521,-2.08609,3.69003
109.522,-2.05719,3.67
109.523,-2.02809,3.64965
109.524,-1.9988,3.62897
109.525,-1.96931,3.60795
109.526,-1.93963,3.5866
109.527,-1.90974,3.5649
109.528,-1.87966,3.54285
109.529,-1.84938,3.52044
109.53,-1.8189,3.49768
109.531,-1.78822,3.47454
109.532,-1.75733,3.45104
109.533,-1.72625,3.42716
109.534,-1.69496,3.40289
109.535,-1.66346,3.37824
109.536,-1.63176,3.35319
109.537,-1.59986,3.32774
109.538,-1.56775,3.30189
109.539,-1.53543,3.27562
109.54,-1.50291,3.24894
109.541,-1.47017,3.22184
109.542,-1.43723,3.19431
109.543,-1.40408,3.16635
109.544,-1.37071,3.13795
109.545,-1.33713,3.10911
109.546,-1.30334,3.07982
109.547,-1.26934,3.05008
109.548,-1.23513,3.01987
109.549,-1.20069,2.9892
109.55,-1.16605,2.95806
109.551,-1.13118,2.92644
109.552,-1.0961,2.89434
109.553,-1.0608,2.86175
109.554,-1.02529,2.82867
109.555,-0.989548,2.7951
109.556,-0.95359,2.76101
109.557,-0.917412,2.72642
109.558,-0.881011,2.69132
109.559,-0.844388,2.65569
109.56,-0.807541,2.61954
109.561,-0.770471,2.58286
109.562,-0.733175,2.54564
109.563,-0.695653,2.50788
109.564,-0.657905,2.46957
109.565,-0.619929,2.4307
109.566,-0.581726,2.39128
109.567,-0.543293,2.3513
109.568,-0.504631,2.31074
109.569,-0.465739,2.26961
109.57,-0.426615,2.2279
109.571,-0.387259,2.1856
109.572,-0.347671,2.14272
109.573,-0.307849,2.09923
109.574,-0.267792,2.05514
109.575,-0.227501,2.01045
109.576,-0.186974,1.96514
109.577,-0.14621,1.91921
109.578,-0.105208,1.87266
109.579,-0.0639688,1.82548
109.58,-0.0224902,1.77766
109.581,0.019228,1.7292
109.582,0.0611868,1.68009
109.583,0.103387,1.63034
109.584,0.145829,1.57992
109.585,0.188514,1.52885
109.586,0.231443,1.4771
109.587,0.274616,1.42468
109.588,0.318034,1.37158
109.589,0.352894,1.31683
109.59,0.360224,1.25642
109.591,0.387918,1.1884
109.592,0.420545,1.11088
109.593,0.453945,1.02221
109.594,0.487493,0.921099
109.595,0.53293,0.80672
109.596,0.570607,0.678831
109.597,0.603833,0.537794
109.598,0.636835,0.384591
109.599,0.66851,0.220765
109.6,0.700644,0.0483453
109.601,0.73361,-0.130282
109.602,0.764566,-0.312513
109.603,0.804511,-0.495683
109.604,0.837405,-0.677224
109.605,0.867875,-0.854804
109.606,0.897981,-1.02645
109.607,0.903562,-1.19065
109.608,0.923661,-1.34639
109.609,0.953558,-1.49319
109.61,0.981209,-1.63109
109.611,1.00947,-1.76058
109.612,1.03847,-1.88258
109.613,1.06603,-1.9983
109.614,1.09321,-2.10917
109.615,1.12905,-2.21674
109.616,1.15738,-2.32258
109.617,1.18244,-2.4282
109.618,1.20996,-2.53498
109.619,1.23564,-2.64412
109.62,1.26217,-2.75662
109.621,1.28646,-2.87325
109.622,1.31184,-2.99457
109.623,1.33594,-3.1209
109.624,1.36107,-3.25236
109.625,1.36603,-3.38889
109.626,1.39629,-3.53023
109.627,1.42294,-3.67598
109.628,1.44732,-3.82556
109.629,1.47003,-3.97824
109.63,1.49386,-4.13317
109.631,1.51568,-4.28931
109.632,1.53871,-4.44553
109.633,1.56006,-4.60058
109.634,1.58131,-4.75312
109.635,1.60299,-4.90181
109.636,1.63098,-5.04533
109.637,1.65335,-5.18247
109.638,1.67292,-5.31219
109.639,1.69197,-5.43371
109.64,1.71225,-5.54658
109.641,1.73151,-5.65072
109.642,1.73584,-5.74646
109.643,1.75177,-5.83455
109.644,1.77776,-5.91611
109.645,1.79923,-5.99259
109.646,1.81717,-6.06569
109.647,1.83572,-6.1372
109.648,1.85451,-6.20895
109.649,1.87186,-6.28258
109.65,1.88939,-6.3595
109.651,1.90713,-6.44076
109.652,1.92534,-6.52694
109.653,1.94301,-6.61817
109.654,1.96099,-6.71412
109.655,1.98479,-6.81402
109.656,2.00443,-6.91681
109.657,2.02026,-7.02118
109.658,2.0366,-7.12577
109.659,2.05125,-7.22928
109.66,2.06677,-7.3306
109.661,2.07013,-7.4289
109.662,2.08273,-7.52372
109.663,2.09787,-7.61498
109.664,2.1119,-7.70299
109.665,2.13231,-7.78835
109.666,2.14725,-7.87188
109.667,2.16104,-7.95451
109.668,2.17494,-8.03716
109.669,2.18791,-8.12057
109.67,2.20061,-8.20529
109.671,2.21201,-8.2915
109.672,2.22253,-8.37906
109.673,2.23821,-8.46746
109.674,2.24995,-8.55589
109.675,2.26028,-8.64331
109.676,2.27062,-8.72851
109.677,2.27296,-8.81029
109.678,2.28016,-8.88749
109.679,2.28964,-8.95911
109.68,2.2989,-9.02442
109.681,2.30758,-9.08293
109.682,2.31624,-9.13443
109.683,2.32463,-9.179
109.684,2.33244,-9.2169
109.685,2.34307,-9.24855
109.686,2.35042,-9.27445
109.687,2.35601,-9.29511
109.688,2.3614,-9.31102
