force_err
-0.1726
-0.1578
-0.1389
-0.11557
-0.088012
-0.056497
-0.02145
0.016582
0.05694
0.098826
0.14128
0.18323
0.2236
0.26151
0.29628
0.32737
0.35424
0.37631
0.39294
0.40345
0.40719
0.40359
0.3923
0.37311
0.34597
0.31097
0.26842
0.21892
0.16357
0.10407
0.042599
-0.018761
-0.07828
-0.1344
-0.18544
-0.22966
-0.26571
-0.29293
-0.31127
-0.32099
-0.32236
-0.3156
-0.30091
-0.2785
-0.24861
-0.21165
-0.16858
-0.12109
-0.071357
-0.021605
0.026096
0.069949
0.1085
0.14064
0.16553
0.18258
0.19147
0.19222
0.18521
0.17117
0.15111
0.12628
0.098043
0.067695
0.036349
0.0049258
-0.025812
-0.055268
-0.083036
-0.1089
-0.13278
-0.15467
-0.17461
-0.19273
-0.20926
-0.22448
-0.23872
-0.25233
-0.2656
-0.27874
-0.2918
-0.30468
-0.31711
-0.32874
-0.33911
-0.34776
-0.35423
-0.35809
-0.35891
-0.35633
-0.34999
-0.33965
-0.32509
-0.30618
-0.28284
-0.25505
-0.22285
-0.18633
-0.14566
-0.10104
-0.052769
-0.0011679
0.053382
0.11042
0.16934
0.22929
0.28919
0.34778
0.40365
0.4553
0.50119
0.53987
0.57005
0.59079
0.60149
0.60191
0.5922
0.5729
0.54498
0.50984
0.46911
0.42428
0.37663
0.32722
0.27718
0.22776
0.18039
0.13663
0.098092
0.065989
0.040904
0.022757
0.011011
0.0047967
0.0029268
0.0038747
0.0058631
0.0071741
0.0065909
0.0036108
-0.001719
-0.009077
-0.018001
-0.027895
-0.038031
-0.047641
-0.056127
-0.063204
-0.068851
-0.073151
-0.076187
-0.078019
-0.078685
-0.078208
-0.076622
-0.073998
-0.07045
-0.066132
-0.061232
-0.056
-0.050748
-0.045831
-0.041574
-0.038207
-0.035863
-0.034615
-0.034498
-0.035507
-0.037589
-0.040645
-0.044561
-0.049271
-0.05477
-0.061083
-0.068212
-0.076093
-0.084572
-0.0934
-0.10228
-0.11094
-0.11919
-0.12693
-0.13408
-0.14057
-0.14633
-0.15134
-0.15565
-0.15935
-0.16257
-0.16542
-0.16799
-0.17034
-0.1725
-0.17448
-0.17627
-0.17785
-0.17917
-0.18017
-0.18143
-0.18543
0.14128
0.15022
0.16438
0.18319
0.20609
0.23251
0.26186
0.29353
0.32681
0.36091
0.39496
0.42797
0.45888
0.48662
0.51004
0.52799
0.53926
0.54263
0.5369
0.52092
0.4937
0.4545
0.40297
0.33929
0.26419
0.17914
0.086274
-0.01164
-0.11154
-0.21036
-0.3052
-0.39317
-0.47135
-0.53682
-0.58706
-0.62018
-0.63507
-0.63129
-0.60904
-0.56909
-0.51285
-0.4424
-0.36033
-0.26961
-0.17332
-0.074506
0.023899
0.11912
0.20859
0.29002
0.36151
0.42172
0.46992
0.50602
0.53045
0.54399
0.54764
0.5426
0.53021
0.51197
0.48952
0.46455
0.43871
0.41342
0.38985
0.36883
0.35083
0.33602
0.32425
0.31509
0.3079
0.30189
0.29621
0.29
0.2824
0.27262
0.25994
0.24376
0.22361
0.19918
0.17028
0.13689
0.099144
0.057343
0.011995
-0.036167
-0.086205
-0.13705
-0.1876
-0.23685
-0.2839
-0.32799
-0.36838
-0.40432
-0.43507
-0.45994
-0.47843
-0.49027
-0.49547
-0.49426
-0.48704
-0.47434
-0.45687
-0.43545
-0.41102
-0.38452
-0.35689
-0.32899
-0.30154
-0.27516
-0.25025
-0.22705
-0.20563
-0.18597
-0.16807
-0.15189
-0.13744
-0.12469
-0.11362
-0.10417
-0.096247
-0.089755
-0.084574
-0.080569
-0.077575
-0.075393
-0.073797
-0.072543
-0.071378
-0.07007
-0.068426
-0.06629
-0.063542
-0.060119
-0.056037
-0.051411
-0.046446
-0.04143
-0.036706
-0.032639
-0.029574
-0.0278
-0.027526
-0.028856
-0.031767
-0.036132
-0.041752
-0.0484
-0.055834
-0.063812
-0.072091
