i;ii;iii;iv
0.0042932;0.018368;0.017323;0.038213
0.0041041;0.017909;0.017245;0.038452
0.0039013;0.017439;0.017174;0.038679
0.0036877;0.016957;0.01711;0.038889
0.003466;0.016463;0.017053;0.039079
0.003239;0.015956;0.017001;0.039242
0.0030095;0.015436;0.016954;0.039375
0.00278;0.014903;0.016911;0.039471
0.0025533;0.01436;0.016869;0.039526
0.0023322;0.013808;0.016827;0.039535
0.0021195;0.01325;0.016783;0.039492
0.0019182;0.012691;0.016735;0.039394
0.0017311;0.012135;0.01668;0.039236
0.0015614;0.011588;0.016617;0.039012
0.0014116;0.011054;0.016544;0.038721
0.0012843;0.010538;0.016461;0.038358
0.0011813;0.010043;0.016366;0.037922
0.0011039;0.0095719;0.01626;0.03741
0.0010525;0.0091249;0.01614;0.036823
0.0010265;0.0087015;0.016007;0.036159
0.0010245;0.0082998;0.015856;0.035421
0.0010441;0.0079169;0.015685;0.034608
0.0010819;0.0075496;0.01549;0.033724
0.0011341;0.0071946;0.015265;0.032771
0.0011966;0.0068489;0.015005;0.031752
0.0012649;0.00651;0.014703;0.030669
0.0013344;0.0061764;0.014354;0.029528
0.0014007;0.0058476;0.013952;0.028333
0.0014596;0.0055238;0.013494;0.027087
0.0015073;0.005206;0.012977;0.025797
0.0015402;0.0048957;0.012403;0.024466
0.0015555;0.0045945;0.011776;0.0231
0.0015509;0.0043039;0.011103;0.021704
0.0015247;0.004025;0.010394;0.020283
0.0014762;0.0037586;0.0096592;0.018842
0.0014056;0.0035046;0.0089112;0.017387
0.0013142;0.0032626;0.0081618;0.015923
0.0012043;0.0030316;0.0074222;0.014457
0.0010792;0.0028102;0.0067022;0.012998
0.00094248;0.0025971;0.0060098;0.011554
0.00079831;0.002391;0.0053508;0.010136
0.00065097;0.0021907;0.0047292;0.0087578
0.00050468;0.0019954;0.0041474;0.007433
0.00036346;0.0018047;0.0036065;0.0061765
0.00023097;0.0016187;0.0031064;0.0050035
0.00011031;0.0014378;0.0026468;0.0039283
3.9993e-06;0.0012627;0.002227;0.002964
-8.6073e-05;0.0010946;0.0018464;0.002121
-0.00015867;0.00093467;0.0015043;0.0014063
-0.0002132;0.00078417;0.0012006;0.0008225
-0.00024968;0.00064448;0.00093488;0.00036669
-0.00026879;0.0005169;0.0007066;3.1041e-05
-0.00027181;0.00040257;0.00051494;-0.00019654
-0.00026064;0.00030245;0.00035854;-0.00033113
-0.00023772;0.00021722;0.00023542;-0.00038962
-0.00020596;0.00014719;0.00014286;-0.00038966
-0.00016854;9.227e-05;7.7349e-05;-0.00034862
-0.00012881;5.1812e-05;3.4702e-05;-0.00028268
-9.0068e-05;2.4565e-05;1.0277e-05;-0.00020613
-5.5422e-05;8.5901e-06;-7.8904e-07;-0.000131
-2.7573e-05;1.2898e-06;-3.3098e-06;-6.6952e-05
-8.6328e-06;-4.4255e-07;-1.7671e-06;-2.146e-05
0;0;0;0
-1.6762e-05;-1.8771e-05;3.4486e-05;4.5101e-05
-5.6892e-05;-5.7774e-05;0.0001116;0.00014709
-0.00012281;-0.00011181;0.00023115;0.0003056
-0.0002166;-0.00017485;0.00039395;0.00052027
-0.00034;-0.00024006;0.00060112;0.00079077
-0.00049441;-0.00030003;0.00085345;0.0011168
-0.00068086;-0.00034697;0.0011507;0.0014982
-0.00090004;-0.00037302;0.0014908;0.0019347
-0.0011523;-0.00037053;0.0018694;0.0024263
-0.0014376;-0.00033239;0.0022795;0.002973
-0.0017559;-0.00025242;0.0027117;0.0035745
-0.0021068;-0.0001257;0.0031547;0.0042305
-0.0024897;5.1201e-05;0.0035962;0.0049406
-0.002904;0.00028023;0.0040243;0.0057038
-0.003349;0.00056209;0.0044283;0.0065192
-0.003824;0.00089642;0.0047995;0.0073854
-0.004328;0.001282;0.0051328;0.0083011
-0.00486;0.0017169;0.0054273;0.0092647
-0.0054188;0.0021985;0.0056866;0.010274
-0.0060028;0.0027237;0.0059178;0.011328
-0.0066103;0.0032886;0.0061305;0.012424
-0.0072389;0.0038893;0.0063353;0.013558
-0.0078857;0.0045213;0.0065426;0.014729
-0.0085472;0.0051801;0.0067611;0.015932
-0.0092194;0.0058614;0.0069967;0.017165
-0.0098976;0.0065607;0.0072514;0.018422
-0.010577;0.007274;0.0075226;0.0197
-0.011252;0.0079972;0.007804;0.020993
-0.011919;0.0087268;0.0080859;0.022296
-0.012572;0.0094593;0.008357;0.023603
-0.013209;0.010191;0.0086053;0.024906
-0.013825;0.010921;0.0088195;0.026199
-0.014418;0.011644;0.0089902;0.027474
-0.014989;0.01236;0.0091111;0.028723
-0.015536;0.013067;0.0091802;0.029937
-0.016059;0.013763;0.0091996;0.031108
-0.01656;0.014447;0.0091748;0.032227
-0.017038;0.015121;0.0091143;0.033286
-0.017496;0.015782;0.0090277;0.034276
-0.017934;0.016433;0.008926;0.035188
-0.018352;0.017075;0.0088196;0.036016
-0.01875;0.017708;0.0087184;0.036749
-0.01913;0.018335;0.0086305;0.037381
