t,z,f
109.37,-4.64379,6.24739
109.371,-4.64157,6.26427
109.372,-4.63629,6.27886
109.373,-4.62954,6.28926
109.374,-4.62266,6.29354
109.375,-4.61665,6.28996
109.376,-4.61029,6.27709
109.377,-4.60259,6.25398
109.378,-4.59529,6.22028
109.379,-4.58856,6.17634
109.38,-4.57748,6.12321
109.381,-4.56982,6.0627
109.382,-4.56196,5.99723
109.383,-4.55367,5.92978
109.384,-4.54454,5.86365
109.385,-4.53513,5.80226
109.386,-4.52605,5.74891
109.387,-4.51644,5.70651
109.388,-4.50659,5.67732
109.389,-4.50469,5.66278
109.39,-4.49117,5.66334
109.391,-4.47908,5.67843
109.392,-4.46716,5.70646
109.393,-4.45556,5.74497
109.394,-4.44466,5.79085
109.395,-4.43558,5.84062
109.396,-4.42818,5.89081
109.397,-4.4242,5.9383
109.398,-4.41612,5.98066
109.399,-4.41096,6.01649
109.4,-4.40826,6.04555
109.401,-4.40576,6.06891
109.402,-4.4047,6.08886
109.403,-4.40472,6.10873
109.404,-4.40476,6.13263
109.405,-4.40476,6.16497
109.406,-4.40919,6.21006
109.407,-4.41311,6.2716
109.408,-4.41977,6.35226
109.409,-4.42623,6.45327
109.41,-4.42992,6.57424
109.411,-4.4365,6.71303
109.412,-4.44445,6.86585
109.413,-4.45388,7.02748
109.414,-4.46293,7.1917
109.415,-4.47461,7.35176
109.416,-4.48578,7.50093
109.417,-4.49628,7.63309
109.418,-4.51115,7.74325
109.419,-4.52137,7.82798
109.42,-4.53355,7.8857
109.421,-4.55063,7.91676
109.422,-4.565,7.92347
109.423,-4.58079,7.90978
109.424,-4.59545,7.88098
109.425,-4.5984,7.84315
109.426,-4.60882,7.80267
109.427,-4.62415,7.76561
109.428,-4.63606,7.73725
109.429,-4.64565,7.7216
109.43,-4.65278,7.72116
109.431,-4.65774,7.7367
109.432,-4.66065,7.7673
109.433,-4.66457,7.81051
109.434,-4.66569,7.86265
109.435,-4.66481,7.91917
109.436,-4.66348,7.97519
109.437,-4.65894,8.02595
109.438,-4.65544,8.06727
109.439,-4.65156,8.09597
109.44,-4.64761,8.1102
109.441,-4.64427,8.10959
109.442,-4.63954,8.09529
109.443,-4.63263,8.06991
109.444,-4.62362,8.03723
109.445,-4.61122,8.0019
109.446,-4.59703,7.969
109.447,-4.59357,7.94353
109.448,-4.58455,7.92991
109.449,-4.57308,7.93156
109.45,-4.53199,7.95044
109.451,-4.50583,7.9868
109.452,-4.47994,8.03902
109.453,-4.45376,8.10357
109.454,-4.42801,8.17517
109.455,-4.40244,8.24709
109.456,-4.36647,8.31159
109.457,-4.33536,8.3604
109.458,-4.30715,8.38539
109.459,-4.27888,8.37909
109.46,-4.25057,8.33535
109.461,-4.22064,8.24977
109.462,-4.21446,8.12013
109.463,-4.19356,7.94656
109.464,-4.16669,7.7316
109.465,-4.13949,7.48007
109.466,-4.11171,7.19876
109.467,-4.0759,6.89596
109.468,-4.04727,6.58088
109.469,-4.02127,6.26309
109.47,-3.99615,5.9518
109.471,-3.96922,5.65534
109.472,-3.94367,5.38065
109.473,-3.90778,5.13288
109.474,-3.88599,4.91524
109.475,-3.84991,4.72891
109.476,-3.81843,4.57319
109.477,-3.78986,4.44575
109.478,-3.76107,4.343
109.479,-3.73182,4.2605
109.48,-3.72665,4.19348
109.481,-3.67932,4.1372
109.482,-3.66762,4.0874
109.483,-3.64479,4.04054
109.484,-3.61658,3.99403
109.485,-3.58747,3.94627
109.486,-3.54728,3.89663
109.487,-3.51392,3.84532
109.488,-3.4852,3.79321
109.489,-3.45458,3.74157
109.49,-3.42552,3.69189
109.491,-3.39378,3.64559
109.492,-3.36284,3.60386
109.493,-3.33049,3.56752
109.494,-3.28803,3.53696
109.495,-3.27762,3.5121
109.496,-3.22508,3.49242
109.497,-3.21245,3.47708
109.498,-3.18704,3.46495
109.499,-3.15338,3.4548
109.5,-3.11889,3.44536
109.501,-3.08524,3.43542
109.502,-3.04863,3.42396
109.503,-3.01469,3.41012
109.504,-2.98001,3.39331
109.505,-2.94479,3.37317
109.506,-2.89713,3.3496
109.507,-2.85745,3.32268
109.508,-2.82085,3.29272
109.509,-2.7851,3.26014
109.51,-2.74689,3.22554
109.511,-2.70879,3.18956
109.512,-2.67127,3.15294
109.513,-2.63454,3.11645
109.514,-2.59651,3.08088
109.515,-2.56074,3.04699
109.516,-2.55172,3.01548
109.517,-2.52225,2.987
109.518,-2.4698,2.96206
109.519,-2.42965,2.94105
109.52,-2.38956,2.92422
109.521,-2.34905,2.91162
109.522,-2.31287,2.90315
109.523,-2.27265,2.89853
109.524,-2.23201,2.89734
109.525,-2.18998,2.89903
109.526,-2.14832,2.90295
109.527,-2.09344,2.90842
109.528,-2.06339,2.91471
109.529,-2.01158,2.92111
109.53,-1.96962,2.92695
109.531,-1.92793,2.93164
109.532,-1.88591,2.93465
109.533,-1.87701,2.93556
109.534,-1.81473,2.93406
109.535,-1.79452,2.92992
109.536,-1.76138,2.92306
109.537,-1.72009,2.91345
109.538,-1.66346,2.90121
109.539,-1.6175,2.88653
109.54,-1.57802,2.86969
109.541,-1.53414,2.85106
109.542,-1.49297,2.83106
109.543,-1.45023,2.81017
109.544,-1.40788,2.78887
109.545,-1.36696,2.76763
109.546,-1.32557,2.74687
109.547,-1.28334,2.72694
109.548,-1.23942,2.70804
109.549,-1.18391,2.69028
109.55,-1.138,2.67359
109.551,-1.12909,2.65776
109.552,-1.09586,2.64245
109.553,-1.05449,2.6272
109.554,-1.01512,2.6115
109.555,-0.972486,2.59483
109.556,-0.931393,2.5767
109.557,-0.890657,2.55672
109.558,-0.850125,2.53464
109.559,-0.795512,2.51035
109.56,-0.750225,2.48392
109.561,-0.710156,2.4556
109.562,-0.670114,2.42573
109.563,-0.630249,2.39477
109.564,-0.589953,2.36319
109.565,-0.548034,2.33141
109.566,-0.507839,2.29976
109.567,-0.468199,2.26843
109.568,-0.415984,2.23743
109.569,-0.40382,2.20657
109.57,-0.40382,2.17551
109.571,-0.342478,2.14377
109.572,-0.293316,2.11081
109.573,-0.256346,2.07608
109.574,-0.216576,2.03912
109.575,-0.173634,1.99959
109.576,-0.137506,1.95738
109.577,-0.100315,1.91257
109.578,-0.0622542,1.86548
109.579,-0.0245464,1.81661
109.58,0.0133897,1.76661
109.581,0.0500173,1.71617
109.582,0.085833,1.66589
109.583,0.135053,1.61625
109.584,0.174958,1.56744
109.585,0.210106,1.51931
109.586,0.246535,1.47133
109.587,0.282003,1.42253
109.588,0.318034,1.37158
109.589,0.352894,1.31683
109.59,0.360224,1.25642
109.591,0.387918,1.1884
109.592,0.420545,1.11088
109.593,0.453945,1.02221
109.594,0.487493,0.921099
109.595,0.53293,0.80672
109.596,0.570607,0.678831
109.597,0.603833,0.537794
109.598,0.636835,0.384591
109.599,0.66851,0.220765
109.6,0.700644,0.0483453
109.601,0.73361,-0.130282
109.602,0.764566,-0.312513
109.603,0.804511,-0.495683
109.604,0.837405,-0.677224
109.605,0.867875,-0.854804
109.606,0.897981,-1.02645
109.607,0.903562,-1.19065
109.608,0.923661,-1.34639
109.609,0.953558,-1.49319
109.61,0.981209,-1.63109
109.611,1.00947,-1.76058
109.612,1.03847,-1.88258
109.613,1.06603,-1.9983
109.614,1.09321,-2.10917
109.615,1.12905,-2.21674
109.616,1.15738,-2.32258
109.617,1.18244,-2.4282
109.618,1.20996,-2.53498
109.619,1.23564,-2.64412
109.62,1.26217,-2.75662
109.621,1.28646,-2.87325
109.622,1.31184,-2.99457
109.623,1.33594,-3.1209
109.624,1.36107,-3.25236
109.625,1.36603,-3.38889
109.626,1.39629,-3.53023
109.627,1.42294,-3.67598
109.628,1.44732,-3.82556
109.629,1.47003,-3.97824
109.63,1.49386,-4.13317
109.631,1.51568,-4.28931
109.632,1.53871,-4.44553
109.633,1.56006,-4.60058
109.634,1.58131,-4.75312
109.635,1.60299,-4.90181
109.636,1.63098,-5.04533
109.637,1.65335,-5.18247
109.638,1.67292,-5.31219
109.639,1.69197,-5.43371
109.64,1.71225,-5.54658
109.641,1.73151,-5.65072
109.642,1.73584,-5.74646
109.643,1.75177,-5.83455
109.644,1.77776,-5.91611
109.645,1.79923,-5.99259
109.646,1.81717,-6.06569
109.647,1.83572,-6.1372
109.648,1.85451,-6.20895
109.649,1.87186,-6.28258
109.65,1.88939,-6.3595
109.651,1.90713,-6.44076
109.652,1.92534,-6.52694
109.653,1.94301,-6.61817
109.654,1.96099,-6.71412
109.655,1.98479,-6.81402
109.656,2.00443,-6.91681
109.657,2.02026,-7.02118
109.658,2.0366,-7.12577
109.659,2.05125,-7.22928
109.66,2.06677,-7.3306
109.661,2.07013,-7.4289
109.662,2.08273,-7.52372
109.663,2.09787,-7.61498
109.664,2.1119,-7.70299
109.665,2.13231,-7.78835
109.666,2.14725,-7.87188
109.667,2.16104,-7.95451
