t,paddle,ball
108.86,0.080901,0.85164
108.88,0.066546,0.88008
108.9,0.056193,0.90454
108.92,0.041414,0.92521
108.94,0.020005,0.94201
108.96,0.0050304,0.95477
108.98,-0.0085973,0.96344
109,-0.017078,0.96836
109.02,-0.034162,0.96934
109.04,-0.04538,0.96639
109.06,-0.058235,0.95953
109.08,-0.0708,0.94871
109.1,-0.077894,0.93394
109.12,-0.092508,0.91557
109.14,-0.10206,0.89263
109.16,-0.11058,0.86638
109.18,-0.11689,0.83602
109.2,-0.12184,0.80171
109.22,-0.12532,0.76331
109.24,-0.12646,0.72056
109.26,-0.12578,0.67476
109.28,-0.1238,0.62402
109.3,-0.12131,0.57243
109.32,-0.11608,0.51335
109.34,-0.11006,0.45071
109.36,-0.10165,0.38567
109.38,-0.089298,0.31639
109.4,-0.072683,0.24204
109.42,-0.055112,0.16395
109.44,-0.034919,0.083347
109.46,-0.014862,0.036578
109.48,0.0031385,0.12616
109.5,0.018316,0.20963
109.52,0.033426,0.29125
109.54,0.047484,0.3669
109.56,0.060462,0.44095
109.58,0.07064,0.50851
109.6,0.075437,0.57356
109.62,0.074758,0.63486
109.64,0.07149,0.69161
109.66,0.065021,0.74529
109.68,0.054738,0.79435
109.7,0.04268,0.8394
109.72,0.029846,0.88128
109.74,0.016479,0.91863
109.76,0.0033755,0.95159
109.78,-0.0089165,0.98173
109.8,-0.018732,1.0076
109.82,-0.028448,1.0292
109.84,-0.038006,1.0469
109.86,-0.047665,1.0609
109.88,-0.057002,1.071
109.9,-0.067563,1.0771
109.92,-0.078005,1.0792
109.94,-0.087185,1.0775
109.96,-0.095533,1.0718
109.98,-0.10266,1.0622
110,-0.10801,1.0487
