kp,ki
0.03,0.08
0.022,0.08
0.026,0.08
0.024,0.08
0.023,0.08
0.019,0.08
0.03,0.05
0.022,0.05
0.019,0.05
0.03,0.002
0.022,0.002
0.02,0.005
0.03,0
0.02,0
0.02,0.1
0.019,0.1
0.018,0.1
0.019,0.2
0.015,0.2
0.015,0.3
0.01,0.3
0.005,0.3
0.019,0.15
