t;reali;virti;realii;virtii;realiii;virtiii;realiv;virtiv
372;0,32423;0,32423;0,29101;0,29101;0,31948;0,31948;0,302;0,302
373;0,32413;0,32413;0,29094;0,29094;0,31924;0,31924;0,30229;0,30229
374;0,32403;0,32403;0,29086;0,29086;0,319;0,319;0,30258;0,30258
375;0,32392;0,32392;0,29078;0,29078;0,31876;0,31876;0,30287;0,30287
376;0,3238;0,3238;0,2907;0,2907;0,31852;0,31852;0,30316;0,30316
377;0,32368;0,32368;0,29062;0,29062;0,31828;0,31828;0,30345;0,30345
378;0,32356;0,32356;0,29054;0,29054;0,31803;0,31803;0,30374;0,30374
379;0,32343;0,32343;0,29046;0,29046;0,31779;0,31779;0,30403;0,30403
380;0,3233;0,3233;0,29038;0,29038;0,31755;0,31755;0,30432;0,30432
381;0,32317;0,32317;0,29029;0,29029;0,31731;0,31731;0,3046;0,3046
382;0,32303;0,32303;0,2902;0,2902;0,31707;0,31707;0,30489;0,30489
383;0,32289;0,32289;0,29012;0,29012;0,31683;0,31683;0,30517;0,30517
384;0,32274;0,32274;0,29003;0,29003;0,3166;0,3166;0,30546;0,30546
385;0,32259;0,32259;0,28994;0,28994;0,31636;0,31636;0,30574;0,30574
386;0,32244;0,32244;0,28984;0,28984;0,31612;0,31612;0,30602;0,30602
387;0,32228;0,32228;0,28975;0,28975;0,31588;0,31588;0,3063;0,3063
388;0,32212;0,32212;0,28966;0,28966;0,31564;0,31564;0,30658;0,30658
389;0,32196;0,32196;0,28957;0,28957;0,3154;0,3154;0,30686;0,30686
390;0,3218;0,3218;0,28948;0,28948;0,31516;0,31516;0,30714;0,30714
391;0,32163;0,32163;0,28938;0,28938;0,31492;0,31492;0,30742;0,30742
392;0,32146;0,32146;0,2893;0,2893;0,31468;0,31468;0,3077;0,3077
393;0,32129;0,32129;0,28921;0,28921;0,31444;0,31444;0,30798;0,30798
394;0,32112;0,32112;0,28912;0,28912;0,31421;0,31421;0,30826;0,30826
395;0,32095;0,32095;0,28904;0,28904;0,31397;0,31397;0,30854;0,30854
396;0,32078;0,32078;0,28896;0,28896;0,31373;0,31373;0,30882;0,30882
397;0,3206;0,3206;0,28888;0,28888;0,31349;0,31349;0,3091;0,3091
398;0,32043;0,32043;0,2888;0,2888;0,31326;0,31326;0,30938;0,30938
399;0,32025;0,32025;0,28872;0,28872;0,31302;0,31302;0,30966;0,30966
400;0,32007;0,32007;0,28864;0,28864;0,31279;0,31279;0,30994;0,30994
