force_pert_pos,force_pert_neg
0.05306148092258,0.196123385817103
0.0785992578034791,0.185132355173328
0.11733296997267,0.165401647463614
0.171706528617272,0.133973780868913
0.244271129867984,0.0878265975165737
0.337533024428789,0.0244125735890837
0.453450586727056,-0.0577358342528189
0.592742544679029,-0.158594640492472
0.754498933571505,-0.276638445204417
0.936262792642513,-0.409152425497613
1.1342967517673,-0.552536022726783
1.34375480419894,-0.702522479385261
1.55884894833512,-0.854445640961283
1.77332762504259,-1.0036519002191
1.98121207679256,-1.14604671301861
2.17736908545901,-1.2785383380652
2.35776438607198,-1.39922130443085
2.51954161540488,-1.50732784660442
2.66113196409504,-1.60296693525409
2.78249615609416,-1.68682664262678
2.88520677962247,-1.7600270901292
2.97211772380208,-1.82405436861832
3.04687467701894,-1.88070258638517
3.11348846170231,-1.9319784122676
3.17588869706411,-1.97987772975201
3.23740801832623,-2.02611008658563
3.30030817198278,-2.07182340977294
3.36550659119072,-2.1172058262867
3.43251197060088,-2.16104057807674
3.49945083580229,-2.20052256964932
3.56308403218489,-2.23140738588998
3.61876871761724,-2.24825591334005
3.6604747093016,-2.24461698751799
3.68101444994649,-2.21325952612638
3.67248415915608,-2.14677266965451
3.62690106611156,-2.03868708115934
3.53718016340419,-1.8848494292
3.39850797141635,-1.68472540722522
3.20978605473419,-1.4423310188394
2.97451004797267,-1.16633856683743
2.70049050810661,-0.869121454765139
2.39839289074498,-0.565103560786986
2.07984116898548,-0.269240961765636
1.75588643554162,0.00400687171312342
1.43610215195386,0.241808125398389
1.12819884676927,0.434427592610058
0.837912344056473,0.576298326713983
0.569048983050865,0.666129440450504
0.323870036196065,0.706261822775966
0.10389280190339,0.701818800577219
-0.0891847273764424,0.659951909686698
-0.252849510676608,0.589160187433809
-0.383706185518428,0.498685993085448
-0.477977478067888,0.398026826933156
-0.532391627896146,0.296389205248001
-0.54523043860116,0.201915904337088
-0.517337341229665,0.120927878985055
-0.452969940562032,0.0576219938693017
-0.360157783418174,0.0143100739832276
-0.250061623899454,-0.00813104329841785
-0.135190684739738,-0.0100472896352413
-0.0267299376088975,0.00677978510848831
0.0679617677218562,0.0388986143125916
0.145917972588315,0.0814461693331197
0.206805661989236,0.128862749263597
0.250576966790213,0.175663959156447
0.276389046129776,0.21700500907661
0.283214081391396,0.248974470711808
0.271304277443533,0.268624182332057
0.24318990581608,0.273971523593362
0.203370011987433,0.264242437866038
0.157123193334585,0.240136030827952
0.1095185023291,0.203679314833483
0.0651456257206222,0.157665458820843
0.0283537015915945,0.105024170311836
0.00347203363180851,0.0484520008363294
-0.00542837720109088,-0.00955158403073497
0.00477454362936502,-0.066434234382962
0.0355200136864241,-0.11953023046097
0.086191092322992,-0.166308089785783
0.15421071500238,-0.204598150498407
0.235453034146222,-0.232621704621209
0.324741076913464,-0.249046037081539
0.416210645573443,-0.253096731225019
0.503488638775629,-0.24457774080307
0.579988985362166,-0.223866539276476
0.639586089234154,-0.191956947476642
0.677462536395399,-0.150531127950185
0.690814739400258,-0.102063554196241
0.679177623542736,-0.0498362335828881
0.644135517654847,0.00227667519266816
0.5886281559698,0.0502245173465301
0.516424638552454,0.0903723456718915
0.431951710635025,0.120168447621433
0.34020607089639,0.138481263005994
0.246437628690181,0.145392896354005
0.155551429368485,0.141846409661652
0.0715460957280474,0.129493629291454
-0.00266144142333768,0.110590861578183
-0.0650450917202012,0.0877672533571792
-0.114242433727358,0.0637604633021969
-0.149539861039048,0.0412360567281
-0.171033950790799,0.0225722719831669
-0.179779596611716,0.00955223624200485
-0.177701563505126,0.00326141078682252
-0.167213709039748,0.00430296711874956
-0.150780335752185,0.0129343699140412
-0.130714135797241,0.0288470641716971
-0.109255749531027,0.0508389990577811
-0.0885831738569849,0.0767550793963045
-0.0704827058740407,0.103771677367094
-0.0559816143744196,0.128884351144892
-0.0453024621863894,0.149437385050086
-0.0380451374784603,0.163523442448728
-0.0334141951758203,0.170148485166826
-0.0305010833585364,0.169189208345244
-0.028512501862391,0.161176082995217
-0.0267702719345988,0.146957792448908
-0.024559889776691,0.127445780530305
-0.0210274678920395,0.103619050578503
-0.0152836753980418,0.0766833901923398
-0.00671212590143899,0.0480865670571182
0.00477573894544658,0.0193151219204828
0.0187272223675855,-0.00826453248553838
0.0343505183335312,-0.0333994943604994
0.0508804186682607,-0.0550371302164989
0.0678861500295537,-0.0725684929537951
0.0852385340019464,-0.0859259460009936
0.102851935001152,-0.0954545627301409
0.120509256608528,-0.10173511647306
0.13780990859163,-0.105427071303989
0.154212784012663,-0.107087385952498
0.169178164522242,-0.106968858420265
0.182198149941077,-0.104943499535244
0.19266195940776,-0.100747950225653
0.199875088151214,-0.0944286769141147
0.203287722875863,-0.0865365775296185
0.202641206962072,-0.0779116196601186
0.197958018444203,-0.0693759792245445
0.189484365637262,-0.0616524373022957
0.177648570519585,-0.0554312639551719
0.163059697150804,-0.0512807674759461
0.146477706518646,-0.0493993422474563
0.12870572776484,-0.0495153687948524
0.11049365035229,-0.0511028233736379
0.0925127106515889,-0.0537983128983162
0.0753197476905734,-0.0577139879747834
0.059303036034267,-0.0633866977380966
0.0447329241432211,-0.071421218853144
0.0318976909418588,-0.082079711412109
0.021210077038092,-0.0950658228825301
0.0132095679293679,-0.109652677748146
0.0083748595494737,-0.124916081879602
0.006858801457722,-0.139757435885481
0.00840460032971468,-0.152906632301439
0.0123930250681202,-0.16310275923981
0.0178823949294175,-0.169303687073577
0.0238043102279624,-0.170819973854307
0.029241778571203,-0.167279705275684
0.0334209077738149,-0.158486151896123
0.0355368193821731,-0.144502980564004
0.0348172659784384,-0.125970847396698
0.0307567551917579,-0.104305566524952
0.0231608307751151,-0.0815376274673403
0.0119982399605517,-0.0598174956225663
-0.00265017662833349,-0.0409012654522138
-0.0205266685959641,-0.0259113008684433
-0.0411860922140523,-0.0154477616613051
-0.0640002666881111,-0.0099419956596587
-0.0881024483573522,-0.00984908634611825
-0.112416926165424,-0.0154225422865006
-0.135872761446306,-0.0264124512401125
-0.157667522432371,-0.0420357415805936
-0.177356973956862,-0.0611082403442169
-0.194655700428884,-0.0821911473741164
-0.209170011701664,-0.103765488858609
-0.220374032921099,-0.12437253306619
-0.227787242248421,-0.142653512303788
-0.231141360701057,-0.15737483136681
-0.230426306463433,-0.167548653556289
-0.225797011828713,-0.172584244841723
-0.217464342743456,-0.172315800276294
-0.205708148703373,-0.166959645845401
-0.190892363829359,-0.157109236590201
-0.173377262926548,-0.143693433370269
-0.153543713981338,-0.127867199659523
-0.131979280134364,-0.110855442297016
-0.109554874217851,-0.0937774764038437
-0.0873014342307754,-0.0775962351148349
-0.0661804667327364,-0.0631632983251822
-0.046852628565881,-0.0511368063753661
-0.0295813636990423,-0.0418175517479229
-0.0143299896291169,-0.0351324466083738
-0.00100344014322196,-0.0307683274649602
0.0103291440111692,-0.0283344676549988
0.0194056551444342,-0.0275098532858236
0.0258851514472611,-0.0281067418155638
0.0294837517617035,-0.0300019350063652
0.0301385933397396,-0.0330398555681173
0.0281775459946512,-0.0370186032690487
