time_window,perc10,perc25,perc50,perc75,perc90
50,1.43267024224914,3.5275912860701,8.58498483041915,23.5136986652135,45.1928322391795
51,1.3871606404288,3.45176301889359,8.42693740753235,22.463553998616,43.2885589486262
52,1.33054683853696,3.34242003308076,8.0381504902374,21.0840193632783,41.6700399426465
53,1.29999813378438,3.23184316329176,7.54507233077405,20.0524847068696,40.0842793517614
54,1.21881834211591,3.11905461905585,7.27292324418148,19.0556725848077,37.9831602489255
55,1.167330975167,2.94295233664662,7.01702217925101,18.3922767926558,36.3658787482349
56,1.08425249289171,2.82692068923453,6.72391687717407,17.5221038457342,33.9567684018688
57,1.03357385822968,2.74825212250793,6.43695165083812,16.5884589578152,32.2291277277783
58,0.976164791621232,2.57566755493164,6.19006968597256,15.9695731159658,31.2065473148864
59,0.957499630718117,2.49776685724217,5.93720550611247,15.1880943175655,30.0264587731742
60,0.92166104718763,2.41940695061385,5.72701225999347,14.5054236206135,28.4722230981499
61,0.876191108005526,2.30033738334088,5.51551040426902,13.7053034765105,27.3725436895769
62,0.909001446276788,2.26364186040084,5.31790286369127,13.2617036848441,25.9860453718226
63,0.877079763096092,2.14856997835943,5.0963828211592,12.6633504431949,25.0841849738952
64,0.832614813769243,2.13023969739201,4.86632388754937,12.1892785328232,23.7624633127077
65,0.816676605822691,2.04342274612233,4.65341302032173,11.6173464440813,22.5082708840394
66,0.803848013924958,1.98846522302122,4.41508952430742,11.0240418755891,21.5173375743253
67,0.759552991404465,1.89505783024937,4.26881090821006,10.5319234125865,20.627904415986
68,0.753989847156122,1.84480730152761,4.09349806692425,10.1950558920048,19.7658202855868
69,0.73361729293052,1.79945806956013,3.96405074490813,9.95638667655822,18.66461277979
70,0.720939333637129,1.70893970288997,3.87651110980017,9.48228014195439,18.0214527487464
71,0.700909840127397,1.69196527102068,3.77565850465765,9.00417628668252,17.2240464257263
72,0.696564267001319,1.60758887289775,3.61663688171832,8.68487496249947,16.6589362196075
73,0.701200914897478,1.55089772803282,3.57670343592345,8.35526367816239,15.9884515693332
74,0.663475072055776,1.52203314469275,3.55892739259788,8.01923481615219,15.7877800196553
75,0.636438835033436,1.4713310249237,3.41626381775865,7.69615036111337,15.283496291606
76,0.601848888245548,1.44787613402862,3.34862978391162,7.3743538566479,14.9304920756687
77,0.577208936861326,1.39110606785136,3.2571020804041,7.16304283479986,14.6266040288238
78,0.570193286423933,1.31974719210199,3.08762316334158,7.01953569984039,14.1510964158693
79,0.558942837850949,1.25277949388268,2.99055881588694,6.83839768969637,13.3929168729403
80,0.546148169531306,1.24443759880152,2.90667391298646,6.52204316044866,12.868509396608
81,0.528029401252292,1.18630136032602,2.80599474783732,6.26101454128428,12.1770986005255
82,0.533153467323667,1.18109523765895,2.74276424080268,6.01323339207239,11.7846069902008
83,0.505720329989261,1.16651907792597,2.6258285325873,5.73959595309568,11.2744312164294
84,0.512589944041548,1.11567622482728,2.57499504856788,5.36774838092973,10.9838214875961
85,0.501531595591808,1.09402706863694,2.45706081663678,5.2917524816229,10.6346203580537
86,0.486355855387425,1.06274361435437,2.34857304493337,5.18037511820135,10.1102052039117
87,0.458775264168351,1.01892238989913,2.32263572770878,5.08137829772763,9.75451889569232
88,0.450453664576222,1.02036111551678,2.25680139383837,4.89394560198626,9.29986248462291
89,0.450729872620567,0.995820384982133,2.19982149111996,4.72112735926959,9.01043519430993
90,0.443184860997465,0.973209726770942,2.13104820594253,4.57251069533826,8.80083409444141
91,0.420786475917421,0.941971532499993,2.06424464902211,4.42607625294359,8.33347265802059
92,0.410483449921959,0.918822309328739,1.99942958031628,4.22154234437841,8.20480437856504
93,0.411857560921912,0.890514805729952,1.93573393815838,4.04623096434118,7.95850631688753
94,0.392046182187584,0.870137166653768,1.83686215883216,3.93917660563908,7.50119764500785
95,0.382618257764831,0.839267372811272,1.78320221332943,3.84633050075691,7.29331992104285
96,0.375886760058753,0.832494083957915,1.769235727598,3.75158731599144,7.03226019975967
97,0.376888387951478,0.789898507124285,1.70389211641654,3.62106190890609,6.96706128440518
98,0.367537317709708,0.758138658310856,1.64096509457997,3.52479201466433,6.7515760914813
99,0.351805332817752,0.738287592052512,1.56268859483943,3.38699866889929,6.52245366656852
100,0.338434408142441,0.70774805465865,1.52087119819781,3.22991215530141,6.33950360699111
101,0.322981944922681,0.672550167810342,1.49090713069903,3.03952098453488,6.16387762039794
102,0.31494547928338,0.643856517289549,1.43538898190642,2.92111952343119,5.78904735930053
103,0.305699993676829,0.623641716567797,1.36218500726424,2.83339266817514,5.51025263940334
104,0.299329655993182,0.605242740793954,1.31792428481172,2.73565895317367,5.17839065149217
105,0.297292543539611,0.593548344855156,1.28027746118158,2.61518986366618,4.92869092113953
106,0.303960817263835,0.588573448784587,1.22634386277659,2.51258223311935,4.78727971166718
