interp_window,qrtl_R2_1_1,qrtl_R2_1_2,qrtl_R2_1_3,qrtl_R2_2_1,qrtl_R2_2_2,qrtl_R2_2_3
200,0.957251399566475,0.984056081520643,0.993855959952502,0.915440061923597,0.96318772184911,0.987017171909021
203,0.956341814801746,0.983687351935245,0.994213325525091,0.9140207172902,0.965074411388825,0.987585568397506
206,0.95474765777369,0.984006653727977,0.994416886595664,0.915553303270138,0.966331806322022,0.989041257132031
209,0.958211657905079,0.984241017889685,0.994631406865201,0.918360655026501,0.966847374478603,0.989746189316274
212,0.958239219285206,0.984453636907865,0.994675199882185,0.920058134704223,0.966677439714331,0.990447309121927
215,0.958740733450945,0.984708398083706,0.994901270622438,0.919074099272005,0.965644472347955,0.990688478283649
218,0.957498933931093,0.984732722015803,0.995294437183393,0.91445071950408,0.967058491031425,0.991724169964818
221,0.951278108630406,0.985681129513762,0.995358538187132,0.910728930070408,0.966409898042785,0.991809350724001
224,0.949872667991182,0.985676354834241,0.995841206113315,0.906258389004707,0.964929492633698,0.992104822043247
227,0.949992519570113,0.985516416054529,0.995860148369801,0.886434052297257,0.96585894329736,0.992455187231364
230,0.949185285011573,0.985156757983133,0.995884207825946,0.880850823855909,0.966166958194966,0.992691660133883
233,0.949683536834686,0.984698372845807,0.99591838334409,0.877558971348665,0.966485028896917,0.992826338596854
236,0.94858552643027,0.984694499619269,0.996032120527109,0.878193168241251,0.966716013036933,0.992743098352536
239,0.948230691850895,0.984317184606349,0.996137390740221,0.879771760462384,0.966935696761732,0.99247273389354
242,0.948327171714155,0.984458972306211,0.996243271330306,0.880230223563567,0.967421793372475,0.992186159778722
245,0.948312980767112,0.984574214567706,0.996037095011058,0.874673026891009,0.966433875487812,0.992202547783855
248,0.946432830149231,0.983937080265788,0.995841205499729,0.871067376121522,0.967807215090633,0.991809016819031
251,0.946196855499838,0.983171674489203,0.995721275206705,0.871323479818321,0.967563950210177,0.991821730022175
254,0.938075250944628,0.983960986557951,0.995675743377112,0.869615376458004,0.968721455523129,0.992165399644123
257,0.936332567385165,0.984462949697064,0.995351054698534,0.867753192798334,0.96848349763721,0.991273149710008
260,0.933549845352176,0.983779040094458,0.994938309923242,0.865476946781019,0.968298625814118,0.991243059842874
263,0.933757273155294,0.983856589047468,0.99481978476474,0.859951121723253,0.967555350335137,0.991116594691374
266,0.930904355137614,0.983400678068879,0.995107615101087,0.855745691887107,0.96744539122732,0.991050934991502
269,0.929481785447978,0.984250323858173,0.99508861901046,0.846425647350843,0.967118595208795,0.990912610556215
272,0.92276053978002,0.983396795656907,0.995318339955187,0.838836448919401,0.964696683374347,0.99079306320465
