time,force
50.00049024,1.52564003678369
50.01049024,1.49049233331057
50.02049024,1.2117033086797
50.03049024,1.16877253670419
50.04049024,0.660105872511502
50.05049024,0.565299970383879
50.06049024,0.182339230021435
50.07049024,0.199479548835455
50.08049024,-0.244588001355929
50.09049024,-0.167164214947879
50.10049024,-0.632330005801665
50.11049024,-0.403089244468498
50.12049024,-0.590394785995374
50.13049024,-0.426721882326478
50.14049024,-0.389212483992278
50.15049024,-0.302287293311977
50.16049024,-0.401216116219901
50.17049024,-0.158713838080252
50.18049024,-0.435130084305392
50.19049024,-0.45036033261948
50.20049024,-0.914849629338295
50.21049024,-1.01869212023741
50.22049024,-1.38426919483954
50.23049024,-1.49569349096917
50.24049024,-1.89689145368273
50.25049024,-1.95054801884932
50.26049024,-2.27174081916082
50.27049024,-2.26444941990372
50.28049024,-2.81988401560669
50.29049024,-2.81530097757013
50.30049024,-3.17355482765118
50.31049024,-2.98860121774472
50.32049024,-3.41263768326127
50.33049024,-3.36401371162387
50.34049024,-3.8221064757241
50.35049024,-3.67477249071106
50.36049024,-4.09117421688867
50.37049024,-3.89898926032588
50.38049024,-4.19706814915473
50.39049024,-4.1445859493161
50.40049024,-4.51832601881617
50.41049024,-4.3731899700978
50.42049024,-4.69256448844468
50.43049024,-4.61097281978539
50.44049024,-4.75045368760438
50.45049024,-4.57678997418671
50.46049024,-4.94724244893565
50.47049024,-4.7218053059465
50.48049024,-4.98400699050506
50.49049024,-4.84605525668916
50.50049024,-5.08370606589236
50.51049024,-4.92905895692808
50.52049024,-5.18920736366052
50.53049024,-4.79742363342809
50.54049024,-5.03893411837576
50.55049024,-4.79192730894236
50.56049024,-4.80254525283852
50.57049024,-4.5464178795914
50.58049024,-4.48577464904216
50.59049024,-4.25487483860475
50.60049024,-4.20752547759213
50.61049024,-3.7299573514895
50.62049024,-3.75453382500132
50.63049024,-3.35088428440623
50.64049024,-3.19144074464612
50.65049024,-2.9301569661583
50.66049024,-2.72657384842095
50.67049024,-2.37572817063042
50.68049024,-2.01764931639856
50.69049024,-1.55319904376758
50.70049024,-1.25676375405573
50.71049024,-0.803741255004516
50.72049024,-0.305393310301491
50.73049024,0.150482044031931
50.74049024,0.653198890462271
50.75049024,1.23852857241413
50.76049024,1.93963361805182
50.77049024,2.53361977677287
50.78049024,3.2479156730491
50.79049024,3.66565172132979
50.80049024,4.29013953179739
50.81049024,4.40939624154104
50.82049024,4.61749858067484
50.83049024,4.68958972395597
50.84049024,4.53801237142919
50.85049024,4.54850298547944
50.86049024,4.64194377533408
50.87049024,4.97073996668656
50.88049024,5.6990822790424
50.89049024,5.99445764584668
50.90049024,6.45113088551357
50.91049024,6.45163631036621
50.92049024,6.76657323375154
50.93049024,6.57099645426999
50.94049024,6.67412498983193
50.95049024,6.44830604910139
50.96049024,6.17426091506719
50.97049024,5.84022525111464
50.98049024,5.61767631906936
50.99049024,5.05054714019451
51.00049024,4.93677452848524
51.01049024,4.57847551345371
51.02049024,4.30873040899023
51.03049024,4.19632169842524
51.04049024,4.08011491036817
51.05049024,3.77532555742884
51.06049024,3.98449411632353
51.07049024,3.68800293547891
51.08049024,3.61997522752141
51.09049024,3.32828486896807
51.10049024,3.23654430357993
51.11049024,3.27597902173733
51.12049024,2.86775422373922
51.13049024,2.74145447983508
51.14049024,2.25701331116674
51.15049024,2.03609021021888
51.16049024,1.79080693047984
51.17049024,1.53020159504726
51.18049024,1.21408967487088
51.19049024,1.19849573349625
51.20049024,0.96673227533702
51.21049024,1.07541782840574
51.22049024,0.986591951833985
51.23049024,1.13277336305156
51.24049024,0.885022914031584
51.25049024,0.857837203727271
51.26049024,0.645742137433992
51.27049024,0.725402141584532
51.28049024,0.584426401188332
51.29049024,0.593336584363896
51.30049024,0.3263289693797
51.31049024,0.604970120427559
51.32049024,0.177260975224449
51.33049024,0.320109109610149
51.34049024,-0.143353496032192
51.35049024,-0.1414760732986
51.36049024,-0.584720936373604
51.37049024,-0.543781520153762
51.38049024,-0.831729080761813
51.39049024,-0.719996318592901
51.40049024,-0.848836367008968
51.41049024,-0.681953236307795
51.42049024,-1.02739418799419
51.43049024,-0.874721331080229
51.44049024,-1.23416234315578
51.45049024,-1.29851927690947
51.46049024,-1.66460563340985
51.47049024,-1.62505320196689
51.48049024,-2.02326519400151
51.49049024,-1.91999093686388
51.50049024,-2.44266425522564
51.51049024,-2.51624025487583
51.52049024,-3.10808046076328
51.53049024,-3.1184667230674
51.54049024,-3.56369715653204
51.55049024,-3.51180873267223
51.56049024,-3.8955347188943
51.57049024,-3.93190796887588
51.58049024,-4.29904535062866
51.59049024,-3.91254286793778
51.60049024,-4.17996583882393
51.61049024,-4.0984748103154
51.62049024,-4.33206670987938
51.63049024,-4.14263567763021
51.64049024,-4.56182668034879
51.65049024,-4.30533101572094
51.66049024,-4.69958257870484
51.67049024,-4.64784572364645
51.68049024,-5.00898757517542
51.69049024,-4.80486258811014
51.70049024,-5.10171347903427
51.71049024,-4.9373283748638
51.72049024,-5.31545348459833
51.73049024,-5.11390775697423
51.74049024,-5.30062129074767
51.75049024,-5.12779408420228
51.76049024,-5.44157402896719
51.77049024,-5.32738816532673
51.78049024,-5.39719051870272
51.79049024,-5.10002048073465
51.80049024,-5.0816414442185
51.81049024,-4.79721392719603
51.82049024,-4.79965596023405
51.83049024,-4.48245057367641
