time,j4_velocity,j4_velocity_cmd
70.400000512,-0.613035504606963,-0.594395229764
70.401000512,-0.619468973947,-0.594395229764
70.402000512,-0.603614468405716,-0.594395229764
70.403000512,-0.613230534480336,-0.594395229764
70.404000512,-0.603619358985354,-0.594395229764
70.405000512,-0.597345082021,-0.594395229764
70.406000512,-0.597345082021,-0.594395229764
70.407000512,-0.613363817010744,-0.594395229764
70.408000512,-0.619468973947,-0.594395229764
70.409000512,-0.60370612662732,-0.594395229764
70.410000512,-0.597345082021,-0.594395229764
70.411000512,-0.613148879401683,-0.594395229764
70.412000512,-0.603987231210613,-0.594395229764
70.413000512,-0.597345082021,-0.594395229764
70.414000512,-0.613011803278156,-0.594395229764
70.415000512,-0.604086986214341,-0.594395229764
70.416000512,-0.597345082021,-0.594395229764
70.417000512,-0.597345082021,-0.594395229764
70.418000512,-0.597345082021,-0.594395229764
70.419000512,-0.597345082021,-0.594395229764
70.420000512,-0.61172713336109,-0.597208237378515
70.421000512,-0.604432889760636,-0.598820008149
70.422000512,-0.612797011257151,-0.598820008149
70.423000512,-0.58838668224349,-0.598820008149
70.424000512,-0.559805942068432,-0.598820008149
70.425000512,-0.580146745762717,-0.598820008149
70.426000512,-0.610671365541507,-0.598820008149
70.427000512,-0.677650328329144,-0.598820008149
70.428000512,-0.707964541654,-0.598820008149
70.429000512,-0.692749131123145,-0.598820008149
70.430000512,-0.685840649727,-0.598820008149
70.431000512,-0.623892620966062,-0.598820008149
70.432000512,-0.597345082021,-0.598820008149
70.433000512,-0.557206965342985,-0.598820008149
70.434000512,-0.556721876509598,-0.598820008149
70.435000512,-0.589667806561132,-0.598820008149
70.436000512,-0.582558480834263,-0.598820008149
70.437000512,-0.590517902321767,-0.598820008149
70.438000512,-0.597345082021,-0.598820008149
70.439000512,-0.612826404750729,-0.598820008149
70.440000512,-0.604055432956559,-0.598820008149
70.441000512,-0.611002069435111,-0.598820008149
70.442000512,-0.619468973947,-0.598820008149
70.443000512,-0.619468973947,-0.598820008149
70.444000512,-0.619468973947,-0.598820008149
70.445000512,-0.619468973947,-0.598820008149
70.446000512,-0.604018321161847,-0.598820008149
70.447000512,-0.597345082021,-0.598820008149
70.448000512,-0.612806403153047,-0.598820008149
70.449000512,-0.619468973947,-0.598820008149
70.450000512,-0.592599766711642,-0.598820008149
70.451000512,-0.603426488910525,-0.598820008149
70.452000512,-0.589920257557556,-0.598820008149
70.453000512,-0.60578495855035,-0.598820008149
70.454000512,-0.634870932426493,-0.598820008149
70.455000512,-0.626248193065105,-0.598820008149
70.456000512,-0.619468973947,-0.598820008149
70.457000512,-0.619468973947,-0.598820008149
70.458000512,-0.619468973947,-0.598820008149
70.459000512,-0.619468973947,-0.598820008149
70.460000512,-0.619468973947,-0.598820008149
70.461000512,-0.604091362133566,-0.598820008149
70.462000512,-0.612647440603042,-0.598820008149
70.463000512,-0.619468973947,-0.598820008149
70.464000512,-0.634830707810128,-0.598820008149
70.465000512,-0.641592865874,-0.598820008149
70.466000512,-0.641592865874,-0.598820008149
70.467000512,-0.628966179520675,-0.598820008149
70.468000512,-0.606663078339807,-0.598820008149
70.469000512,-0.611216337863761,-0.598820008149
70.470000512,-0.604498862906504,-0.598820008149
70.471000512,-0.597345082021,-0.598820008149
70.472000512,-0.612455058934301,-0.598820008149
70.473000512,-0.604526987743865,-0.598820008149
70.474000512,-0.611215569953008,-0.598820008149
70.475000512,-0.606296986326803,-0.598820008149
70.476000512,-0.597345082021,-0.598820008149
70.477000512,-0.597345082021,-0.598820008149
70.478000512,-0.597345082021,-0.598820008149
70.479000512,-0.610994006017356,-0.598820008149
70.480000512,-0.632390366173515,-0.598820008149
70.481000512,-0.641592865874,-0.598820008149
70.482000512,-0.614012437700116,-0.598820008149
70.483000512,-0.611717927960308,-0.598820008149
70.484000512,-0.633304727824883,-0.598820008149
70.485000512,-0.61574862456688,-0.598820008149
70.486000512,-0.609702952740794,-0.598820008149
70.487000512,-0.619468973947,-0.598820008149
70.488000512,-0.604676836903476,-0.598820008149
70.489000512,-0.597345082021,-0.598820008149
70.490000512,-0.610388073594917,-0.598820008149
70.491000512,-0.607056392326214,-0.598820008149
70.492000512,-0.610991478113063,-0.598820008149
70.493000512,-0.619468973947,-0.598820008149
