identif_window;K1;B1;M1;K2;B2;M2
93;0.005277967;0.002784961;0.001549115;0.002259754;0.001884772;0.001568087
94;0.005046286;0.002678915;0.001523996;0.002166492;0.001803877;0.001542235
95;0.004829624;0.002578827;0.001500179;0.002079341;0.001727523;0.001517706
96;0.004626815;0.002484279;0.001477581;0.001997824;0.001655391;0.001494417
97;0.00443679;0.00239489;0.001456125;0.001921506;0.001587191;0.00147229
98;0.004258576;0.002310305;0.00143574;0.001849992;0.001522652;0.001451252
99;0.004091282;0.0022302;0.001416359;0.001782918;0.001461525;0.001431236
100;0.003934094;0.002154272;0.001397919;0.001719953;0.001403582;0.001412179
101;0.003786265;0.002082244;0.001380363;0.001660794;0.001348611;0.001394023
102;0.003647113;0.002013857;0.001363635;0.001605163;0.001296416;0.001376712
103;0.003516008;0.001948874;0.001347686;0.001552804;0.001246816;0.001360196
104;0.003392376;0.001887074;0.001332468;0.001503484;0.001199642;0.001344427
105;0.003275688;0.001828253;0.001317937;0.001456989;0.001154741;0.001329359
106;0.003165456;0.001772221;0.001304051;0.001413119;0.001111968;0.001314953
107;0.003061233;0.001718802;0.001290774;0.001371695;0.00107119;0.001301168
108;0.002962606;0.001667834;0.001278067;0.001332548;0.001032284;0.001287969
109;0.002869197;0.001619164;0.001265898;0.001295524;0.000995134;0.001275321
110;0.002780653;0.001572651;0.001254236;0.001260482;0.000959634;0.001263194
111;0.002696653;0.001528167;0.001243051;0.00122729;0.000925685;0.001251557
112;0.002616898;0.001485587;0.001232316;0.001195828;0.000893195;0.001240383
113;0.002541111;0.0014448;0.001222005;0.001165984;0.000862079;0.001229646
114;0.002469039;0.001405701;0.001212095;0.001137655;0.000832256;0.001219321
115;0.002400445;0.001368191;0.001202562;0.001110744;0.000803654;0.001209388
116;0.00233511;0.001332178;0.001193387;0.001085165;0.000776203;0.001199823
117;0.002272834;0.001297579;0.001184549;0.001060835;0.000749839;0.001190608
118;0.002213427;0.001264314;0.001176031;0.001037679;0.000724502;0.001181724
119;0.002156718;0.001232309;0.001167814;0.001015626;0.000700137;0.001173154
120;0.002102544;0.001201494;0.001159884;0.000994611;0.000676691;0.001164882
121;0.002050756;0.001171807;0.001152226;0.000974573;0.000654116;0.001156893
122;0.002001215;0.001143186;0.001144824;0.000955457;0.000632367;0.001149173
123;0.001953792;0.001115576;0.001137667;0.00093721;0.000611401;0.001141708
124;0.001908366;0.001088924;0.001130742;0.000919784;0.00059118;0.001134486
125;0.001864826;0.001063182;0.001124038;0.000903133;0.000571665;0.001127495
126;0.001823068;0.001038303;0.001117543;0.000887215;0.000552823;0.001120725
127;0.001782994;0.001014244;0.001111248;0.000871992;0.000534622;0.001114166
128;0.001744514;0.000990966;0.001105143;0.000857426;0.000517031;0.001107808
129;0.001707543;0.000968431;0.00109922;0.000843484;0.000500022;0.001101642
130;0.001672003;0.000946603;0.001093469;0.000830134;0.000483568;0.00109566
131;0.00163782;0.00092545;0.001087884;0.000817345;0.000467644;0.001089854
132;0.001604925;0.00090494;0.001082457;0.00080509;0.000452228;0.001084217
133;0.001573254;0.000885045;0.001077181;0.000793343;0.000437298;0.001078741
134;0.001542746;0.000865736;0.00107205;0.00078208;0.000422832;0.00107342
135;0.001513344;0.000846989;0.001067057;0.000771277;0.000408812;0.001068248
136;0.001484996;0.000828779;0.001062196;0.000760913;0.000395219;0.00106322
137;0.001457651;0.000811083;0.001057463;0.000750968;0.000382036;0.001058329
138;0.001431263;0.000793879;0.001052853;0.000741422;0.000369248;0.001053572
139;0.001405788;0.000777149;0.001048359;0.000732259;0.000356838;0.001048942
140;0.001381185;0.000760871;0.001043979;0.000723461;0.000344793;0.001044436
141;0.001357414;0.000745029;0.001039707;0.000715013;0.000333099;0.001040048
142;0.001334438;0.000729605;0.00103554;0.000706899;0.000321744;0.001035776
143;0.001312224;0.000714583;0.001031473;0.000699105;0.000310715;0.001031615
144;0.001290738;0.000699948;0.001027503;0.000691619;0.000300001;0.001027562
145;0.00126995;0.000685685;0.001023627;0.000684427;0.000289591;0.001023613
