kp,ki
0.015,0.08
0.01,0.08
0.015,0.05
0.015,0.002
0.013,0.002
0.015,0.005
0.013,0.005
0.015,0
0.01,0.1
0.01,0.2
0.011,0.2
0,0.1
0,0.15
0,0.13
0.01,0.13
0.012,0.12
0.012,0.15
