time_window,Ke,Be,Me
200,2.04469619250664,0.569030750387336,0.0935374570646516
203,1.94629037961479,0.536390718619567,0.0872257527132235
206,1.85140616339064,0.521746229070309,0.0868028708075576
209,1.76737594942411,0.496265634390572,0.0838747006804067
212,1.69731259350838,0.423956511489865,0.0826863865001697
215,1.63686735983435,0.343102742695328,0.0819477435244964
218,1.5552973857412,0.306018011495927,0.0793218970497987
221,1.46289311005276,0.293081829159385,0.0863332023947299
224,1.41766684255375,0.251114372823818,0.0843154392266982
227,1.35288311905596,0.1903758949258,0.0818896011504977
230,1.28559635747628,0.162784059250513,0.0822101708127281
233,1.20628059957565,0.11355010646301,0.0897851671427295
236,1.07964124217609,0.0831609834450063,0.0864089460257966
239,1.00234112948181,0.0418487299006361,0.0833504063000168
242,0.947806840069271,0.0215736235237878,0.0820998392139614
245,0.913956365929922,0.00266878362058084,0.0770544367536014
248,0.881434549941383,0.0269103772561675,0.0764055949963072
251,0.855503608280188,0.0530351864858306,0.0710233875304606
254,0.819401804145901,0.0669997004301967,0.0674031716938622
257,0.748861470624371,0.105617937124524,0.0651622361443525
260,0.712425484972089,0.139500480328327,0.0662220939264729
263,0.667111652754238,0.159241879970371,0.0661553194495387
266,0.662060568197551,0.219246480079873,0.0610436270898074
269,0.640299501531275,0.246952356423891,0.0592967813340672
272,0.62324358873568,0.264039689887778,0.0634285468472517
275,0.594663539390205,0.326113213419697,0.058644595897945
278,0.598899287613482,0.359564955755871,0.0535037037670729
281,0.585005993630509,0.379377320353166,0.0493664718730995
284,0.556685766769496,0.390932171157817,0.0520147382859935
287,0.515198210577712,0.501339111806585,0.0555158312695639
290,0.485573387867984,0.518723741428929,0.0522860887895558
293,0.491815675927574,0.525399028977376,0.0581804527621145
296,0.503817946803575,0.523968015731923,0.0651172191321825
299,0.445456730567497,0.514368441751246,0.0549068960089974
302,0.453347031891788,0.557922690774141,0.0491678913044497
305,0.447667954506929,0.595543217292287,0.0506991762482285
308,0.427177258536272,0.643373166946852,0.062628237540325
311,0.357655048585338,0.650143110878603,0.0578294994580521
314,0.369545250634999,0.65562756387482,0.0530742751387612
317,0.376475729299327,0.674882640734274,0.05603660334273
320,0.354592901309203,0.701547597373681,0.0542884521353772
323,0.325283022110048,0.7162412615385,0.0553400200569919
326,0.29330728319869,0.757737446683107,0.0666202779795858
329,0.267870604036698,0.797380644037295,0.0677638027679239
332,0.289404146260343,0.828908844352968,0.0632633161474611
335,0.259063913957117,0.851199633508028,0.0531580788446976
338,0.279911933415414,0.862442480401973,0.0486417582546569
341,0.290489093624519,0.867700540278374,0.0521868191366608
344,0.291828639980868,0.875612359222463,0.0526659689480615
347,0.353944402742788,0.902608629322113,0.0635929717468299
350,0.320749099415235,0.93416397486139,0.0687585674437506
353,0.308769670444524,0.937845898807075,0.0638396328637286
356,0.31847285145263,0.940630815935297,0.0756981383927721
359,0.280220450349578,0.943261309061562,0.0911713629945837
362,0.369298458870731,0.963139526025482,0.0978334169421401
365,0.417505361387933,0.965889642568335,0.0922237672779858
368,0.400217115163855,0.996762855685191,0.0877781303929177
371,0.412960792249517,1.02879193423822,0.0840187765302833
374,0.430882858395011,1.03733757174064,0.0861872612232533
377,0.453469603503897,1.03811009290644,0.0799496021296589
380,0.452529444102149,1.05932893008587,0.0795575686908789
383,0.430147983395405,1.07411905231328,0.0866870220214433
386,0.400562221394872,1.06404903529291,0.086990915794023
389,0.185649258821042,1.04432491073026,0.0870482043657955
392,0.171645248637213,1.08699344393631,0.0876795449300254
395,0.215430205803712,1.08850010577608,0.112742605926418
398,0.299787788053071,1.11584365208563,0.119127192561488
401,0.333480660749486,1.11893387045133,0.123452918144433
404,0.175089603966642,1.10363890927724,0.111639056874947
407,0.190094660159844,1.10484139515951,0.0947003149766212
410,0.138536157347531,1.10602747798427,0.0913967254125481
413,0.197818286002573,1.14484206325133,0.0904078337411057
416,0.299633150260866,1.14964424925639,0.107351426805016
419,0.308377616813714,1.14839267124016,0.10730105482026
422,0.291031040696942,1.14838746555762,0.116771261654899
425,0.287899630775325,1.14836361372138,0.145845643720444
428,0.276578128164173,1.14832444908854,0.137998347663
431,0.362705659029835,1.15985346315709,0.161403028082189
434,0.377282339861946,1.16854967248633,0.152870537348777
437,0.208693665608885,1.20954010322997,0.143990195430588
440,0.188991965812812,1.20496425837147,0.127852358792185
443,0.174153596356061,1.26760083635263,0.114807580332522
446,0.11606536685215,1.2936658777519,0.109376460863002
449,0.141304381495733,1.29444064013611,0.10411238431788
452,0.146680331752343,1.29515592485499,0.098977359508964
455,0.0722183569425128,1.22928138533513,0.0858804064459633
458,0.066683268999958,1.22353837234731,0.0753468308002798
461,0.0864589492411397,1.22923596635538,0.0756988654053923
464,0.0862994372832563,1.2338792270388,0.0704136131360121
467,0.0820894125277147,1.28254304346651,0.0674439033414782
470,0.0819567076905803,1.24256899784519,0.0685175050737841
473,0.0816316741322985,1.22075808235421,0.070710554084376
476,0.0810702666889839,1.22218797817913,0.068098906565659
479,0.0897084077530111,1.20483310424498,0.0577151511510813
482,0.0884984185230706,1.20715826836499,0.0553957652046447
485,0.0878727007108091,1.20050399220277,0.0710839774449393
488,0.0870397143353555,1.20108149669268,0.0639355472391379
491,0.0847712232963756,1.20154388078601,0.0557745606858944
494,0.140707460404289,1.20775399608835,0.0410709351148946
497,0.126984105229683,1.27225932335091,0.0301879872573019
500,0.185135114354423,1.22910598570266,0.00941327963760769
