f,pos_power,for_power
0.00634644614881782,1.72502659222962,0.827772015248071
0.0158661153720445,0.499914549017275,0.748105946610816
0.0253857845952713,0.296331948446735,0.820570163154746
0.034905453818498,0.219016016967903,0.787374236122762
0.0444251230417247,0.165576129363991,0.793107376378308
0.0539447922649514,0.101655880838412,0.932359748673267
0.0634644614881782,0.0510641071052608,0.741657699263736
0.0729841307114049,0.066891041860637,0.985510041358978
0.0825037999346316,0.0727562614731382,1.06083825757018
0.0920234691578583,0.0587305629675084,1.43434273700059
0.101543138381085,0.0464263956630941,1.2684212789582
0.111062807604312,0.0468207713744777,1.2326672332194
0.120582476827539,0.0417105816449083,1.67240120991872
0.130102146050765,0.0523481096150146,2.34253738611256
0.139621815273992,0.039402010945377,2.43275623767332
0.149141484497219,0.0256375493338335,1.98266457952664
0.158661153720445,0.0269080042627473,1.52553339772975
0.168180822943672,0.0402723231498994,3.58729501256473
0.177700492166899,0.0275609478128164,2.39303216267623
0.187220161390126,0.0233027703702987,2.98241808319503
0.196739830613352,0.0275923418418289,3.18910089600929
0.206259499836579,0.0235990666055224,3.94128259815072
0.215779169059806,0.0196748150857191,3.27932508280376
0.225298838283032,0.0234415733719257,4.6006394029134
0.234818507506259,0.0165122442520283,4.38163740639505
0.244338176729486,0.0234918766564814,6.3507745803939
0.253857845952713,0.0212457704344833,7.65825229099817
0.263377515175939,0.01281925958065,4.07897929738747
0.272897184399166,0.0158851018399893,5.65425688806277
0.282416853622393,0.0233213990210061,10.3331077680359
0.29193652284562,0.0147403176517655,4.44949622117789
0.301456192068846,0.0293979305482385,13.8378560966986
0.310975861292073,0.0218598785236953,11.0304165117515
0.3204955305153,0.0213834294852883,11.8119261073033
0.330015199738526,0.0174544688344321,11.6165744680022
0.339534868961753,0.0103672365830557,8.12522656642649
0.34905453818498,0.0238251503367091,18.1793613885973
0.358574207408207,0.0156511853407189,14.0333934840278
0.368093876631433,0.0170244913066574,15.7911676622497
0.37761354585466,0.0228734284259035,26.542490766899
0.387133215077887,0.0205547106764694,26.5663107252983
0.396652884301114,0.013705429411677,17.8807879043833
0.40617255352434,0.0195004721680838,26.9678625515583
0.415692222747567,0.0229288544156473,38.4056280316395
0.425211891970794,0.0120751176789871,20.6794201725649
0.43473156119402,0.0169091812466271,30.2924427459858
0.444251230417247,0.0165555386462609,31.9460294227475
0.453770899640474,0.0150266020493222,30.9004179240564
0.463290568863701,0.0137682328161833,29.685184750345
0.472810238086927,0.0148667292182795,37.2700818425605
0.482329907310154,0.0119515640288353,33.8431516245912
0.491849576533381,0.0143031243174887,32.5108394605978
0.501369245756607,0.015674707180354,43.6776273523915
0.510888914979834,0.0132667946450375,44.4097712451066
0.520408584203061,0.0186503277990805,63.525947802837
0.529928253426288,0.0230064795285534,81.102691984336
0.539447922649514,0.0141145114822203,58.3868386618594
0.548967591872741,0.0176418230667148,80.1958765333536
0.558487261095968,0.0132905929392989,60.5956643390438
0.568006930319195,0.0116138862226057,54.5623743725107
0.577526599542421,0.0159537524390545,78.8330156555155
0.587046268765648,0.0127089180573009,59.6449792515954
0.596565937988875,0.0185832746580324,93.4718024349299
0.606085607212101,0.0116790521214202,62.1475535076526
0.615605276435328,0.0198626504010867,108.82930960564
0.625124945658555,0.013392990668719,84.2062400828229
0.634644614881782,0.0186827322446773,121.19076463496
0.644164284105008,0.0143658846020704,95.4685309203739
0.653683953328235,0.0218770893174158,152.979808096001
0.663203622551462,0.0258167997600616,187.539203978189
0.672723291774688,0.0166690024884456,129.688942990956
0.682242960997915,0.032857091445538,267.888944876203
0.691762630221142,0.0270271295577927,221.161382651114
