%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1583774048849129536,0,3047925000000,world,0.0508549138904,0.267780631781,0.588383257389,0.0161545798182,0.0214457586408,-0.653407037258,-0.7565305233
1583774048857398227,1,3047933333000,world,0.0508521087468,0.267775207758,0.588392078876,0.0161485578865,0.0214587654918,-0.653421103954,-0.756518125534
1583774048865618913,2,3047941666000,world,0.0508544966578,0.267778009176,0.588390111923,0.0161180626601,0.0214588586241,-0.653395116329,-0.756541311741
1583774048873806923,3,3047949999000,world,0.0508549660444,0.26778152585,0.588378429413,0.0161464717239,0.0214472394437,-0.653402745724,-0.756534397602
1583774048881974426,4,3047958333000,world,0.0508549623191,0.267778158188,0.588392436504,0.0161004941911,0.0214644204825,-0.653411388397,-0.756527483463
1583774048890102826,5,3047966666000,world,0.050856679678,0.267782330513,0.588388085365,0.0161525942385,0.0214575435966,-0.653404116631,-0.756532728672
1583774048898263051,6,3047974999000,world,0.0508519522846,0.267769038677,0.588393092155,0.0161491185427,0.02146140486,-0.653426289558,-0.756513476372
1583774048907459491,7,3047983333000,world,0.0508538559079,0.267773151398,0.588399469852,0.0161235164851,0.0214192364365,-0.653416275978,-0.756524026394
1583774048915662000,8,3047991666000,world,0.0508575625718,0.267783343792,0.588382303715,0.0161266550422,0.0214619413018,-0.65339756012,-0.756538748741
1583774048923867087,9,3048000000000,world,0.050854049623,0.26777395606,0.588393032551,0.0161669626832,0.021468732506,-0.653406083584,-0.756530463696
1583774048932005953,10,3048008333000,world,0.0508569553494,0.267779171467,0.588390827179,0.0161264128983,0.0214239992201,-0.653407812119,-0.756531119347
1583774048940295526,11,3048016666000,world,0.0508561618626,0.267786979675,0.588380336761,0.016146466136,0.0214511211962,-0.65340167284,-0.756535112858
1583774048948497133,12,3048025000000,world,0.050849661231,0.267772644758,0.58839315176,0.0161706730723,0.0214936137199,-0.653436899185,-0.75650292635
1583774048956669088,13,3048033333000,world,0.05085580796,0.267779916525,0.588378369808,0.0161233115941,0.0214505083859,-0.653418064117,-0.756521463394
1583774048965865346,14,3048041666000,world,0.0508504882455,0.26776856184,0.58840572834,0.0161234103143,0.0214655511081,-0.653429746628,-0.756511092186
1583774048974034102,15,3048050000000,world,0.0508584231138,0.267770886421,0.5883898139,0.0160610228777,0.0214730221778,-0.653430104256,-0.756511807442
1583774048982231389,16,3048058333000,world,0.0508533790708,0.267776280642,0.588382661343,0.0161364898086,0.0214646141976,-0.653420686722,-0.756518542767
1583774048990397437,17,3048066666000,world,0.0508542060852,0.267780989408,0.588374614716,0.0161543302238,0.0214541833848,-0.653416574001,-0.756521940231
1583774048998624344,18,3048074999000,world,0.0508573316038,0.267773747444,0.588396251202,0.016108173877,0.0214677229524,-0.653413176537,-0.756525635719
1583774049006785591,19,3048083333000,world,0.0508552268147,0.267762750387,0.588405668736,0.0160951241851,0.0214951392263,-0.653420090675,-0.756519019604
1583774049014987193,20,3048091666000,world,0.0508545674384,0.267776250839,0.588392078876,0.0161392390728,0.0214463844895,-0.653405785561,-0.756531953812
