kp,ki,zeta
0,0,0.943864787159859
0.00306122448979592,0,0.930119426210496
0.00612244897959184,0,0.918395775812261
0.00918367346938775,0,0.907995237008864
0.0122448979591837,0,0.898483485918441
0.0153061224489796,0,0.889514385295123
0.0183673469387755,0,0.880741994140584
0.0214285714285714,0,0.871752257310289
0.0244897959183673,0,0.861998458376949
0.0275510204081633,0,0.850768907109262
0.0306122448979592,0,0.837292750803055
0.0336734693877551,0,0.8210978741874
0.036734693877551,0,0.802394942087973
0.0397959183673469,0,0.78196839694234
0.0428571428571429,0,0.76068382570501
0.0459183673469388,0,0.739177277131849
0.0489795918367347,0,0.717831104335009
0.0520408163265306,0,0.696851834765663
0.0551020408163265,0,0.676342180709266
0.0581632653061225,0,0.656347037813599
0.0612244897959184,0,0.636879753396769
0.0642857142857143,0,0.617936650804287
0.0673469387755102,0,0.599505041390454
0.0704081632653061,0,0.581567678937572
0.073469387755102,0,0.564105257986859
0.076530612244898,0,0.547097821074804
0.0795918367346939,0,0.530525547480251
0.0826530612244898,0,0.514369186222813
0.0857142857142857,0,0.498610282116871
0.0887755102040816,0,0.483231280684567
0.0918367346938776,0,0.468215562205666
0.0948979591836735,0,0.453547434754495
0.0979591836734694,0,0.439212104128432
0.101020408163265,0,0.425195631473562
0.104081632653061,0,0.411484885130367
0.107142857142857,0,0.398067490618296
0.110204081632653,0,0.384931781074852
0.113265306122449,0,0.37206674947407
0.116326530612245,0,0.359462003338373
0.119387755102041,0,0.34710772227666
0.122448979591837,0,0.334994618454199
0.125510204081633,0,0.323113899958228
0.128571428571429,0,0.311457236945076
0.131632653061224,0,0.30001673041167
0.13469387755102,0,0.288784883413203
0.137755102040816,0,0.277754574543779
0.140816326530612,0,0.26691903349978
0.143877551020408,0,0.256271818552866
0.146938775510204,0,0.245806795771176
0.15,0,0.235518119837089
0,0.0163265306122449,0.113596668954722
0.00306122448979592,0.0163265306122449,0.256427585396033
0.00612244897959184,0.0163265306122449,0.390437704171227
0.00918367346938775,0.0163265306122449,0.513638328749767
0.0122448979591837,0.0163265306122449,0.62435182546299
0.0153061224489796,0.0163265306122449,0.721929483778883
0.0183673469387755,0.0163265306122449,0.8070699896141
0.0214285714285714,0.0163265306122449,0.871640205788623
0.0244897959183673,0.0163265306122449,0.861886199557536
0.0275510204081633,0.0163265306122449,0.850683397093317
0.0306122448979592,0.0163265306122449,0.837262327435136
0.0336734693877551,0.0163265306122449,0.821138214129712
0.036734693877551,0.0163265306122449,0.802498227321464
0.0397959183673469,0.0163265306122449,0.782111522539448
0.0428571428571429,0.0163265306122449,0.760843747983317
0.0459183673469388,0.0163265306122449,0.739337888208542
0.0489795918367347,0.0163265306122449,0.717982960516356
0.0520408163265306,0.0163265306122449,0.696990018847268
0.0551020408163265,0.0163265306122449,0.676464493062409
0.0581632653061225,0.0163265306122449,0.656452828646105
0.0612244897959184,0.0163265306122449,0.636969230691187
0.0642857142857143,0.0163265306122449,0.618010480916538
0.0673469387755102,0.0163265306122449,0.599564119825241
0.0704081632653061,0.0163265306122449,0.581612998825394
0.073469387755102,0.0163265306122449,0.564137834886723
0.076530612244898,0.0163265306122449,0.547118650566107
0.0795918367346939,0.0163265306122449,0.530535582037067
0.0826530612244898,0.0163265306122449,0.514369323508658
0.0857142857142857,0.0163265306122449,0.498601360061037
0.0887755102040816,0.0163265306122449,0.48321407656065
0.0918367346938776,0.0163265306122449,0.4681907940319
0.0948979591836735,0.0163265306122449,0.453515763987746
0.0979591836734694,0.0163265306122449,0.439174139026148
0.101020408163265,0.0163265306122449,0.425151930735886
0.104081632653061,0.0163265306122449,0.411435961591402
0.107142857142857,0.0163265306122449,0.398013814847892
0.110204081632653,0.0163265306122449,0.384873784812002
0.113265306122449,0.0163265306122449,0.372004828851452
