Users,med_ph_1,med_ph_2,med_ph_3,notch_ph_1,notch_ph_2,notch_ph_3,Performances
000,0.980028912407344,0.973732722585762,0.957321397878029,0.012046914469564,0.00960112666698293,0.0746916865498409,3
008,0.936876159836563,0.965185103958025,0.954124770985864,0.0399015449431389,0.0220575750219849,0.0603851911555322,2
029,0.860427291616626,0.952096242843518,0.907806937832588,0.0685779153737641,0.0338999740479506,0.0800137055851523,1
041,0.820344893142349,0.957524733622213,0.952161132932737,0.115108631715049,0.0305632204194566,0.0579775944270191,3
050,0.793970813281951,0.950865071066065,0.920393076388788,0.32888420373365,0.0580623079393158,0.0964798512734818,1
113,0.813229115550164,0.930657609602981,0.862016457062221,0.19996410872363,0.291557865756364,0.108609971064235,2
160,0.757559359934667,0.940011217492719,0.723099698915753,0.645720361507569,0.0653089749871402,0.263767832537519,1
194,0.873740309513674,0.889319497526532,0.960865580965983,0.093695610623115,0.140690042610582,0.0860359835439292,2
208,0.970610125302591,0.970216898528193,0.938349292132186,0.0217015618150578,0.00740649072693289,0.181608694168694,1
211,0.419250677959419,0.963168435659643,0.918076209517492,0.457330285902607,0.0376787801341803,0.085320381953425,2
278,0.874681139765091,0.95551204298826,0.89088167672365,0.265316843461447,0.0496098828973833,0.267680237991576,1
311,0.938578764150911,0.979284441066609,0.966638505704381,0.0556376041530806,0.0176259242594419,0.0285940481416656,2
353,0.891005116082333,0.976885368966929,0.93152877153398,0.127778936638819,0.0358029975424207,0.142370372418831,1
364,0.585605927264348,0.944386889508195,0.803069915659994,0.458464485709524,0.0418127857248178,0.254953076925488,2
378,0.78072778244507,0.974857669460599,0.945148694371811,0.193896059740734,0.0266266778269494,0.138674845840581,3
388,0.96912874330741,0.966890938532729,0.94418291997314,0.0134243016814115,0.0263928990316454,0.087271383791358,2
418,0.889635234438557,0.974036109908261,0.892911162523019,0.100465203896626,0.0127969216083402,0.0785494658706378,2
456,0.937505722498206,0.96891567009071,0.931189506219014,0.0481372197985252,0.00819086559965938,0.0922798685912097,1
495,0.95382717453853,0.940941589675929,0.934698092811686,0.0256591483693326,0.028042583529752,0.100388162183406,2
546,0.844889780183358,0.977963746810802,0.935436724045386,0.220519545687791,0.0179847123101153,0.0873004315615785,1
548,0.414533097874605,0.87575611652965,0.938743928796251,2.24981228339181,0.24999904306972,0.117792005054498,3
555,0.854668810240337,0.975080551008487,0.946401768577702,0.108829002027742,0.0176767765504076,0.0542187598376916,2
573,0.851593820116176,0.977114796598239,0.967724859971012,0.0803843457155916,0.00937189586085696,0.0209650240501168,3
640,0.952193913128766,0.972242499106912,0.816295729532804,0.039842976849275,0.0183749079580847,0.317780960685644,1
661,0.760033421553352,0.9475699538691,0.893635670783505,0.266674928326492,0.0613041879447595,0.154042917425214,2
666,0.817949283641805,0.925711144565291,0.866642932977046,0.214859321474722,0.0751510186886928,0.0911421176271222,2
710,0.631525921162496,0.912490823971831,0.883146749404116,0.346024011587538,0.0683906019375669,0.0855770237638491,2
740,0.965483335565158,0.97290825998128,0.964754971517159,0.0702504917402614,0.0145032506645831,0.150423475233142,1
841,0.804764097996898,0.952164409488216,0.893352114468524,0.195419044131597,0.0960718961152623,0.105841230840952,1
851,0.917836591702456,0.952968209522586,0.933265044164365,0.0703756488703191,0.0554716706851587,0.14405864514444,1
922,0.926489931056912,0.973812136126717,0.972573080983512,0.0908259180982897,0.0546069804996534,0.0206589809668931,1
