Users,med_ph_1,med_ph_2,med_ph_3,notch_ph_1,notch_ph_2,notch_ph_3,Performances
000,153.601343932261,192.744038726361,178.257382394745,33.2960374654714,29.4745946642015,68.7453016938653,3
008,135.537649801999,189.024727486033,196.690955123858,87.3500469924387,62.3123885175312,53.0448862577779,2
029,90.4434122655024,78.8384893667487,291.249417694492,164.108518962233,33.8955411234812,132.975485821312,1
041,99.6161759248237,140.450877768008,218.036988503782,134.420095755466,60.6502596552281,85.1564454808258,3
050,118.352852883289,125.639078389191,310.493778504055,62.9594443307454,37.354749953218,80.4574515801311,1
113,59.385416847107,81.9467066999902,141.887922074178,44.2653004300009,46.7167323734493,83.0215665483427,2
160,218.773764758882,320.760773526991,392.093891110223,117.005071082208,104.687890141076,182.566755174933,1
194,154.310632979218,96.0397421964354,109.311111278272,165.187977017421,39.4180221108271,51.6687241670196,2
208,114.620075282687,114.417313040707,122.018509360315,38.7869820084737,56.0963886803673,66.4785804827177,1
211,200.815629176252,105.248879911832,127.997862161021,160.424035332713,42.047594945982,45.3983752338637,2
278,121.975920318879,88.0010841612858,123.250229474005,159.56891867007,55.7015745753875,42.6524061660348,1
311,89.1277259230341,169.922059443311,161.634180617704,79.7625071987518,37.8593464638099,38.0834063014739,2
353,96.1129015668262,211.929383594319,196.726487778569,104.843642158982,77.0747423981251,395.248943447302,1
364,73.5543051103207,223.322669913996,292.964757166455,61.8366259899944,81.907401020003,386.23052071375,2
378,74.3463192257377,260.747624613243,221.95209067679,56.2349799614437,77.5529116028992,106.302945022371,3
388,126.398202320959,131.191432902111,195.240759652794,86.2359103048273,39.0809861363254,121.370161463485,2
418,69.0967007604098,133.280565839685,156.295949786122,51.0692216606489,43.6179633433444,60.8894630955637,2
456,204.684617962794,109.859767424077,113.68859643965,102.196216928522,22.1658745644812,130.138493256141,1
495,89.0100957150446,94.3785204654983,144.947301685643,83.6988578765923,33.0361550739514,108.234114180811,2
546,143.770947670836,121.955879569,202.998053254619,195.292751477172,50.8925805603646,110.305376699548,1
548,33.1873895342568,35.9401302813869,243.505435539949,35.3886234456104,58.4387615893817,84.389806860134,3
555,154.209415183265,183.907519095711,205.989199627887,77.5102460327566,53.7288994242125,83.0062685222493,2
573,71.0583558347658,255.541858414709,218.340025498687,158.831028389973,66.3274313453147,69.5721260422169,3
640,66.8928494462758,100.674806075438,254.883706266671,24.179905355785,31.4733399553992,180.330250227739,1
661,66.0312816630048,55.7778671137623,171.422292558625,66.2749138195774,35.1393058945512,55.4651776622266,2
666,124.863608468908,178.868025714501,215.818806754004,128.041325588911,59.4691853130906,89.4896613732766,2
710,229.231035256899,292.041581920203,276.007094348364,112.581911237603,109.528213846277,102.339733879849,2
740,87.8718420580113,166.002393048824,179.770587444421,75.5436732533255,42.4933574434856,75.8841925522528,1
841,179.418956711536,101.82044576084,208.364467502119,255.398122197433,59.4494406434326,66.3780159857027,1
851,153.798421032057,215.183230142155,381.45286840589,69.3168395103881,74.6170913435674,276.015984426894,1
922,97.7439971212718,147.390818965384,124.304639589484,60.9317437792079,29.037652841984,52.8544038774314,1
