Users,med_ph_1,med_ph_2,med_ph_3,notch_ph_1,notch_ph_2,notch_ph_3,Performances
000,0.349299462882753,0.373925481119434,0.432277980813642,0.0288223277709918,0.0216495396579615,0.0400825702180678,3
008,0.39802344812021,0.339701019418549,0.368373770819691,0.0448023673331906,0.0182492930898154,0.0456186364814024,2
029,0.606930315146729,0.468612168920446,0.575729036949471,0.0842004502742765,0.0385574452496426,0.0859220804036628,1
041,0.603307499314715,0.374750938700587,0.472261293877003,0.0793771650826107,0.0443804887826135,0.0601019139809342,3
050,0.691344812315746,0.434386377173972,0.515754699879635,0.0750647695011837,0.0525389802100702,0.053233445588816,1
113,0.419131392068278,0.435843632941658,0.484527201953376,0.0366019138805963,0.0323569398531834,0.0639129951073207,2
160,0.605784283809366,0.550257123866904,0.819096216836339,0.104686057400504,0.084699351945015,0.146312705141526,1
194,0.514499535322471,0.332515240604457,0.370912813336788,0.0917708857386297,0.0208013478458936,0.0252670117707264,2
208,0.335562548363005,0.304918527062252,0.333810876656392,0.0290568592273235,0.0212372873422364,0.0493848705360673,1
211,0.572194075357024,0.330324231448311,0.386210959375751,0.081294813053186,0.0265176224447518,0.0511803424842682,2
278,0.614908669627917,0.436804224799277,0.491467703307819,0.106066687152184,0.0371489012033293,0.0420125681787537,1
311,0.301213217233068,0.302313572481156,0.354093932574975,0.0293891114059808,0.0223354737792671,0.0352460856820652,2
353,0.465167494129741,0.380650588650524,0.547469709413604,0.0823050170635638,0.0283859845134915,0.227651988748775,1
364,0.466576364321883,0.457902300204655,0.636510722569596,0.0870650445462924,0.0771334539896673,0.459776374804235,2
378,0.492738947538756,0.483912350664543,0.498290364884301,0.0527308658910613,0.0503412916675096,0.0511189101953039,3
388,0.260620837211024,0.253112416082986,0.363091758043675,0.0204912798332989,0.0129874539053463,0.0565806278938995,2
418,0.376495781292171,0.272824241015057,0.380233385985916,0.0466043860202798,0.0186774218662759,0.0720372531846841,2
456,0.360466151727948,0.229096631562604,0.307737470596379,0.064072810412981,0.0124980059457266,0.0675858655198863,1
495,0.266837628297835,0.236438460786597,0.306513740116383,0.0234591357477603,0.0205448699609162,0.0497343686123977,2
546,0.433253764738286,0.315345124580343,0.367419837643199,0.107577792295911,0.0200617431591888,0.0446965911449556,1
548,0.485089495419932,0.468544844140432,0.521421230593331,0.0437754957364804,0.0489975752972417,0.0524019346099662,3
555,0.588707012530481,0.521748234881234,0.560253313795217,0.0863186197041552,0.041714430070356,0.0427219993644535,2
573,0.597503360363754,0.401214028272227,0.485515552241301,0.0802679297473746,0.0207359625099663,0.0395232523692767,3
640,0.312312261278963,0.270376084513295,0.435938680509784,0.0220090031410304,0.0143252712914431,0.154956517519608,1
661,0.356825458863303,0.291837184922231,0.372623781086482,0.0455189851992257,0.0177825580685643,0.0397904421207756,2
666,0.587948915196456,0.437985325331102,0.569609924801572,0.105574186547881,0.0507192528474149,0.115782928868032,2
710,0.833496985515146,0.71666095635239,0.688580371800498,0.151817142097453,0.090278369319652,0.0985336642690683,2
740,0.2994791999088,0.264612659573977,0.397060598666904,0.0361604694453145,0.0232292008094114,0.0664769813436832,1
841,0.65020671617047,0.438961587458068,0.537661775699906,0.136626632311723,0.0324405346623792,0.0488185484050149,1
851,0.635099759531263,0.532982977571498,0.587077779291788,0.0408189005842381,0.0469393856855669,0.14320293326323,1
922,0.426162190707251,0.323296252517095,0.422266363997713,0.0517312818307445,0.0261868778563455,0.0317068202095162,1
