%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1583862803756559561,38652,91813125000000,world,-0.144701421261,0.23301538825,0.582079172134,0.0323450118303,0.0211772993207,-0.61818665266,-0.785080075264
1583862803764682829,38653,91813133333000,world,-0.144700214267,0.233015269041,0.582079231739,0.0323149748147,0.0211721565574,-0.618189930916,-0.785078823566
1583862803773866063,38654,91813141666000,world,-0.144700810313,0.233016073704,0.582084000111,0.0323509350419,0.0211993977427,-0.618188917637,-0.78507745266
1583862803782051610,38655,91813149999000,world,-0.144706517458,0.233008161187,0.58210170269,0.032351564616,0.0211470853537,-0.618199110031,-0.785070776939
1583862803790245372,38656,91813158333000,world,-0.144706472754,0.233008429408,0.582092583179,0.032321177423,0.0212403852493,-0.618202269077,-0.785067021847
1583862803798429332,38657,91813166666000,world,-0.144700139761,0.233017474413,0.58207911253,0.0322975032032,0.0211292374879,-0.618175327778,-0.785092175007
1583862803806594521,38658,91813175000000,world,-0.14470025897,0.233017414808,0.582081019878,0.0323750600219,0.0211521890014,-0.618207395077,-0.78506308794
1583862803814756753,38659,91813183333000,world,-0.144701868296,0.233014270663,0.582077622414,0.0323627479374,0.0211566612124,-0.618200778961,-0.785068809986
1583862803823954239,38660,91813191666000,world,-0.144702300429,0.233006387949,0.582088828087,0.0323037952185,0.0211096145213,-0.618234336376,-0.785046041012
1583862803832191586,38661,91813199999000,world,-0.1447019279,0.233018547297,0.582073867321,0.0324055962265,0.0212049726397,-0.618181288242,-0.785081088543
1583862803840368785,38662,91813208333000,world,-0.144700661302,0.233024001122,0.582073330879,0.0323871187866,0.0211910009384,-0.618159532547,-0.785099327564
1583862803848536445,38663,91813216666000,world,-0.144697770476,0.233020424843,0.582077622414,0.0324005223811,0.0211351886392,-0.618195056915,-0.78507232666
1583862803856721303,38664,91813225000000,world,-0.144698962569,0.23301205039,0.582073867321,0.0323267579079,0.0212094206363,-0.61819422245,-0.78507399559
1583862803864978498,38665,91813233333000,world,-0.144700989127,0.233010068536,0.58209913969,0.0323627367616,0.0210663378239,-0.618238031864,-0.785041928291
1583862803873237764,38666,91813241666000,world,-0.144694790244,0.233020469546,0.582064807415,0.0323104225099,0.0211694650352,-0.618191182613,-0.785078108311
1583862803881359328,38667,91813250000000,world,-0.144701555371,0.233018934727,0.582077085972,0.0323798209429,0.0211516320705,-0.618173360825,-0.785089790821
1583862803890555835,38668,91813258333000,world,-0.144702404737,0.233009189367,0.582080006599,0.0323372073472,0.0211859215051,-0.618194699287,-0.785073816776
1583862803898737397,38669,91813266666000,world,-0.144703030586,0.233019948006,0.582083582878,0.0323637314141,0.0211739931256,-0.618182897568,-0.785082399845
1583862803907006783,38670,91813274999000,world,-0.14469961822,0.233018070459,0.58208912611,0.0323551222682,0.021132465452,-0.618193089962,-0.785075724125
1583862803915191304,38671,91813283333000,world,-0.14471937716,0.233005732298,0.58211928606,0.0323180779815,0.0211778040975,-0.618123412132,-0.785130977631
1583862803923352395,38672,91813291666000,world,-0.144703000784,0.233011588454,0.582089066505,0.0322926715016,0.0211582090706,-0.618215143681,-0.785060226917
1583862803931551837,38673,91813300000000,world,-0.144700452685,0.233019277453,0.582082927227,0.0323611274362,0.0211574472487,-0.618208885193,-0.785062372684
1583862803939759166,38674,91813308333000,world,-0.144698992372,0.233033031225,0.582061767578,0.0324344523251,0.0211769361049,-0.618201673031,-0.785064458847
1583862803949019158,38675,91813316666000,world,-0.144699558616,0.233013987541,0.582072556019,0.0323031507432,0.0211699903011,-0.618195593357,-0.785074949265
1583862803957203374,38676,91813324999000,world,-0.144702732563,0.233014032245,0.582082092762,0.0323687642813,0.0211233887821,-0.618218004704,-0.785055756569
1583862803965398253,38677,91813333333000,world,-0.144704148173,0.233009085059,0.582080960274,0.0323143191636,0.0212463252246,-0.618203163147,-0.785066306591
1583862803973602808,38678,91813341666000,world,-0.144703820348,0.233018428087,0.582080483437,0.0323710292578,0.0211647618562,-0.618179559708,-0.785084962845
1583862803981755126,38679,91813350000000,world,-0.14470359683,0.233016058803,0.582077205181,0.0323358476162,0.021241446957,-0.618187606335,-0.785077929497
1583862803989980766,38680,91813358333000,world,-0.144698694348,0.233016744256,0.582086384296,0.0323237553239,0.0211471430957,-0.618196249008,-0.785074114799
1583862803998198790,38681,91813366666000,world,-0.144702881575,0.233008250594,0.582090973854,0.0323147885501,0.0211316552013,-0.618233561516,-0.785045623779
1583862804006340133,38682,91813375000000,world,-0.144705459476,0.233014315367,0.582083284855,0.0323717668653,0.0212106574327,-0.618179500103,-0.785083651543
1583862804015530035,38683,91813383333000,world,-0.144701480865,0.233019202948,0.582084536552,0.0323425382376,0.0211529321969,-0.618195056915,-0.785074174404
1583862804023723113,38684,91813391666000,world,-0.144702523947,0.23301076889,0.582086622715,0.032326374203,0.0211686789989,-0.618191838264,-0.785076975822
1583862804031972440,38685,91813399999000,world,-0.144703254104,0.233020544052,0.582073867321,0.0323851592839,0.0211622621864,-0.618202507496,-0.785066246986
1583862804040159738,38686,91813408333000,world,-0.144700467587,0.233017355204,0.582073628902,0.032326720655,0.0211876351386,-0.618204474449,-0.785066485405
