time,force,BW50hz,filtered,algorithm,pert,impact
252.500551168,-4.74263559501721,-4.7478338951078,-4.75948955446623,-4.70276961923228,NaN,NaN
252.501551168,-4.77999143233118,-4.75717334442413,-4.76198973241801,-4.70780705675377,NaN,NaN
252.502551168,-4.7221450374136,-4.76711282738127,-4.76463176579934,-4.71316291174859,NaN,NaN
252.503551168,-4.81482950196464,-4.77740274624358,-4.7674157140617,-4.7188361126709,NaN,NaN
252.504551168,-4.80589691346164,-4.78778348987862,-4.77034116093203,-4.724817733917,NaN,NaN
252.505551168,-4.78651266821533,-4.7980762463223,-4.77340724538795,-4.73110454216529,NaN,NaN
252.506551168,-4.78818823741831,-4.80819480906375,-4.7766126134645,-4.73768574769293,NaN,NaN
252.507551168,-4.77852463211093,-4.81800325404076,-4.77995516160335,-4.74455594962511,NaN,NaN
252.508551168,-4.82469263093178,-4.8271714752242,-4.78343174861663,-4.75170148053917,NaN,NaN
252.509551168,-4.86791129439247,-4.83517702902765,-4.78703820927556,-4.75911402916408,NaN,NaN
252.510551168,-4.8421824009397,-4.84145900112988,-4.7907700099669,-4.76677766990766,NaN,NaN
252.511551168,-4.85725535072503,-4.84555817178478,-4.79462278182236,-4.77468313824704,NaN,NaN
252.512551168,-4.85798422144031,-4.8471351607503,-4.79859206402503,-4.78281338004874,NaN,NaN
252.513551168,-4.94021352270303,-4.84600376735549,-4.80267321768227,-4.79115785964344,NaN,NaN
252.514551168,-4.88747408065824,-4.84231421214346,-4.80686237535618,-4.79969963902611,NaN,NaN
252.515551168,-4.81192182302826,-4.83670517476777,-4.81115751884387,-4.80842988771705,NaN,NaN
252.516551168,-4.79915257677914,-4.83014792572009,-4.81555799873162,-4.81733413521964,NaN,NaN
252.517551168,-4.79285638760341,-4.82359575567372,-4.82006256033814,-4.82640375873312,NaN,NaN
252.518551168,-4.77014559619856,-4.81774363149974,-4.82466784006929,-4.8356207441491,NaN,NaN
252.519551168,-4.82628405229562,-4.81296541002929,-4.82936835411401,-4.84497179665717,NaN,NaN
252.520551168,-4.77674020383822,-4.80937134049178,-4.8341571725991,-4.85443476855237,NaN,NaN
252.521551168,-4.756203881356,-4.80686878365247,-4.83902617569356,-4.86399336356436,NaN,NaN
252.522551168,-4.80902480026057,-4.80512039155025,-4.8439657207597,-4.873622198465,NaN,NaN
252.523551168,-4.8766584130372,-4.80357957839611,-4.84896475756896,-4.88330157428664,NaN,NaN
252.524551168,-4.86241980983321,-4.80178853993289,-4.85401203012371,-4.89300437979607,NaN,NaN
252.525551168,-4.79647361678772,-4.79969393506069,-4.85909717459229,-4.902711143599,NaN,NaN
252.526551168,-4.79376500841082,-4.79764720890833,-4.86421059935963,-4.91239610082381,NaN,NaN
252.527551168,-4.80379147543247,-4.79618127049026,-4.86934287609621,-4.92204059409688,NaN,NaN
252.528551168,-4.77599351242218,-4.79585107913277,-4.87448455505445,-4.93161899342612,NaN,NaN
252.529551168,-4.75493209190635,-4.7971519765658,-4.87962621791129,-4.94111262975047,NaN,NaN
252.530551168,-4.80678871352471,-4.8004187752033,-4.88475837401633,-4.95049560344195,NaN,NaN
252.531551168,-4.78412850276148,-4.80578408737633,-4.88987131627903,-4.95974948320463,NaN,NaN
252.532551168,-4.82440260197425,-4.8132383215257,-4.89495529579165,-4.96884843772782,NaN,NaN
252.533551168,-4.83271080357122,-4.82271397912285,-4.90000086393452,-4.97777405969402,NaN,NaN
252.534551168,-4.7711048481853,-4.834120721415,-4.9049986770286,-4.98650136216103,NaN,NaN
252.535551168,-4.7953166326971,-4.84722914088658,-4.90993834345913,-4.99501133088314,NaN,NaN
252.536551168,-4.89107798061237,-4.86149203426237,-4.91480723696003,-5.00327608746584,NaN,NaN
252.537551168,-4.8456222273265,-4.87606917312367,-4.91959078833142,-5.01127319465637,NaN,NaN
252.538551168,-4.95559652258402,-4.8900263335424,-4.92427387546754,-5.01897279479917,NaN,NaN
252.539551168,-4.9459690698111,-4.90254851094604,-4.92884197233359,-5.02635316674915,NaN,NaN
252.540551168,-4.89277527292768,-4.91310675663898,-4.93328189788119,-5.03338683104096,NaN,NaN
252.541551168,-4.94469922395647,-4.92144541267181,-4.93758209006932,-5.04005596511479,NaN,NaN
252.542551168,-4.90016775420162,-4.92742399513569,-4.94173211841516,-5.04633670797691,NaN,NaN
252.543551168,-4.940893332197,-4.93090364508106,-4.94572182667107,-5.05221326425772,NaN,NaN
252.544551168,-4.96206162160988,-4.9317325616814,-4.94954076120282,-5.05766277786981,NaN,NaN
252.545551168,-4.93867275132885,-4.9298245986765,-4.95317832397935,-5.06267010955659,NaN,NaN
252.546551168,-4.9763472703436,-4.9252705319934,-4.95662463247022,-5.06721408739102,NaN,NaN
252.547551168,-4.95021055286055,-4.91842574510296,-4.9598716107559,-5.07128297136636,NaN,NaN
252.548551168,-4.89652022507917,-4.9099513867567,-4.96291357529459,-5.07486098201971,NaN,NaN
252.549551168,-4.84853310537073,-4.90069611887327,-4.96574662032481,-5.07794231241987,NaN,NaN
252.550551168,-4.86734703864714,-4.8914235866937,-4.96836718789443,-5.08051411918578,NaN,NaN
252.551551168,-4.93131968204937,-4.88265669399788,-4.97077123425777,-5.08257167611841,NaN,NaN
252.552551168,-4.86061908193227,-4.87480125107167,-4.97295445279045,-5.08410322620709,NaN,NaN
252.553551168,-4.84051604697537,-4.86830019366434,-4.97491252593248,-5.08510491541278,NaN,NaN
252.554551168,-4.83548800605972,-4.86356264656494,-4.97664076511992,-5.08556612438274,NaN,NaN
252.555551168,-4.8325889347464,-4.86079933266125,-4.97813356651758,-5.08548305499258,NaN,NaN
252.556551168,-4.89717312422867,-4.85998850069847,-4.9793840833742,-5.08484427070578,NaN,NaN
252.557551168,-4.81307909941761,-4.86097718973756,-4.98038427758854,-5.08364510824943,NaN,NaN
252.558551168,-4.88115109905455,-4.86355466733852,-4.98112540403339,-5.08187388812273,NaN,NaN
252.559551168,-4.88873147609855,-4.86746287468801,-4.98159891665875,-5.07952752543549,NaN,NaN
252.560551168,-4.88339570400623,-4.87247343497301,-4.98179761030166,-5.07659721697575,NaN,NaN
252.561551168,-4.88982909638563,-4.87848705763484,-4.98171632187361,-5.07308477473965,NaN,NaN
252.562551168,-4.86206353407491,-4.88552408751572,-4.9813520013235,-5.06898731859453,NaN,NaN
252.563551168,-4.85182710580387,-4.89360322800443,-4.98070339085852,-5.06431218788471,NaN,NaN
252.564551168,-4.8947826028264,-4.9025799608481,-4.97977006624259,-5.05906062879871,NaN,NaN
252.565551168,-4.90455001991624,-4.91207575283356,-4.97855118711183,-5.05324184739008,NaN,NaN
252.566551168,-4.93177707158647,-4.92155020175693,-4.97704504359962,-5.0468579052696,NaN,NaN
252.567551168,-4.97452841362202,-4.93044205951639,-4.97524970790821,-5.03991861199159,NaN,NaN
252.568551168,-4.93166560985795,-4.93831163165394,-4.97316403003482,-5.03242750233283,NaN,NaN
252.569551168,-4.92586171738908,-4.94487799298641,-4.97078791189099,-5.02439840344455,NaN,NaN
252.570551168,-4.94719994286648,-4.94990296468533,-4.96812158450393,-5.01583786785085,NaN,NaN
252.571551168,-4.92225384029699,-4.95306139074439,-4.96516473475251,-5.00676073373902,NaN,NaN
252.572551168,-4.98602875774501,-4.9539085255865,-4.96191634812314,-4.99717402982044,NaN,NaN
252.573551168,-4.99726610684923,-4.95197388539502,-4.95837557703149,-4.98709339602921,NaN,NaN
252.574551168,-4.97149096267829,-4.9469584610012,-4.95454305252249,-4.97652916148076,NaN,NaN
252.575551168,-5.02706850490822,-4.9389129467891,-4.95042157836758,-4.96550204805367,NaN,NaN
252.576551168,-4.91721089791766,-4.92832979005018,-4.94601623155346,-4.95402839071253,NaN,NaN
252.577551168,-4.89516808599061,-4.91608339421195,-4.94133400790011,-4.94213432493534,NaN,NaN
252.578551168,-4.89058493909691,-4.90318294514234,-4.93638266631557,-4.9298396707173,NaN,NaN
252.579551168,-4.84767271579854,-4.89052746625739,-4.93116968854397,-4.91717271243736,NaN,NaN
252.580551168,-4.82306698438774,-4.87876584743711,-4.9257022325222,-4.9041541031741,NaN,NaN
252.581551168,-4.88488356252021,-4.86821058696048,-4.91998743801073,-4.89081285191723,NaN,NaN
252.582551168,-4.85078499814008,-4.85888495046154,-4.91403251109146,-4.87717038819583,NaN,NaN
252.583551168,-4.8191965324475,-4.85066779221117,-4.90784440587251,-4.86325641791194,NaN,NaN
252.584551168,-4.86393706440645,-4.84334803940734,-4.90142923268211,-4.84909253801526,NaN,NaN
252.585551168,-4.86728277400703,-4.83665699368452,-4.89479242908858,-4.83470707100041,NaN,NaN
252.586551168,-4.8268662376768,-4.83039424979211,-4.88794000290057,-4.82012220326963,NaN,NaN
252.587551168,-4.86285239860708,-4.82452229867193,-4.88087954765641,-4.80537018541455,NaN,NaN
252.588551168,-4.79175214249006,-4.81915959234864,-4.87362007673627,-4.79047625202694,NaN,NaN
252.589551168,-4.83197768906788,-4.81452169503781,-4.86617097150316,-4.77547504020386,NaN,NaN
252.590551168,-4.78269689186381,-4.81084117898313,-4.8585410800038,-4.76039213253698,NaN,NaN
252.591551168,-4.79593888497131,-4.80829303961802,-4.85073868326686,-4.74526127036068,NaN,NaN
252.592551168,-4.72955835895207,-4.80689293618479,-4.8427716256034,-4.73010734330873,NaN,NaN
252.593551168,-4.83215803428985,-4.80637158721481,-4.83464689489768,-4.71496268247773,NaN,NaN
252.594551168,-4.85183950094196,-4.80621252933066,-4.82637046528113,-4.69985042749833,NaN,NaN
252.595551168,-4.83679696487288,-4.80592849977647,-4.81794807402475,-4.68480117022109,NaN,NaN
252.596551168,-4.8045853670749,-4.80529800605096,-4.80938617086964,-4.66983854201392,NaN,NaN
252.597551168,-4.80438345110015,-4.80434541416459,-4.80069228203324,-4.65499521100755,NaN,NaN
252.598551168,-4.8194242719269,-4.8032091124306,-4.79187479287213,-4.64029606240815,NaN,NaN
252.599551168,-4.77468023750269,-4.80206884487043,-4.78294223549866,-4.62577394041076,NaN,NaN
252.600551168,-4.77482010154972,-4.80107976061633,-4.77390245893066,-4.61145240793095,NaN,NaN
252.601551168,-4.78874194300575,-4.80026108822298,-4.76476243505588,-4.59736280065509,NaN,NaN
252.602551168,-4.75552085103952,-4.79941755022731,-4.75552861392029,-4.58352676214848,NaN,NaN
252.603551168,-4.7916883884612,-4.7981125035118,-4.74620684812291,-4.56997263077283,NaN,NaN
252.604551168,-4.82553851227551,-4.79570064847891,-4.73680179827341,-4.55672027823496,NaN,NaN
252.605551168,-4.82756018208088,-4.79149248963883,-4.72731683889442,-4.5437944783468,NaN,NaN
252.606551168,-4.81506954503844,-4.78497712193397,-4.71775489505427,-4.53121102437767,NaN,NaN
252.607551168,-4.8036660122872,-4.77594407862609,-4.70811963044372,-4.51899450784748,NaN,NaN
