%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value
1583419944000041331,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944001002628,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944002076404,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944002998650,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944003951724,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944004923691,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944005943834,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944006919253,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944007929364,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944008920899,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944009952895,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944010940947,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944011922247,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944012942855,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944013921729,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944014950944,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944015944890,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944016912179,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944017942625,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944018915653,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944019914369,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944020932925,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944021907305,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944022940182,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944023946135,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944024909386,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944025939117,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944026918404,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944027943819,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944028958001,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944029942451,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944030916964,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944031929639,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944032991237,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944033938317,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944034971866,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944035948283,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944036935805,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944037946778,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944038939809,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944039970800,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944040956131,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944041970135,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944042947651,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944043911179,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944044934633,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944045918067,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944046974534,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944047928669,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944048961115,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944049933931,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944050963281,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944051919416,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944052935874,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944053935162,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944054916049,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944055916723,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944056907388,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944057954757,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944058912261,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944059917973,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944060924623,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944061992010,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944062922732,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944063921558,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944064912233,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944065925482,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944066930929,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944067931236,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944068938080,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944069949760,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944070951005,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944071924777,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944072940212,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944073933332,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944074923351,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944075936227,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944076953941,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944077944895,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944078933796,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944079962942,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944080920470,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944081938890,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944082922629,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944083936297,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944084936783,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944085951978,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944086958062,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944087937749,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944088950538,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944089942172,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944090948124,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944091948459,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944092939878,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944093969746,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944094958912,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944095974245,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944096944309,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944097964436,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944098920083,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944099931128,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944100934694,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944101918266,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944102970944,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944103932318,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944104919729,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944105938165,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944106933312,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583419944107944661,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
