t,x,x0,f,f0
94.6,0.288834788064511,NaN,-2.67864291221439,NaN
94.601,0.288790479819026,NaN,-2.7135178662253,NaN
94.602,0.28874677405438,NaN,-2.74914999639253,NaN
94.603,0.288703660649448,NaN,-2.78488322030415,NaN
94.604,0.288661136252154,NaN,-2.81998868334578,NaN
94.605,0.288619205381928,NaN,-2.85378449994279,NaN
94.606,0.288577881173027,NaN,-2.88569833769877,NaN
94.607,0.288537185750877,NaN,-2.91519577886377,NaN
94.608,0.288497150233289,NaN,-2.94184338000301,NaN
94.609,0.288457814353121,NaN,-2.9656654487666,NaN
94.61,0.288419225716649,NaN,-2.98742518590155,NaN
94.611,0.28838143870199,NaN,-3.00842397659307,NaN
94.612,0.2883445129538,NaN,-3.02999685804094,NaN
94.613,0.288308511405358,NaN,-3.05316200258018,NaN
94.614,0.288273497773699,NaN,-3.07856176805999,NaN
94.615,0.288239533487223,NaN,-3.1065015694227,NaN
94.616,0.288206674007597,NaN,-3.13697924137012,NaN
94.617,0.288174964891953,NaN,-3.16984594522824,NaN
94.618,0.288144438920544,NaN,-3.20504660282669,NaN
94.619,0.288115115658765,NaN,-3.24262903237348,NaN
94.62,0.288087003089017,NaN,-3.2824882295135,NaN
94.621,0.288060099731593,NaN,-3.32417191792205,NaN
94.622,0.288034396235622,NaN,-3.36703468324082,NaN
94.623,0.288009876230187,NaN,-3.41058954814892,NaN
94.624,0.287986516441099,NaN,-3.45465633586796,NaN
94.625,0.28796428625304,NaN,-3.49928276689946,NaN
94.626,0.287943147423043,NaN,-3.54465242159733,NaN
94.627,0.287923054851034,NaN,-3.59099110700622,NaN
94.628,0.287903958456231,NaN,-3.63841673318753,NaN
94.629,0.287885805312488,NaN,-3.68679548374605,NaN
94.63,0.287868541355517,NaN,-3.73572769217145,NaN
94.631,0.287852112511471,NaN,-3.78469506243286,NaN
94.632,0.287836465279735,NaN,-3.83322732286071,NaN
94.633,0.287821546802933,NaN,-3.88091555643101,NaN
94.634,0.287807304520328,NaN,-3.92729221517628,NaN
94.635,0.287793685772692,NaN,-3.97182536446279,NaN
94.636,0.287780637954078,NaN,-4.01418998117548,NaN
94.637,0.287768109406938,NaN,-4.05458632261644,NaN
94.638,0.287756050611635,NaN,-4.09373330053548,NaN
94.639,0.287744415202,NaN,-4.13247412115044,NaN
94.64,0.28773316069159,NaN,-4.17131582239681,NaN
94.641,0.287722248938858,NaN,-4.21022529837539,NaN
94.642,0.287711646382897,NaN,-4.24870734647113,NaN
94.643,0.287701324143783,NaN,-4.28606762760539,NaN
94.644,0.28769125818027,NaN,-4.32164786199465,NaN
94.645,0.287681429618329,NaN,-4.35487836875622,NaN
94.646,0.287671825140874,NaN,-4.38533699109306,NaN
94.647,0.28766243728366,NaN,-4.41285355820997,NaN
94.648,0.287653264591843,NaN,-4.43748304512528,NaN
94.649,0.287644311641723,NaN,-4.45944146796273,NaN
