1428.354994724,-0.184831,-0.515009,-0.57824,,-0.0102042,0.00287979,-0,-0,0.00299055,-0,-0.005226,0.0410763,0,0,2.164,-0,-0,0.00314159,0.0221239,-0,0,0,0,0,0,0
1428.356058671,-0.184831,-0.515009,-0.57824,,0.00078701,0.00287979,-0,-0,0.00299055,-0,-0.005226,0.0410763,0,0,2.164,-0,-0,0.00314159,0.0221239,-0,0,0,0,0,0,0
1428.357123530,-0.184831,-0.515009,-0.57824,,0.00538756,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,-0.00335,2.164,-0,0.003621,0.00314159,-0,-0,0,0,0,0,0,0
1428.358187180,-0.184831,-0.515009,-0.57824,,-0.00446016,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0.0067,2.164,-0,-0,0.00314159,-0,-0,0,0,0,0,0,0
1428.359283709,-0.184831,-0.515009,-0.57824,,-0.00446016,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0.00335,2.164,-0,-0.003621,0.00314159,-0,-0,0,0,0,0,0,0
1428.360350358,-0.184831,-0.515009,-0.57824,,-0.00446016,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0.00335,2.164,-0,-0.003621,0.00314159,-0,-0,0,0,0,0,0,0
1428.361417346,-0.184831,-0.515009,-0.57824,,-0.00389105,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0,2.164,-0,0.003621,0.00314159,-0,-0,0,0,0,0,0,0
1428.362481922,-0.184836,-0.515023,-0.57824,,-0.00849575,0.00287979,-0,-0,0.00299055,-0,-0.005226,0.0410763,0,0.01005,2.164,-0,-0,0.00314159,-0,-0,0,0,0,0,0,0
1428.362481922,-0.184836,-0.515023,-0.57824,,-0.00849575,0.00287979,-0,-0,0.00299055,-0,-0.005226,0.0410763,0,0.01005,2.164,-0,-0,0.00314159,-0,-0,0,0,0,0,0,0
1428.363514697,-0.184836,-0.515023,-0.57824,,-1.31938e-05,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,-0.00335,2.164,-0,-0,0.00314159,-0,-0,0,0,0,0,0,0
