t;z;z0
259.799;0.302942149536551;NaN
259.8;0.302824404373177;NaN
259.801;0.302707246744817;NaN
259.802;0.302590736378893;NaN
259.803;0.302474925290796;NaN
259.804;0.302359856450034;NaN
259.805;0.302245563997501;NaN
259.806;0.302132074240106;NaN
259.807;0.302019406465587;NaN
259.808;0.301907573266767;NaN
259.809;0.301796580363318;NaN
259.81;0.301686425913357;NaN
259.811;0.301577099628218;NaN
259.812;0.301468582658902;NaN
259.813;0.301360848945361;NaN
259.814;0.301253867440832;NaN
259.815;0.301147604242248;NaN
259.816;0.301042024276981;NaN
259.817;0.300937092549043;NaN
259.818;0.300832774965863;NaN
259.819;0.300729038914519;NaN
259.82;0.300625854099604;NaN
259.821;0.300523194103601;NaN
259.822;0.300421038489922;NaN
259.823;0.300319374924087;NaN
259.824;0.300218201031439;NaN
259.825;0.300117525949778;NaN
259.826;0.30001737157789;NaN
259.827;0.299917773383778;NaN
259.828;0.299818780267309;NaN
259.829;0.299720452892262;NaN
259.83;0.299622860516727;NaN
259.831;0.299526076878158;NaN
259.832;0.299430175524925;NaN
259.833;0.299335224651512;NaN
259.834;0.299241281393786;NaN
259.835;0.29914838588732;NaN
259.836;0.299056556689659;NaN
259.837;0.2989657900443;NaN
259.838;0.298876063498971;NaN
259.839;0.298787341640298;NaN
259.84;0.298699581798964;NaN
259.841;0.298612739140404;NaN
259.842;0.298526771165653;NaN
259.843;0.298441641648504;NaN
259.844;0.298357324010944;NaN
259.845;0.298273803968499;NaN
259.846;0.298191081052447;NaN
259.847;0.298109168821131;NaN
259.848;0.298028094071114;NaN
259.849;0.297947895425735;NaN
259.85;0.297868621405975;NaN
259.851;0.297790327960515;NaN
259.852;0.297713075425962;NaN
259.853;0.297636925255566;NaN
259.854;0.297561937603995;NaN
259.855;0.297488170499948;NaN
259.856;0.297415679843323;NaN
259.857;0.297344519059284;NaN
259.858;0.297274737978016;NaN
259.859;0.297206380899271;NaN
259.86;0.297139483811737;NaN
259.861;0.29707407127968;NaN
259.862;0.297010154702628;NaN
259.863;0.296947733342524;NaN
259.864;0.296886797254358;NaN
259.865;0.296827330282462;NaN
259.866;0.296769312257483;NaN
259.867;0.296712720292818;NaN
259.868;0.296657529192492;NaN
259.869;0.296603711208617;NaN
259.87;0.296551235953839;NaN
259.871;0.296500071285979;NaN
259.872;0.296450184969294;NaN
259.873;0.296401546224467;NaN
259.874;0.296354126610718;NaN
259.875;0.296307900141404;NaN
259.876;0.296262842650556;NaN
259.877;0.296218930575511;NaN
259.878;0.296176139770587;NaN
259.879;0.296134445122429;NaN
259.88;0.29609382098902;NaN
259.881;0.296054241725367;NaN
259.882;0.296015681704659;NaN
259.883;0.295978114698059;NaN
259.884;0.295941512629045;NaN
259.885;0.295905843847702;NaN
259.886;0.29587107161897;NaN
259.887;0.295837153971194;NaN
259.888;0.295804045248887;NaN
259.889;0.295771698429159;NaN
259.89;0.295740067231588;NaN
259.891;0.295709107760187;NaN
259.892;0.295678779705384;NaN
259.893;0.29564904713258;NaN
259.894;0.295619878893116;NaN
259.895;0.295591248784346;NaN
259.896;0.295563135712845;NaN
259.897;0.295535523995677;NaN
259.898;0.295508403637044;NaN
259.899;0.295481770366222;NaN
259.9;0.295455625372136;NaN
259.901;0.295429974737274;NaN
259.902;0.295404828570383;NaN
259.903;0.295380199972758;NaN
259.904;0.295356104263501;NaN
259.905;0.295332558781946;NaN
259.906;0.295309583014346;NaN
259.907;0.295287198586353;NaN
259.908;0.295265428921643;NaN
259.909;0.295244298536996;NaN
259.91;0.2952238319597;NaN
259.911;0.29520405243504;NaN
259.912;0.295184981003671;NaN
259.913;0.295166636440741;NaN
259.914;0.295149035772807;NaN
259.915;0.295132194719446;NaN
259.916;0.295116127725604;NaN
259.917;0.295100847528077;NaN
259.918;0.29508636424738;NaN
259.919;0.29507268417302;NaN
259.92;0.295059808861216;NaN
259.921;0.29504773518728;NaN
259.922;0.29503645619707;NaN
259.923;0.295025962036035;NaN
259.924;0.295016240489599;NaN
259.925;0.29500727704253;NaN
259.926;0.294999054464761;NaN
259.927;0.29499155206499;NaN
259.928;0.294984745173238;NaN
259.929;0.294978605590523;NaN
259.93;0.294973103063281;NaN
259.931;0.294968207095392;NaN
259.932;0.294963888522834;NaN
259.933;0.294960120715613;NaN
259.934;0.294956880424493;NaN
259.935;0.294954148300303;NaN
259.936;0.294951909163713;NaN
259.937;0.294950152146934;NaN
259.938;0.294948870750764;NaN
259.939;0.294948062731078;NaN
259.94;0.294947729720842;NaN
259.941;0.294947876560357;NaN
259.942;0.294948510334953;NaN
259.943;0.294949639154992;NaN
259.944;0.294951270985381;NaN
259.945;0.29495341319085;NaN
259.946;0.294956073114367;NaN
259.947;0.294959259174201;NaN
259.948;0.294962981841468;NaN
259.949;0.294967254294097;NaN
259.95;0.294972092740584;NaN
259.951;0.294977516405343;NaN
259.952;0.294983547165724;NaN
259.953;0.294990208935181;0.294990208935181
259.954;0.294997527102289;0.294997527102289
259.955;0.295005528236589;0.295005528236589
259.956;0.295014239842093;0.295015025882839
259.957;0.295023689814945;0.295026014378274
259.958;0.295033905469218;0.29503848806013
259.959;0.295044912109671;0.295052441265641
259.96;0.295056731135128;0.295067868332042
259.961;0.295069377871155;0.295084763596568
259.962;0.295082859842851;0.295103121396453
259.963;0.295097176153484;0.295122936068934
259.964;0.295112317702252;0.295144201951244
259.965;0.295128267435867;0.295166913380618
259.966;0.295145000178502;0.295191064694291
259.967;0.295162481968148;0.295216650229499
259.968;0.295180668915041;0.295243664323475
259.969;0.295199505746068;0.295272101313456
259.97;0.295218924627798;0.295301955536675
259.971;0.295238844999385;0.295333221330367
259.972;0.295259174445947;0.29536589303177
259.973;0.295279809959162;0.295399964978113
259.974;0.295300639087199;0.295435431506638
259.975;0.295321540899665;0.295472286954573
259.976;0.295342386836322;0.295510525659156
259.977;0.295363041479297;0.295550141957625
259.978;0.295383363151583;0.295591130187209
259.979;0.295403204136645;0.295633484685148
259.98;0.295422410528039;0.295677199788672
259.981;0.295440822048887;0.295722269835018
259.982;0.295458272189596;0.295768689161425
259.983;0.295474588835414;0.295816452105121
259.984;0.2954895954858;0.295865553003346
259.985;0.295503113124818;0.295915986193331
259.986;0.295514962503795;0.295967746012312
259.987;0.29552496622871;0.296020826797529
259.988;0.295532950437529;0.296075222886208
259.989;0.295538746730526;0.296130928615592
259.99;0.295542195130366;0.29618793832291
259.991;0.295543148382585;0.296246246345398
259.992;0.295541477693348;0.296305847020296
259.993;0.295537079993104;0.296366734684834
259.994;0.295529885736738;0.296428903676246
259.995;0.295519864093098;0.296492348331767
259.996;0.295507023404742;0.296557062988638
259.997;0.295491409050623;0.296623041984086
259.998;0.295473101924498;0.296690279655353
259.999;0.295452218595696;0.296758770339666
260;0.295428913111813;0.296828508374264
260.001;0.295403380371228;0.296899488096386
260.002;0.29537586096984;0.296971703843258
260.003;0.295346646346093;0.297045149952125
260.004;0.295316080619803;0.297119820760212
260.005;0.295284555963322;0.297195710604758
260.006;0.29525250282331;0.297272813823003
260.007;0.295220378501413;0.297351124752173
260.008;0.295188655760296;0.297430637729511
260.009;0.29515781146864;0.297511347092244
260.01;0.295128314998363;0.297593247177611
260.011;0.295100616855455;0.29767633232285
260.012;0.295075139981848;0.297760596865189
260.013;0.295052276227091;0.297846035141871
260.014;0.295032387011363;0.297932641490121
260.015;0.295015804806505;0.29802041024718
260.016;0.295002833210637;0.298109335750287
260.017;0.294993745001738;0.298199412336671
260.018;0.294988777984427;0.298290634343564
260.019;0.294988129270479;0.298382996108204
260.02;0.294991951148319;0.298476491967831
260.021;0.295000352673249;0.298571116259671
260.022;0.295013407029751;0.298666863320969
260.023;0.295031160417859;0.298763727488948
260.024;0.295053638971189;0.29886170310085
260.025;0.295080852796759;0.298960784493914
260.026;0.295112797119349;0.299060966005364
260.027;0.295149450842112;0.299162241972447
260.028;0.295190774343577;0.299264606732385
260.029;0.295236709746866;0.29936805462242
260.03;0.295287184772534;0.299472579979792
260.031;0.295342117530744;0.299578177141725
260.032;0.295401419391764;0.299684840445464
260.033;0.295464995122293;0.299792564228233
260.034;0.29553274034198;0.299901342827273
260.035;0.295604536491519;0.300011170579826
260.036;0.295680245218549;0.300122041823112
260.037;0.29575970685258;0.30023395089438
260.038;0.295842745678335;0.300346892130852
260.039;0.295929178819143;0.30046085986977
260.04;0.296018824370921;0.300575848448374
260.041;0.296111507452375;0.300691852203893
260.042;0.296207064281199;0.300808865473555
260.043;0.296305344382383;0.300926882594602
260.044;0.296406211506903;0.301045897904275
260.045;0.296509544843081;0.301165905739796
260.046;0.296615241725513;0.301286900438413
260.047;0.296723221067877;0.301408876337347
260.048;0.29683342603645;0.301531827773841
260.049;0.2969458253701;0.301655749085135
260.05;0.297060413326288;0.301780634608452
260.051;0.297177208272304;0.301906478681039
260.052;0.297296250194107;0.302033275640117
260.053;0.297417598011031;0.302161019822929
260.054;0.297541327489954;0.302289705566717
260.055;0.297667529373552;0.302419327208701
260.056;0.297796306684432;0.30254987908613
260.057;0.297927770601388;0.302681355536224
260.058;0.298062034752311;0.302813750896227
260.059;0.298199207857253;0.30294705950338
260.06;0.298339384654161;0.303081275694903
260.061;0.298482635924238;0.303216393808045
260.062;0.298629000910319;0.303352408180028
