t,xp,xb
140,-0.0334681908520047,1.64783118478978
140.001,-0.0343377931803325,1.64608544104209
140.002,-0.0349707515201764,1.64417157520836
140.003,-0.0355543641066748,1.64230305419317
140.004,-0.036153581211935,1.6404554355847
140.005,-0.0367542350101152,1.63862360219032
140.006,-0.0372963873806536,1.6368040524943
140.007,-0.0378698393559912,1.63527868966142
140.008,-0.0384033694617151,1.63375332682854
140.009,-0.0389699912968383,1.63184382831369
140.01,-0.0394802242234303,1.62983092825327
140.011,-0.0400629883365912,1.62803212745697
140.012,-0.040810535434831,1.62631084710514
140.013,-0.0408500072854304,1.6241077207589
140.014,-0.0413540338973989,1.62169168553254
140.015,-0.0419380669634778,1.62021885549249
140.016,-0.0424462821902419,1.61880421988692
140.017,-0.0429954612888773,1.61676449931308
140.018,-0.0434828057894509,1.61466748948995
140.019,-0.0440206417764203,1.61266031615748
140.02,-0.0445363693061561,1.61068968268665
140.021,-0.0450646454955314,1.6091757382982
140.022,-0.0457234206470367,1.6076617939098
140.023,-0.0462834458736142,1.60547646155512
140.024,-0.0467156299476627,1.60293327247869
140.025,-0.0472239473483894,1.6009513564533
140.026,-0.047697577951454,1.59904329115691
140.027,-0.0481777371849416,1.59695540645313
140.028,-0.0486695986153979,1.59487786669381
140.029,-0.0491674439685795,1.59316082820898
140.03,-0.0496814646182974,1.59144378972416
140.031,-0.0496982509853284,1.58932658819355
140.032,-0.0502883852815498,1.58713548065272
140.033,-0.0508120964891597,1.58494632425251
140.034,-0.0512430845232051,1.58275787113664
140.035,-0.0516582778513883,1.58054272090863
140.036,-0.0520311904164356,1.57841308797031
140.037,-0.0524590858320216,1.57669103169677
140.038,-0.0528836042841975,1.57496897542323
140.039,-0.0532989297363921,1.57266655057022
140.04,-0.0539040138778505,1.57025972893512
140.041,-0.0541295512132098,1.56796725363982
140.042,-0.0545111950326226,1.56573636410907
140.043,-0.0551163438092236,1.5639550503193
140.044,-0.0554901193436484,1.56217373652952
140.045,-0.0558732921231857,1.55988238401231
140.046,-0.0562587795946468,1.55745626497477
140.047,-0.0566235017426417,1.55513777613752
140.048,-0.0566464310938285,1.55285214677275
140.049,-0.057029473143669,1.5510463674103
140.05,-0.0573657651618696,1.54927654799642
140.051,-0.0577547391739756,1.54699786583984
140.052,-0.0580939736000009,1.54422105373479
140.053,-0.0585813340171065,1.54165999926009
140.054,-0.0589179608853129,1.53921022599269
140.055,-0.0592238517703106,1.53703067754586
140.056,-0.0595554201613958,1.53488005677478
