time,tau_e2,tau_e3,tau_e4,tau_sp2,tau_sp3,tau_sp4
3.84e-06,0,0,0,0.94068,1.8961,1.126131
0.00100384,0,0,0,0.94068,1.8961,1.126131
0.00200384,0,0,0,0.94068,1.8961,1.126131
0.00300384,0,0,0,0.94068,1.8961,1.126131
0.00400384,0,0,0,0.94068,1.8961,1.126131
0.00500384,0,0,0,0.94068,1.8961,1.126131
0.00600384,0,0,0,0.94068,1.8961,1.126131
0.00700384,0,0,0,0.94068,1.8961,1.126131
0.00800384,0,0,0,0.94068,1.8961,1.126131
0.00900384,0,0,0,0.94068,1.8961,1.126131
0.01000384,0,0,0,0.94068,1.8961,1.126131
0.01100384,0,0,0,0.94068,1.8961,1.126131
0.01200384,0,0,0,0.94068,1.8961,1.126131
0.01300384,0,0,0,0.94068,1.8961,1.126131
0.01400384,0,0,0,0.94068,1.8961,1.126131
0.01500384,0,0,0,0.94068,1.8961,1.126131
0.01600384,0,0,0,0.94068,1.8961,1.126131
0.01700384,0,0,0,0.94068,1.8961,1.126131
0.01800384,0,0,0,0.94068,1.8961,1.126131
0.01900384,0,0,0,0.94068,1.8961,1.126131
0.02000384,0,0,0,0.94068,1.8961,1.126131
0.02100384,0,0,0,0.94068,1.8961,1.126131
0.02200384,0,0,0,0.94068,1.8961,1.126131
0.02300384,0,0,0,0.94068,1.8961,1.126131
0.02400384,0,0,0,0.94068,1.8961,1.126131
0.02500384,0,0,0,0.94068,1.8961,1.126131
0.02600384,0,0,0,0.94068,1.8961,1.126131
0.02700384,0,0,0,0.94068,1.8961,1.126131
0.02800384,0,0,0,0.94068,1.8961,1.126131
0.02900384,0,0,0,0.94068,1.8961,1.126131
0.03000384,0,0,0,0.94068,1.8961,1.126131
0.03100384,0,0,0,0.94068,1.8961,1.126131
0.03200384,0,0,0,0.94068,1.8961,1.126131
0.03300384,0,0,0,0.94068,1.8961,1.126131
0.03400384,0,0,0,0.94068,1.8961,1.126131
0.03500384,0,0,0,0.94068,1.8961,1.126131
0.03600384,0,0,0,0.94068,1.8961,1.126131
0.03700384,0,0,0,0.94068,1.8961,1.126131
0.03800384,0,0,0,0.94068,1.8961,1.126131
0.03900384,0,0,0,0.94068,1.8961,1.126131
0.04000384,0,0,0,0.94068,1.8961,1.126131
0.04100384,0,0,0,0.94068,1.8961,1.126131
0.04200384,0,0,0,0.94068,1.8961,1.126131
0.04300384,0,0,0,0.94068,1.8961,1.126131
0.04400384,0,0,0,0.94068,1.8961,1.126131
0.04500384,0,0,0,0.94068,1.8961,1.126131
0.04600384,0,0,0,0.94068,1.8961,1.126131
0.04700384,0,0,0,0.94068,1.8961,1.126131
0.04800384,0,0,0,0.94068,1.8961,1.126131
0.04900384,0,0,0,0.94068,1.8961,1.126131
0.05000384,0,0,0,0.94068,1.8961,1.126131
0.05100384,0,0,0,0.94068,1.8961,1.126131
0.05200384,0,0,0,0.94068,1.8961,1.126131
0.05300384,0,0,0,0.94068,1.8961,1.126131
0.05400384,0,0,0,0.94068,1.8961,1.126131
0.05500384,0,0,0,0.94068,1.8961,1.126131
