%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1554455016325004717,162358,1554455016324945200,base_link,-14.127638,0.246449,-11.120927,0.023857,0.870425,0.056349
1554455016327011177,162359,1554455016326954705,base_link,-14.143312,0.207892,-11.141621,0.024536,0.869553,0.056553
1554455016329016424,162360,1554455016328958821,base_link,-14.058795,0.207529,-11.124882,0.0259,0.869359,0.057218
1554455016331037012,162361,1554455016330958631,base_link,-14.148697,0.232858,-10.534535,0.024079,0.870322,0.049967
1554455016332740507,162362,1554455016332680284,base_link,-14.048851,0.193677,-10.663074,0.025184,0.869624,0.052062
1554455016334756353,162363,1554455016334696358,base_link,-14.07315,0.277591,-10.916714,0.024451,0.869872,0.055359
1554455016336772057,162364,1554455016336704350,base_link,-14.11493,0.275999,-11.201901,0.025033,0.868249,0.056316
1554455016338771560,162365,1554455016338706825,base_link,-14.127596,0.314602,-11.201654,0.024648,0.869509,0.056112
1554455016340778697,162366,1554455016340710126,base_link,-14.164674,0.27612,-11.642534,0.024336,0.870929,0.061278
1554455016342781805,162367,1554455016342718765,base_link,-14.096264,0.22078,-11.583416,0.025301,0.869277,0.061721
1554455016344798001,162368,1554455016344728094,base_link,-14.056419,0.258166,-11.267571,0.024965,0.868995,0.057791
1554455016346799373,162369,1554455016346734600,base_link,-14.100283,0.366099,-11.204826,0.025672,0.868211,0.056746
1554455016348773929,162370,1554455016348707810,base_link,-14.101072,0.231854,-11.083886,0.024744,0.869284,0.057209
1554455016350793302,162371,1554455016350720533,base_link,-14.091363,0.265599,-10.578907,0.025003,0.870337,0.050818
1554455016352817386,162372,1554455016352760227,base_link,-14.048271,0.276127,-10.661922,0.024792,0.869095,0.051625
1554455016354829999,162373,1554455016354761207,base_link,-14.141641,0.303736,-11.13855,0.024563,0.870741,0.055297
1554455016356830297,162374,1554455016356770432,base_link,-14.100915,0.198733,-11.059416,0.02355,0.869062,0.05635
1554455016358849604,162375,1554455016358777820,base_link,-14.070625,0.214525,-11.203198,0.024652,0.870205,0.056762
1554455016360839257,162376,1554455016360784140,base_link,-14.12136,0.30306,-11.747743,0.02456,0.869891,0.06251
1554455016362840860,162377,1554455016362786511,base_link,-14.138255,0.246038,-11.625975,0.025114,0.869397,0.062337
