%time,field.header.seq,field.header.stamp,field.header.frame_id,field.quaternion.x,field.quaternion.y,field.quaternion.z,field.quaternion.w
1555680892042617741,43547,1555680892042507886,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892044631624,43548,1555680892044531106,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892046760000,43549,1555680892046638965,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892048693204,43550,1555680892048588991,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892050696822,43551,1555680892050530910,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892052923385,43552,1555680892052737951,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892055047293,43553,1555680892054815053,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892056849837,43554,1555680892056663036,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892059076361,43555,1555680892058844089,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892060731884,43556,1555680892060597896,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892063557418,43557,1555680892063393115,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892064776588,43558,1555680892064677000,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892067229351,43559,1555680892067003011,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892068744671,43560,1555680892068658113,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892070719291,43561,1555680892070537090,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892073486078,43562,1555680892073304891,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892075652546,43563,1555680892075470924,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892077714452,43564,1555680892077601909,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892080718490,43565,1555680892079940080,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892082448093,43566,1555680892082005023,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892085226776,43567,1555680892084656953,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892086411708,43568,1555680892086299896,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892088292056,43569,1555680892088187932,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892090166458,43570,1555680892090042114,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892092550553,43571,1555680892091852903,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892094178074,43572,1555680892093705892,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892096422479,43573,1555680892095554113,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892097646103,43574,1555680892097451925,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892099366500,43575,1555680892099271059,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892101430243,43576,1555680892101326942,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892103420582,43577,1555680892103225946,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892105441743,43578,1555680892105343103,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892107443908,43579,1555680892107285022,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892109364693,43580,1555680892109242916,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892111408867,43581,1555680892111170053,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892113422452,43582,1555680892113249063,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892115459964,43583,1555680892115298032,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892117393608,43584,1555680892117259025,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892119289121,43585,1555680892119187116,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892121180575,43586,1555680892121023893,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892123200144,43587,1555680892123061895,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892125240005,43588,1555680892125071048,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892127297033,43589,1555680892127127885,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
