%time	field.transforms0.header.seq	field.transforms0.header.stamp	field.transforms0.header.frame_id	field.transforms0.child_frame_id	field.transforms0.transform.translation.x	field.transforms0.transform.translation.y	field.transforms0.transform.translation.z	field.transforms0.transform.rotation.x	field.transforms0.transform.rotation.y	field.transforms0.transform.rotation.z	field.transforms0.transform.rotation.w
1554455016215620000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016217430000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016219100000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016221340000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016223420000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016225380000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016227990000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016229360000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016231250000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016233290000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016235310000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016237480000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016239440000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016241540000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016243430000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016245360000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016247540000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016249180000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016251460000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016253420000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016255410000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016257260000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016259100000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016261750000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016263420000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016265320000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016267400000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016269460000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016271300000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016273360000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016275460000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016277540000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016279320000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016281180000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016283170000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016285670000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016287340000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016289330000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016291330000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016293270000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016295560000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016297830000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016299370000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016301490000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016303460000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016305310000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016307310000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016309770000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016311340000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016313440000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
1554455016315440000	0	1,55446E+18	world	arm	0.570851557089	-0.0123203402804	1.10354624156	-0.00414045070757	0.186469975677	-0.192085485656	0.963491033191
