%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1555680892051675791,276848,1555680892051595706,base_link,-17.966797,1.494806,-11.153143,0.049011,0.8257,0.027236
1555680892053717651,276849,1555680892053605641,base_link,-17.944186,1.520637,-10.486528,0.0473,0.825133,0.021272
1555680892055728218,276850,1555680892055615710,base_link,-18.00105,1.475242,-10.654228,0.04821,0.824745,0.02313
1555680892057745776,276851,1555680892057638112,base_link,-17.997393,1.512051,-11.02935,0.049103,0.824768,0.026414
1555680892059692603,276852,1555680892059598378,base_link,-17.995832,1.510664,-11.074111,0.048774,0.825725,0.027677
1555680892061708852,276853,1555680892061609447,base_link,-17.966688,1.415806,-11.209598,0.046851,0.823919,0.026957
1555680892063743354,276854,1555680892063658416,base_link,-17.917946,1.478176,-11.775569,0.048281,0.824242,0.032737
1555680892065742853,276855,1555680892065659015,base_link,-17.920024,1.459038,-11.547832,0.047831,0.824424,0.031109
1555680892067768122,276856,1555680892067675665,base_link,-17.951915,1.422278,-11.213597,0.047555,0.824979,0.027826
1555680892069759449,276857,1555680892069685153,base_link,-18.022673,1.461558,-11.173529,0.047763,0.826258,0.027637
1555680892071807831,276858,1555680892071693671,base_link,-17.996445,1.415912,-11.193412,0.048753,0.824515,0.027628
1555680892073763522,276859,1555680892073704545,base_link,-18.018574,1.398985,-10.359556,0.047028,0.824409,0.020024
1555680892075839341,276860,1555680892075716197,base_link,-18.028218,1.472963,-10.615441,0.046885,0.825703,0.023767
1555680892077832787,276861,1555680892077723962,base_link,-17.968408,1.459117,-10.891212,0.04716,0.825504,0.027711
1555680892079850403,276862,1555680892079700992,base_link,-17.952318,1.468178,-11.032715,0.046914,0.825589,0.027878
1555680892081800524,276863,1555680892081713170,base_link,-17.981645,1.471121,-11.090995,0.047546,0.824638,0.02722
1555680892083928837,276864,1555680892083754605,base_link,-17.889057,1.430545,-11.859611,0.047975,0.823638,0.033973
1555680892085838730,276865,1555680892085755809,base_link,-17.932616,1.497682,-11.549825,0.047446,0.825689,0.031539
1555680892087852956,276866,1555680892087766112,base_link,-18.008924,1.456855,-11.252635,0.047739,0.824624,0.027383
1555680892089570120,276867,1555680892089487740,base_link,-18.023791,1.494885,-11.13272,0.048636,0.825902,0.027234
1555680892091572024,276868,1555680892091495222,base_link,-17.995315,1.478519,-11.135438,0.048549,0.825703,0.028079
1555680892093886872,276869,1555680892093801291,base_link,-18.018238,1.481823,-10.383845,0.047602,0.824086,0.020866
1555680892095587204,276870,1555680892095505178,base_link,-17.92997,1.44884,-10.575184,0.047454,0.824627,0.023784
1555680892097598986,276871,1555680892097524836,base_link,-17.940301,1.480695,-11.069779,0.048294,0.823589,0.026805
1555680892099601666,276872,1555680892099537356,base_link,-17.968048,1.449521,-11.19423,0.048691,0.823768,0.027832
1555680892101612162,276873,1555680892101541321,base_link,-17.895079,1.46948,-11.108571,0.046975,0.824798,0.026581
1555680892103629663,276874,1555680892103557385,base_link,-18.034123,1.561355,-11.652619,0.049392,0.823943,0.031717
1555680892105627868,276875,1555680892105564040,base_link,-17.96344,1.469362,-11.568797,0.04818,0.823775,0.031308
1555680892107634441,276876,1555680892107574192,base_link,-17.938464,1.46348,-11.132261,0.047211,0.824146,0.027624
1555680892109649330,276877,1555680892109583370,base_link,-17.996219,1.431966,-11.131087,0.047258,0.823948,0.027407
1555680892111660277,276878,1555680892111588526,base_link,-17.967484,1.496627,-11.07498,0.047092,0.823803,0.028479
1555680892113627699,276879,1555680892113565927,base_link,-17.988349,1.464871,-10.46728,0.047512,0.82464,0.021696
1555680892115645287,276880,1555680892115579869,base_link,-17.916218,1.393235,-10.613514,0.047078,0.823726,0.023547
1555680892117690280,276881,1555680892117621044,base_link,-17.953357,1.468701,-11.049716,0.048524,0.825777,0.026628
1555680892119692681,276882,1555680892119627454,base_link,-17.995529,1.493029,-11.029159,0.047689,0.825893,0.02662
1555680892121698029,276883,1555680892121635618,base_link,-17.994836,1.510947,-11.113506,0.047811,0.825525,0.027649
1555680892123707911,276884,1555680892123643057,base_link,-17.931561,1.51746,-11.760405,0.048864,0.82533,0.033819
1555680892125713743,276885,1555680892125652742,base_link,-18.018849,1.516266,-11.5308,0.04717,0.824961,0.031948
1555680892127731342,276886,1555680892127663969,base_link,-17.907593,1.509935,-11.193677,0.047244,0.825685,0.027626
1555680892129790081,276887,1555680892129682691,base_link,-17.980073,1.501541,-11.092107,0.047118,0.825798,0.027439
1555680892131786436,276888,1555680892131681488,base_link,-17.95321,1.519686,-11.094973,0.048875,0.825055,0.02788
1555680892133741877,276889,1555680892133660193,base_link,-18.015392,1.447922,-10.566689,0.04769,0.825767,0.021256
1555680892135974820,276890,1555680892135673123,base_link,-17.972729,1.507926,-10.612369,0.047822,0.824184,0.022709
1555680892137789843,276891,1555680892137707360,base_link,-17.967039,1.458451,-10.987888,0.047478,0.826438,0.026427
1555680892139812728,276892,1555680892139712875,base_link,-17.951383,1.50288,-11.147531,0.046831,0.825012,0.026141
1555680892141817528,276893,1555680892141723773,base_link,-17.953172,1.470157,-11.068749,0.047568,0.824818,0.026597
1555680892143847824,276894,1555680892143735840,base_link,-17.946185,1.511072,-11.760887,0.048161,0.824281,0.034219
1555680892145553659,276895,1555680892145468963,base_link,-17.947852,1.476071,-11.58951,0.0476,0.824439,0.031514
1555680892147842995,276896,1555680892147758886,base_link,-18.02395,1.498494,-11.237628,0.048977,0.824575,0.028461
1555680892149842084,276897,1555680892149760219,base_link,-17.966956,1.446628,-11.176838,0.048675,0.825298,0.02849
1555680892151864177,276898,1555680892151785088,base_link,-17.967609,1.415565,-11.172444,0.047814,0.824124,0.027619
1555680892153915985,276899,1555680892153766915,base_link,-17.946313,1.439692,-10.408761,0.047378,0.82434,0.022347
1555680892155580592,276900,1555680892155500195,base_link,-17.885966,1.45643,-10.618126,0.046905,0.824717,0.024614
1555680892157635610,276901,1555680892157515200,base_link,-17.968318,1.493619,-10.971114,0.04804,0.825138,0.027271
1555680892159717684,276902,1555680892159521261,base_link,-17.953608,1.48871,-11.115499,0.048336,0.824083,0.028278
1555680892161672790,276903,1555680892161535473,base_link,-17.909181,1.461342,-11.130377,0.047227,0.825085,0.027004
1555680892163617138,276904,1555680892163539093,base_link,-17.906508,1.433859,-11.487081,0.04767,0.824315,0.031126
1555680892165627435,276905,1555680892165553195,base_link,-17.934943,1.500322,-11.468745,0.047461,0.823793,0.031542
1555680892167632661,276906,1555680892167555217,base_link,-17.964997,1.463519,-11.252901,0.046863,0.824901,0.027589
1555680892169634312,276907,1555680892169563798,base_link,-17.965729,1.458746,-11.088602,0.04748,0.82681,0.026401
1555680892171642396,276908,1555680892171574047,base_link,-18.009761,1.487578,-11.133636,0.048276,0.82523,0.027645
1555680892173652857,276909,1555680892173582395,base_link,-18.001545,1.438801,-10.464053,0.046356,0.825282,0.021052
1555680892175670535,276910,1555680892175595104,base_link,-18.000144,1.441023,-10.613721,0.046367,0.824912,0.023542
1555680892177678740,276911,1555680892177605197,base_link,-17.968335,1.527233,-10.990139,0.048273,0.824773,0.02684
1555680892179682437,276912,1555680892179616685,base_link,-17.936981,1.476569,-11.109382,0.046664,0.825669,0.026795
1555680892181693401,276913,1555680892181611214,base_link,-17.952902,1.488417,-11.155857,0.048334,0.82446,0.02827
1555680892183714909,276914,1555680892183633510,base_link,-17.97503,1.49554,-11.756458,0.047703,0.823886,0.033148
1555680892185700178,276915,1555680892185636935,base_link,-17.963149,1.419036,-11.527056,0.046868,0.823932,0.031305
1555680892187709965,276916,1555680892187649014,base_link,-17.981521,1.473895,-11.198585,0.048204,0.823889,0.029093
1555680892189720552,276917,1555680892189658084,base_link,-17.908916,1.493236,-11.111649,0.047449,0.82549,0.027229
1555680892191745334,276918,1555680892191671897,base_link,-17.938172,1.414037,-11.130957,0.046225,0.824111,0.027611
1555680892193756286,276919,1555680892193678983,base_link,-17.972849,1.489749,-10.529742,0.047055,0.824553,0.022305
1555680892195821651,276920,1555680892195687267,base_link,-18.030249,1.393315,-10.588626,0.04665,0.824311,0.022275
1555680892197813663,276921,1555680892197696289,base_link,-17.96722,1.493021,-10.990512,0.047073,0.825321,0.027253
1555680892199754226,276922,1555680892199669783,base_link,-17.965898,1.526007,-11.088013,0.047302,0.825704,0.026172
1555680892201820488,276923,1555680892201689560,base_link,-17.995542,1.512124,-11.113584,0.048139,0.824956,0.027647
