lower_window,upper_window,K_med_err_csv,B_med_err_csv,M_med_err_csv
30,80,0.006084333,0.002348264,0.0003262957
40,80,0.00633752,0.0007659594,0.0001822511
50,80,0.006197575,0.0001229445,0.0001380245
60,80,0.006818499,0.003932873,0.0002146164
70,80,0.0004744394,0.0009533564,0.0002711415
80,80,0.002391161,0.003134727,0.0002887249
90,80,0.001994106,0.001163642,0.0001256069
100,80,0.004332297,0.008023024,0.0001715223
110,80,0.004267992,0.001914899,0.000406146
120,80,0.003738839,0.0009172757,0.0001244346
30,90,0.003736115,0.001752615,0.0001647472
40,90,0.006018393,0.0002481937,0.0006188353
50,90,0.002085658,0.00498716,0.0003937284
60,90,0.003897313,0.000566562,9.371837e-05
70,90,0.004150282,0.006274144,3.616015e-06
80,90,0.005782863,0.003838619,0.0001151959
90,90,0.003979492,0.003683726,0.000338316
100,90,0.004146903,0.003177087,0.0001555085
110,90,0.002373723,0.004065116,0.0006427765
120,90,0.00538014,0.0009152889,0.000182728
30,100,0.003767068,0.002255519,0.0004741947
40,100,0.007203565,0.007613897,0.0002728502
50,100,0.007533809,0.002635717,6.66976e-05
60,100,0.00647583,0.005574147,0.0004828373
70,100,0.007316807,0.003407161,2.040466e-05
80,100,0.005206844,0.002362172,0.0006226102
90,100,0.003569467,0.002738158,0.0001402299
100,100,0.004084233,0.0001277129,0.0004611015
110,100,0.007227216,0.001669407,0.0002116561
120,100,0.005754307,0.003154198,7.377068e-05
30,110,0.005594417,0.00262324,0.000142316
40,110,0.00338222,0.001327276,0.0003054142
50,110,0.004768154,0.002453963,0.0001231432
60,110,0.004036603,0.002662579,0.0003162622
70,110,0.006982749,0.002623161,0.000217398
80,110,0.00581883,0.005070686,0.0001166662
90,110,0.009256745,0.005276918,0.0002693534
100,110,0.004228428,0.00335439,0.0004165967
110,110,0.005427333,0.002922138,0.0006698966
120,110,0.004729353,0.00648435,8.934736e-05
30,120,0.00347726,0.002459129,0.0004644791
40,120,0.004418945,0.0003611247,0.0003274878
50,120,0.004348973,0.004004081,0.0001152952
60,120,0.003315299,0.0003882249,0.0001241366
70,120,0.004336657,0.001809677,0.000666817
80,120,0.002798571,0.001286189,0.0003506343
90,120,0.00580586,0.001090368,0.0001868208
100,120,0.004405975,0.005548636,0.0001609723
110,120,0.007263946,0.001928647,0.0001307925
120,120,0.007869938,0.004827817,0.0002080798
30,130,0.005109515,0.001414696,0.0003969073
40,130,0.004682813,0.007258574,0.0002350807
50,130,0.001274109,0.001454671,0.0002083779
60,130,0.002759661,0.0005396207,0.00033017
70,130,0.004362815,0.002249559,0.0001886884
80,130,0.004063524,0.003630241,0.000191172
90,130,0.004244232,8.948644e-05,1.754363e-05
100,130,0.004320199,0.005565961,0.0001528263
110,130,0.005578831,0.001720508,4.635255e-05
120,130,0.00521807,0.007626375,6.41346e-05
30,140,0.006868853,0.003988663,0.0003235936
40,140,0.00666711,0.005062739,0.0001730124
50,140,0.006839425,0.00407815,0.0004884005
60,140,0.006478991,0.006573597,0.0004406373
70,140,0.003990173,0.004301071,0.0002922018
80,140,0.001391384,0.001926184,0.0001061559
90,140,0.002531433,0.001030445,1.225869e-05
100,140,0.005717359,9.814898e-05,0.0001785557
110,140,0.003307997,0.002159357,1.585484e-05
120,140,0.002828653,0.0006608168,0.0002423326
30,150,0.0008935111,0.001760483,0.0001154939
40,150,0.003636061,0.0005387465,0.0001319845
50,150,0.003486851,0.003754457,4.335244e-05
60,150,0.005494254,0.008293469,0.0001296004
70,150,0.005637251,0.005445957,0.0001888871
80,150,0.003364236,0.008779447,1.446406e-05
90,150,0.004010119,0.002898932,0.0003926356
100,150,0.007733808,0.003834327,0.000281771
110,150,0.002915083,0.002569596,0.0003524025
120,150,0.004413387,0.0005568663,0.0001271963
30,160,0.004875728,0.0001672904,4.609426e-06
40,160,0.003926414,0.004241864,8.881092e-06
50,160,0.004793548,0.002859036,4.83195e-05
60,160,0.003457315,0.001033942,0.0001575947
70,160,0.001486642,0.001797994,3.987551e-05
80,160,0.000264304,0.004966974,0.0001350641
90,160,0.003551156,0.005907536,2.523263e-06
100,160,0.00796487,0.004018466,0.0001988212
110,160,0.006845093,0.005468766,0.0003789266
120,160,0.006293815,0.004939476,0.000602146
30,170,0.003667232,0.005445242,8.408229e-05
40,170,0.00306233,0.004968882,0.0004580021
50,170,0.006073107,0.004336675,0.0001253088
60,170,0.006407383,0.001341979,0.0003238916
70,170,0.004074315,0.003044208,0.0001935562
80,170,0.005482592,0.006680727,0.0001998146
90,170,0.00642504,0.008661111,0.0003234943
100,170,0.004642051,0.003472408,0.0001689196
110,170,0.002970559,0.001241922,5.120039e-05
120,170,0.004599217,0.002092838,1.653035e-05
30,180,0.004828535,0.009578626,0.0001907746
40,180,0.001716505,0.00673604,0.0002021194
50,180,0.004951695,0.007236322,0.0001718005
60,180,0.007449341,0.008521716,0.0003607472
70,180,0.005981227,0.004932722,0.0001940529
80,180,0.004678345,0.007631938,0.0003579656
90,180,0.006733377,0.006954113,3.202756e-05
100,180,0.004210663,0.0026745,0.0002669692
110,180,0.004065813,0.002904177,9.858608e-05
120,180,0.002709089,0.004784504,0.0004599889
30,190,0.005305372,0.008863528,0.0001307726
40,190,0.006295122,0.004717747,0.0001586874
50,190,0.007131086,0.008254846,0.0002622008
60,190,0.004423196,0.003954331,0.0002141197
70,190,0.004014805,0.003356695,0.0003440579
80,190,0.00762122,0.007187446,0.0004488627
90,190,0.006321935,0.006326675,0.0003904502
100,190,0.005976105,0.005887906,0.0001520316
110,190,0.00537589,0.001072407,8.767843e-05
120,190,0.005481502,0.00908796,9.262562e-05
30,200,0.00658493,0.0130527,0.0002376636
40,200,0.005136,0.008506934,0.0007519523
