time,force,virtual
204.72049024,-6.37306895054472,NaN
204.72149024,-6.37192126736353,NaN
204.72249024,-6.36847736414335,NaN
204.72349024,-6.36366227661198,NaN
204.72449024,-6.35854736196729,NaN
204.72549024,-6.3540345219085,NaN
204.72649024,-6.35065504199268,NaN
204.72749024,-6.34863237788483,NaN
204.72849024,-6.34814782463237,NaN
204.72949024,-6.34953701931966,NaN
204.73049024,-6.35323241441564,NaN
204.73149024,-6.35953853211788,NaN
204.73249024,-6.36843575819397,NaN
204.73349024,-6.37952530404566,NaN
204.73449024,-6.39210995229489,NaN
204.73549024,-6.40536401130708,NaN
204.73649024,-6.41847426137361,NaN
204.73749024,-6.43063066267865,NaN
204.73849024,-6.44092747000537,NaN
204.73949024,-6.44830564830356,NaN
204.74049024,-6.45166916382946,NaN
204.74149024,-6.45026849062627,NaN
204.74249024,-6.44405038391374,NaN
204.74349024,-6.4335993560639,NaN
204.74449024,-6.41985587399703,NaN
204.74549024,-6.40391727244187,NaN
204.74649024,-6.38691803790624,NaN
204.74749024,-6.36992612516174,NaN
204.74849024,-6.35384231882144,NaN
204.74949024,-6.33934139547648,NaN
204.75049024,-6.32686777052704,NaN
204.75149024,-6.31655854022408,NaN
204.75249024,-6.30808371461238,NaN
204.75349024,-6.30065286251082,NaN
204.75449024,-6.29330283345908,NaN
204.75549024,-6.28523736536914,NaN
204.75649024,-6.27595574783922,NaN
204.75749024,-6.2651819183037,NaN
204.75849024,-6.25279294951013,NaN
204.75949024,-6.23884627539342,NaN
204.76049024,-6.22365620099148,NaN
204.76149024,-6.20778410648669,NaN
204.76249024,-6.191873927971,NaN
204.76349024,-6.17651702853254,NaN
204.76449024,-6.16220402819549,NaN
204.76549024,-6.14918178451232,NaN
204.76649024,-6.13730970690697,NaN
204.76749024,-6.12615237107847,NaN
204.76849024,-6.11529887309317,NaN
204.76949024,-6.10467370119916,NaN
204.77049024,-6.09452741410112,NaN
204.77149024,-6.08511193680576,NaN
204.77249024,-6.07643346640678,NaN
204.77349024,-6.06825233917234,NaN
204.77449024,-6.06015760458301,NaN
204.77549024,-6.05165542920036,NaN
204.77649024,-6.04226169302602,NaN
204.77749024,-6.03146358310772,NaN
204.77849024,-6.01857802583706,NaN
204.77949024,-6.00277601290788,NaN
