idx_id_wdw_csv,idx_interp_spl_csv,K_med_err_csv,B_med_err_csv,M_med_err_csv
100,200,0.1828618,0.0613571551014805,0.0102335916299157
105,200,0.2110062,0.0226797819115318,0.0118025877353632
110,200,0.2055627,0.0427247685683684,0.0186217715646469
115,200,0.2022908,0.048442719113357,0.0196881427489435
120,200,0.1933514,0.0632226868553978,0.0214903011418412
125,200,0.2030087,0.0829132169254068,0.0247164195669456
130,200,0.1936031,0.0730343693334359,0.0177578882481285
135,200,0.1993973,0.0781104803986142,0.0173034719011609
140,200,0.1931193,0.086949884611004,0.0167709542836116
145,200,0.1776527,0.0855667596969094,0.0121803427771576
150,200,0.1727804,0.0945026458276506,0.00980803635624935
155,200,0.1781752,0.0967362122479876,0.0051093220776253
160,200,0.1687426,0.0895500955899899,0.00160604718282128
165,200,0.1554741,0.112495849207214,0.00176956939634709
170,200,0.1502646,0.127039407049368,0.00840891306684373
175,200,0.1506206,0.140902881281583,0.0127625215181813
180,200,0.1472954,0.147598864184622,0.0172674388913987
185,200,0.1437471,0.158182271095937,0.0214364471644041
190,200,0.1422321,0.1624675562807,0.0258437801338398
195,200,0.1402182,0.170701059545206,0.0274168135315941
200,200,0.1385181,0.185737657875771,0.0281759203454609
205,200,0.1384245,0.186044529067306,0.0282640850473452
210,200,0.1384245,0.186044529067613,0.0282640850473324
215,200,0.1384245,0.186044529067337,0.0282640850473185
220,200,0.1384245,0.186044529067318,0.0282640850472819
225,200,0.1384245,0.186044529067316,0.0282640850473835
230,200,0.1384245,0.186044529067323,0.0282640850473209
235,200,0.1396478,0.186044529067333,0.0282130319413374
240,200,0.140871,0.186044529067321,0.0281619788353578
245,200,0.140871,0.186044529067317,0.028161978835391
250,200,0.140871,0.186044529067317,0.0281619788354433
255,200,0.140871,0.186044529067341,0.028161978835388
260,200,0.140871,0.186044529067341,0.0281619788353649
265,200,0.140871,0.186044529067318,0.0281619788353654
270,200,0.140871,0.18604452906732,0.0281619788354204
275,200,0.1421471,0.186044529067311,0.0273536498479401
280,200,0.1421471,0.186044529067319,0.0273536498479264
285,200,0.1421471,0.186044529067306,0.0273536498479397
290,200,0.1421471,0.186044529067338,0.0273536498479408
295,200,0.1421471,0.186044529067317,0.0273536498479245
300,200,0.1421471,0.186044529067306,0.0273536498479215
100,205,0.1207289,0.0383508773967471,0.000459824882101019
105,205,0.1468087,0.0176394786771884,0.00111150327842073
110,205,0.1423887,0.022673757205554,0.0100765109752996
115,205,0.1466092,0.0333701534340061,0.0118594666978139
120,205,0.136167,0.0520550188231,0.0133537925427685
125,205,0.1446469,0.0650849818932808,0.012989635886335
130,205,0.131606,0.0683463039387506,0.00660537446958209
135,205,0.1331099,0.0591860886990848,0.00901301347768465
140,205,0.1258938,0.0652315350440221,0.00468750358951497
145,205,0.1212778,0.0698954103206562,0.00197648557220598
150,205,0.1173146,0.0737048249374565,0.00102140029454079
155,205,0.1130198,0.0794068065636702,0.00123693812855985
160,205,0.1047672,0.070643631601264,0.00328131909393477
165,205,0.1062344,0.0887047838347173,0.00815115485574262
170,205,0.08578393,0.105025918944236,0.00844093115634714
175,205,0.08770382,0.115782632260904,0.0153254364505238
180,205,0.08331266,0.122855652479248,0.0182627410465393
185,205,0.08186352,0.130191267645842,0.0236399203523633
190,205,0.0784075,0.13249420905132,0.0283164329101894
195,205,0.07478409,0.147423250492343,0.0311211700647004
200,205,0.07241636,0.155775225763141,0.033526631805148
205,205,0.07144241,0.156697361178628,0.0347361765929786
210,205,0.07139696,0.156916741376836,0.0347822893251741
215,205,0.07139696,0.156916741376843,0.0347822893252244
220,205,0.07139696,0.156916741376836,0.0347822893252671
225,205,0.07139696,0.156916741376836,0.0347822893251493
230,205,0.07139696,0.156916741376851,0.0347822893251803
235,205,0.07941437,0.156916741376851,0.0337776539619746
240,205,0.08743177,0.156916741376851,0.0327730185987418
245,205,0.08743177,0.156916741376826,0.0327730185987448
250,205,0.08743177,0.156916741376852,0.0327730185987052
255,205,0.08743177,0.156916741376822,0.0327730185987087
260,205,0.08743177,0.156916741376851,0.0327730185986029
265,205,0.08743177,0.156916741376832,0.0327730185987324
270,205,0.08743177,0.156916741376823,0.0327730185987333
275,205,0.08743177,0.156916741376831,0.0327730185986027
280,205,0.08743177,0.156916741376837,0.0327730185986066
285,205,0.08743177,0.156916741376837,0.0327730185987222
290,205,0.08743177,0.156916741376832,0.0327730185987333
295,205,0.08947504,0.156916741376852,0.0327349104617675
300,205,0.08947504,0.156916741376846,0.0327349104617623
100,210,0.0742593,0.00982544577013093,0.00816184379300015
105,210,0.0970156,0.00289250019932992,0.00952683971454889
110,210,0.07706506,0.0102989901702739,0.00178437768394342
115,210,0.08643941,0.0171179237489619,0.00427730240406562
120,210,0.08443876,0.0311726280853516,0.00785704994180718
125,210,0.06792787,0.0419157670867012,0.000422766633238481
130,210,0.06617541,0.0295258022286555,0.00145250551839578
135,210,0.0709501,0.0449224125766832,0.00144843568304724
140,210,0.06149107,0.0565491787308021,0.00546839109841527
145,210,0.05198997,0.0615184517441156,0.00596714444517902
150,210,0.04933286,0.0587911899094342,0.0081578855492929
155,210,0.05064719,0.065260109579913,0.0113781320505411
160,210,0.04489931,0.0567029893412848,0.0158816186417689
165,210,0.04567708,0.0723497649616448,0.0186895798810503
170,210,0.03965552,0.0782170726929077,0.0207017407108671
175,210,0.03637717,0.0872837516759202,0.0220111376985841
180,210,0.03501129,0.0931446407331997,0.0258956979335362
185,210,0.03314209,0.0968221498322349,0.0291422884206538
190,210,0.03072205,0.102245786144502,0.0344501015508066
195,210,0.0281202,0.109559219891233,0.0348109117565298
200,210,0.02598877,0.107589707065578,0.0363483827717187
205,210,0.0246363,0.125231113346859,0.0386044422974737
210,210,0.02177048,0.128478369612856,0.03938454343987
215,210,0.02174061,0.128838011176894,0.0394531485679319
220,210,0.02174061,0.128838011176944,0.039453148567821
225,210,0.02174061,0.128838011176918,0.0394531485678199
230,210,0.02174061,0.128838011176896,0.0394531485678051
235,210,0.02174061,0.12883801117694,0.0394531485679163
240,210,0.02293963,0.128838011176913,0.0393943865695508
245,210,0.02293963,0.128838011176896,0.0393943865695466
250,210,0.02293963,0.128838011176896,0.0393943865695068
255,210,0.02293963,0.128838011176896,0.0393943865694996
260,210,0.02293963,0.128838011176895,0.0393943865695114
265,210,0.02293963,0.128838011176919,0.0393943865695233
270,210,0.02293963,0.128838011176896,0.0393943865694598
275,210,0.02293963,0.128838011176919,0.0393943865695136
280,210,0.02293963,0.128838011176902,0.0393943865695183
285,210,0.02293963,0.128838011176879,0.0393943865695088
290,210,0.02293963,0.128838011176907,0.0393943865695488
295,210,0.02293963,0.128838011176891,0.0393943865695558
300,210,0.02293963,0.128838011176896,0.039394386569521
100,215,0.03128837,0.00886196043151655,0.015145337231778
105,215,0.04981635,0.0172597490158788,0.016016280395039
110,215,0.04372308,0.00124063557664863,0.00689641538707819
115,215,0.04164004,0.00146608863680283,0.000930075424661429
120,215,0.03528104,0.0173102204056113,0.00217984002803244
125,215,0.04002195,0.0220280670733633,0.000358975329678805
130,215,0.03846871,0.0203694355743237,0.00917797441055949
135,215,0.02917012,0.0347225067484927,0.0111322854081676
140,215,0.01944308,0.0475778836441346,0.0142414851860094
145,215,0.01466925,0.0483797339879732,0.0145087626109014
150,215,0.015979,0.0486402618138461,0.0163325907696767
155,215,0.01535928,0.0526111852815661,0.0182121414377208
160,215,0.007288578,0.0553742498415525,0.0188951834823845
165,215,0.001317923,0.0674952783845755,0.02225979993398
170,215,0.006201608,0.0715560586152807,0.0240744516793366
175,215,0.005088806,0.0701444862570013,0.0272808152191885
180,215,0.006076704,0.072704311757524,0.0322089526870314
185,215,0.005008371,0.0783186870974183,0.0353856011534213
190,215,0.00523322,0.0827489629962706,0.0395788104965324
195,215,0.007924434,0.090584815966626,0.0369306259239638
200,215,0.0102708,0.0916277402588186,0.0396153594108151
205,215,0.01186807,0.0972156933336992,0.0438015795107706
210,215,0.01289084,0.108946034960901,0.044959976455341
215,215,0.01349258,0.112639711785634,0.0454174802218379
220,215,0.01353247,0.113728835434641,0.045452769468925
225,215,0.01353247,0.113728835434673,0.0454527694689283
230,215,0.01353247,0.113728835434662,0.0454527694688905
235,215,0.01353247,0.113728835434365,0.0454527694689274
240,215,0.01334795,0.11372883543436,0.0453491898620599
245,215,0.01334795,0.113728835434639,0.0453491898620835
250,215,0.01334795,0.113728835434355,0.0453491898620971
255,215,0.01334795,0.113728835434361,0.0453491898620623
260,215,0.01334795,0.113728835434642,0.0453491898620971
265,215,0.01334795,0.113728835434675,0.0453491898621087
270,215,0.01334795,0.113728835434366,0.0453491898620747
275,215,0.01334795,0.113728835434639,0.0453491898620947
280,215,0.01334795,0.113728835434635,0.0453491898620926
285,215,0.01334795,0.113728835434371,0.0453491898621093
290,215,0.01334795,0.11372883543436,0.0453491898621056
295,215,0.01334795,0.113728835434665,0.0453491898621651
300,215,0.01334795,0.113728835434365,0.04534918986209
100,220,0.003408704,0.028750822292932,0.0185946661832681
105,220,0.01413171,0.0337307270928227,0.0199831708264063
110,220,0.005839539,0.0190294459811483,0.0122370898133948
115,220,0.008142416,0.01551569900041,0.00872907162542014
120,220,0.001088388,0.00134339927400455,0.00456970385264099
125,220,0.004448373,0.00951680524670806,0.0019064024983025
130,220,0.01040366,0.00526579926043969,0.01345423268165
135,220,0.003323255,0.0131306997499934,0.0166416213375137
140,220,0.01536408,0.0227961943149572,0.018939749558395
145,220,0.03636812,0.0371866924077306,0.0212213945703499
150,220,0.03325174,0.0438447467317505,0.0242945700850039
155,220,0.03786131,0.0456425020735344,0.0243418541103122
160,220,0.03399255,0.0485718687526771,0.0241197969479765
165,220,0.04163589,0.0567596452447123,0.0265858917492812
170,220,0.04553179,0.0573327938103598,0.0299957456199212
175,220,0.04773734,0.0592982085724776,0.0326565631610937
180,220,0.05309252,0.0596248411749685,0.0319429102142329
185,220,0.05183018,0.0628918604737592,0.0376062890747814
190,220,0.04901515,0.0719974838178182,0.0406633832255478
195,220,0.05360903,0.0680493736823138,0.0402594181636096
200,220,0.05394952,0.0684678060280193,0.0412959759472205
205,220,0.05667212,0.0724878811590643,0.0448172010873251
210,220,0.0587726,0.0842355928362739,0.0515174028503179
215,220,0.05959342,0.0941445445809152,0.0517034299572883
220,220,0.06165924,0.0945218181370522,0.0519760979900435
225,220,0.06168856,0.0946004507082988,0.0520164253726145
230,220,0.06168856,0.0946004507083034,0.0520164253726061
235,220,0.06168856,0.0946004507083109,0.0520164253725799
240,220,0.06085052,0.0946004507082986,0.049829898984017
245,220,0.06085052,0.0946004507083029,0.0498298989840161
250,220,0.06085052,0.0946004507083168,0.0498298989840168
255,220,0.06085052,0.0946004507083214,0.0498298989840203
260,220,0.06085052,0.0946004507083167,0.0498298989840179
265,220,0.06085052,0.0946004507083105,0.0498298989840612
270,220,0.06085052,0.094600450708345,0.0498298989839883
275,220,0.06085052,0.0946004507083271,0.0498298989840094
280,220,0.06085052,0.0946004507082973,0.0498298989840223
285,220,0.06085052,0.0946004507083103,0.0498298989840444
290,220,0.06085052,0.0946004507083105,0.0498298989840525
295,220,0.06085052,0.0946004507083405,0.0498298989839987
300,220,0.06085052,0.0946004507083167,0.0498298989840109
100,225,0.04714748,0.0538615299068876,0.0253841065048838
105,225,0.03090984,0.0466498385244852,0.021950172202358
110,225,0.02931606,0.0370603743684511,0.0158825686271645
