time,spline_interp_window,mean_error_neg,mean_error_pos
1,200,-1.96634153404318e-10,1.96634153404318e-10
4,200,-2.95920376122077e-06,2.58510070458725e-07
7,200,-9.39595566032017e-06,2.80118092141307e-08
10,200,-1.73444291759526e-05,-1.07438897154196e-06
13,200,-2.49242846827722e-05,-2.68084951579868e-06
16,200,-3.11907265440221e-05,-4.01485293506897e-06
19,200,-3.6233261982693e-05,-4.28404007849523e-06
22,200,-4.08175951588852e-05,-3.2772954905306e-06
25,200,-4.60341830017029e-05,-1.59507184395779e-06
28,200,-5.30274286697257e-05,-4.24552373072598e-07
31,200,-6.25051786189558e-05,-1.15123912214667e-06
34,200,-7.45349301552726e-05,-4.82306233605303e-06
37,200,-8.88228930977177e-05,-1.15754247336363e-05
40,200,-0.00010514136614303,-2.02780621863417e-05
43,200,-0.000123347299154877,-2.8265595442681e-05
46,200,-0.000143377674247945,-3.19416836632701e-05
49,200,-0.000165155689988151,-2.86532007773937e-05
52,200,-0.000188306437361803,-1.79817845542473e-05
55,200,-0.000212096586848485,-2.00945006320892e-06
58,200,-0.00023548041241055,1.56890174697309e-05
61,200,-0.000257340058788204,3.16228868414152e-05
64,200,-0.000277171946550518,4.39434201778441e-05
67,200,-0.000295287432517496,5.25538261315659e-05
70,200,-0.000312697158818461,5.87282887282417e-05
73,200,-0.000330721640985993,6.45988503830647e-05
76,200,-0.000350577041738328,7.25004269903668e-05
79,200,-0.000373155365552689,8.38954369555474e-05
82,200,-0.000399111483512188,9.86794870874164e-05
85,200,-0.000428916418871721,0.000115697914022768
88,200,-0.000462487463577197,0.000133645660576574
91,200,-0.00049896558008239,0.000151650889441653
94,200,-0.00053684986414357,0.000169474443329393
97,200,-0.000574625268764739,0.00018752082229501
100,200,-0.000611060415902746,0.000206639813080611
103,200,-0.000645296981657531,0.000227572708504077
106,200,-0.000676961566135623,0.000250054454133538
109,200,-0.000706029746631393,0.000272696157275137
112,200,-0.000732872759196736,0.000294023295877482
115,200,-0.000757925469953822,0.000313743986890229
118,200,-0.000780827824285375,0.00033279181958401
121,200,-0.000800637782627956,0.000352704506844262
124,200,-0.000816993944088511,0.000374723404262838
127,200,-0.000830359348167468,0.000399255416634628
130,200,-0.000841322153530972,0.000425761371819061
133,200,-0.000849963639766166,0.000453136676272834
136,200,-0.000856051939755293,0.000480130562914482
139,200,-0.000859783453048446,0.000505655490992405
142,200,-0.000861988487484866,0.00052897049392056
145,200,-0.000863802619922762,0.000549714333261728
148,200,-0.000865900533337291,0.000567824424040809
151,200,-0.00086812440446845,0.000583360377947818
154,200,-0.000869794947508636,0.000596398975351541
157,200,-0.000870270667406241,0.000606995114517707
160,200,-0.000868893263127931,0.000615038723515813
163,200,-0.000864811083715188,0.000620261832981448
166,200,-0.000857035439960343,0.000622600480994301
169,200,-0.000844618625884865,0.000622623512246501
172,200,-0.000827240024616223,0.000621418590324008
175,200,-0.000805091857981222,0.000620005202279753
178,200,-0.000778336718153855,0.000618838860380927
181,200,-0.000747394770833369,0.000617755387066282
184,200,-0.00071362827209781,0.000616172106433266
187,200,-0.000679271693509899,0.000613233141096849
190,200,-0.000646537552095714,0.000607921181991775
193,200,-0.000617061995700084,0.000599159663432845
196,200,-0.000591475551547088,0.000586139005045386
199,200,-0.000569090827622926,0.000568705664198798
202,200,-0.00054776427074421,0.000547764270744209
205,200,-0.000526476186782437,0.00052647618678243
208,200,-0.000505277569061655,0.000505277569061657
211,200,-0.00048420016681234,0.000484200166812341
214,200,-0.00046327406232812,0.000463274062328119
217,200,-0.000442527696743222,0.000442527696743218
