idx_id_wdw_csv,idx_interp_spl_csv,K_med_err_csv,B_med_err_csv,M_med_err_csv
100,200,1.659783,0.0761415007865697,0.0879217122908473
105,200,2.146968,0.088077944049486,0.0373333481809508
110,200,2.331624,0.162435437518683,0.0458362453872563
115,200,2.793598,0.153068283371386,0.0839534548298666
120,200,2.219564,0.142516422970852,0.100580135893752
125,200,2.439809,0.119380056347688,0.0645363012417111
130,200,2.414329,0.186942105655894,0.0697070261927771
135,200,2.344746,0.191002208548547,0.0620705120908092
140,200,2.247248,0.117638176541218,0.053273101313871
145,200,2.100145,0.109642781984564,0.059727966374883
150,200,2.155332,0.196646596589862,0.0598895740840041
155,200,2.103643,0.195150073189964,0.0506064360211007
160,200,2.124566,0.0853365034019094,0.0383172042582174
165,200,2.151424,0.0635529695245653,0.0631048219885139
170,200,2.201919,0.0705390267468613,0.0585070994190229
175,200,2.211457,0.0563634134484004,0.0482443916832715
180,200,2.220823,0.0286080291574488,0.0548607373576249
185,200,2.203479,0.0378647100698193,0.0550861372120654
190,200,2.168409,0.0462967453323037,0.0236794798414292
195,200,2.186612,0.00165735672325066,0.000570649329039163
200,200,2.145427,0.0639846342257897,0.00671949329735006
205,200,2.1449,0.0695656989053171,0.00683244443709073
210,200,2.1449,0.069565698905466,0.00683244443725124
215,200,2.1449,0.0695656989053709,0.00683244443723791
220,200,2.1449,0.0695656989053137,0.00683244443723823
225,200,2.1449,0.0695656989053315,0.00683244443721666
230,200,2.1449,0.0695656989053148,0.00683244443721904
235,200,2.1449,0.069565698905346,0.00683244443723094
240,200,2.1449,0.0695656989053625,0.00683244443723331
245,200,2.1449,0.0695656989054456,0.00683244443721904
250,200,2.1449,0.0695656989054321,0.00683244443723601
255,200,2.1449,0.0695656989053625,0.00683244443721396
260,200,2.1449,0.0695656989053153,0.00683244443719747
265,200,2.1449,0.0695656989053712,0.00683244443720223
270,200,2.1449,0.0695656989053714,0.00683244443721412
275,200,2.1449,0.0695656989053529,0.00683244443722856
280,200,2.1449,0.0695656989053778,0.00683244443721634
285,200,2.1449,0.0695656989053597,0.00683244443721428
290,200,2.1449,0.0695656989052678,0.00683244443721396
295,200,2.1449,0.069565698905383,0.00683244443722078
300,200,2.1449,0.0695656989053623,0.00683244443721872
100,205,1.383499,0.00306940612688839,0.115849944285671
